武将id	武将名称	是否为初始武将	武将名称颜色	武将图片	英雄简介	是否唯一	所属国家（0=群雄，1=魏国，2=蜀国，3=吴国）	特殊技能id	特殊技能解锁等级	寻访获得基础概率（万分比）	忠诚度	竞拍低价	秒拍价格	武将被抓走概率	英雄性别	是否开放
3002	许褚	0	5	H_zhaoyun.png	曹魏猛将，长八尺馀，腰大十围，容貌雄毅，勇力绝人。	1	1	30021|30022|30023|30024	5|15|25|35	10	200	1000	40000	50	0	0
3003	司马懿	0	5	H_zhaoyun.png	曹魏军师，头脑睿智，善谋奇策，征伐有功，自视甚高。	1	1	30031|30032|30033|30034	5|15|25|35	10	200	1000	40000	50	0	0
3004	夏侯惇	0	5	H_zhaoyun.png	曹魏开国元勋，勇猛善战，功勋卓著，为人俭朴，死无余财。	1	1	30041|30042|30043	5|15|25	10	200	1000	20000	50	0	0
3005	郭嘉	0	5	H_zhaoyun.png	曹魏谋士，才策谋略，世之奇士，君臣相知，奈何英年早逝。	1	1	30051|30052|30053|30054	5|15|25|35	10	200	1000	40000	50	0	0
3006	张辽	0	5	H_zhaoyun.png	曹魏五子良将，率八百勇士大败十万大军，威震江东，名扬天下。	1	1	30061|30062|30063	5|15|25	10	200	1000	20000	50	0	1
3007	乐进	0	5	H_zhaoyun.png	曹魏五子良将，作战勇猛，因胆烈而随曹操，多有先登之功。	1	1	30071|30072|30073	5|15|25	10	200	1000	20000	50	0	0
3008	徐晃	0	5	H_zhaoyun.png	曹魏五子良将，严于律己，一生简朴，治军严整，多立奇功。	1	1	30081|30082|30083	5|15|25	10	200	1000	20000	50	0	0
3009	典韦	0	5	H_zhaoyun.png	曹魏猛将，誓死效忠。典韦救主传天下，勇猛当先第一人。	1	1	30091|30092|30093	5|15|25	10	200	1000	20000	50	0	0
3010	张郃	0	5	H_zhaoyun.png	曹魏五子良将，用兵巧变，善列营阵，戎马一生，国之所依。	1	1	30101|30102|30103	5|15|25	10	200	1000	20000	50	0	0
3011	蔡文姬	0	5	H_zhaoyun.png	蔡邕之女，精天文数理，博学能文，又善诗赋，兼长辩才与音律。	1	1	30111|30112|30113	5|15|25	10	200	1000	20000	50	1	0
3012	贾诩	0	5	H_zhaoyun.png	曹魏谋士，精通兵法，审时度势，一言兴邦，算无遗策。	1	1	30121|30122|30123	5|15|25	10	200	1000	20000	50	0	0
3013	甄姬	0	5	H_zhaoyun.png	曹丕之妻，温婉良善，美貌非凡，多有义举，奈何薄命。	1	1	30131|30132|30133	5|15|25	10	200	1000	20000	50	1	0
4001	刘备	0	5	H_zhaoyun.png	字玄德，蜀汉开国皇帝。弘毅宽厚，知人待士，百折不挠，终成帝业。	1	2	40011|40012|40013|40014	5|15|25|35	10	200	1000	40000	50	0	0
4002	关羽	0	5	H_zhaoyun.png	蜀汉五虎上将之首，勇烈过人，万人之敌，义薄云天，声雄百代。	1	2	40021|40022|40023|40024	5|15|25|35	10	200	1000	40000	50	0	0
4003	张飞	0	5	H_zhaoyun.png	蜀汉五虎上将，嫉恶如仇，万人之敌，勇猛无畏，一世豪杰。	1	2	40031|40032|40033	5|15|25	10	200	1000	20000	50	0	0
4004	马超	0	5	H_zhaoyun.png	蜀汉五虎上将，兼资文武，雄烈过人，气高志远，似若无敌。	1	2	40041|40042|40043	5|15|25	10	200	1000	20000	50	0	1
4005	赵云	0	5	H_zhaoyun.png	蜀汉五虎上将，姿颜雄伟，一身是胆，单骑救主，常胜将军。	1	2	40051|40052|40053|40054	5|15|25|35	10	200	1000	40000	50	0	0
4006	诸葛亮	0	5	H_zhaoyun.png	蜀汉丞相，卧龙先生。鞠躬尽瘁，死而后已，神机妙算，天下无双。	1	2	40061|40062|40063|40064	5|15|25|35	10	200	1000	40000	50	0	0
4007	黄月英	0	5	H_zhaoyun.png	诸葛亮之妻，文韬武略，足智多谋，死生契阔，千古传说。	1	2	40071|40072|40073	5|15|25	10	200	1000	20000	50	0	0
4008	魏延	0	5	H_zhaoyun.png	蜀汉名将，善养士卒，性情高傲，勇猛过人，功勋卓著。	1	2	40081|40082|40083	5|15|25	10	200	1000	20000	50	0	0
4009	黄忠	0	5	H_zhaoyun.png	蜀汉五虎上将，老当益壮，百步穿杨，先登陷阵，勇冠三军。	1	2	40091|40092|40093	5|15|25	10	200	1000	20000	50	0	0
4010	孟获	0	5	H_zhaoyun.png	南蛮王，身材肥硕，有勇无谋，七擒七纵，心服口服。	1	2	40101|40102|40103	5|15|25	10	200	1000	20000	50	0	0
4011	法正	0	5	H_zhaoyun.png	刘备的谋主，恩怨分明，睚眦必报，善出奇谋，劳苦功高。	1	2	40111|40112|40113	5|15|25	10	200	1000	20000	50	0	0
4012	祝融	0	5	H_zhaoyun.png	孟获之妻，刺美人。恩怨分明，武艺超群，善使飞刀，百发百中。	1	2	40121|40122|40123	5|15|25	10	200	1000	20000	50	1	0
4013	庞统	0	5	H_zhaoyun.png	蜀汉谋士，凤雏先生。稀世之才，大智若愚，善于识人，宣扬正道。	1	2	40131|40132|40133	5|15|25	10	200	1000	20000	50	0	0
5001	孙权	0	5	H_zhaoyun.png	字仲谋，东吴开国皇帝。神武雄才，胆略超群，敬贤礼士，稳固江东。	1	3	50011|50012|50013|50014	5|15|25|35	10	200	1000	40000	50	0	0
5002	周瑜	0	5	H_zhaoyun.png	东吴名将，火烧赤壁，天下三分。世间豪杰英雄士，江东风流美丈夫。	1	3	50021|50022|50023|50024	5|15|25|35	10	200	1000	40000	50	0	0
5003	甘宁	0	5	H_zhaoyun.png	东吴名将，性躁易怒，然勇敢坚毅，足智多谋，器重人才，轻财好施。	1	3	50031|50032|50033	5|15|25	10	200	1000	20000	50	0	0
5004	吕蒙	0	5	H_zhaoyun.png	东吴名将，后发制人，屡建战功，计取三郡，臣死君忧。	1	3	50041|50042|50043	5|15|25	10	200	1000	20000	50	0	0
5005	黄盖	0	5	H_zhaoyun.png	东吴元勋，为人严肃，勇猛善战，侍奉三君，老当益壮。	1	3	50051|50052|50053	5|15|25	10	200	1000	20000	50	0	1
5007	大乔	0	5	H_zhaoyun.png	孙策之妻，通音律，晓诗文，沉鱼落雁，抚育遗孤，红颜暗消。	1	3	50071|50072|50073	5|15|25	10	200	1000	20000	50	1	0
5008	小乔	0	5	H_zhaoyun.png	周瑜之妻，通音律，晓诗文，出水芙蓉，国色流离，资貌绝伦。	1	3	50081|50082|50083	5|15|25	10	200	1000	20000	50	1	1
5009	孙坚	0	5	H_zhaoyun.png	东吴政权的奠基人，少年英雄，容貌不凡，挥师讨董，所向披靡。	1	3	50091|50092|50093	5|15|25	10	200	1000	20000	50	0	0
5010	太史慈	0	5	H_zhaoyun.png	东吴名将，猿臂善射，箭无虚发，信义笃烈，重情重诺。	1	3	50101|50102|50103	5|15|25	10	200	1000	20000	50	0	0
5012	陆逊	0	5	H_zhaoyun.png	东吴丞相，孙策之婿，武能安邦，文能治国，品质高尚，声名远播。	1	3	50121|50122|50123|50124	5|15|25|35	10	200	1000	40000	50	0	0
5013	鲁肃	0	5	H_zhaoyun.png	东吴大都督，赤壁之战，联合抗曹，单刀赴会，平分荆州。	1	3	50131|50132|50133|50134	5|15|25|35	10	200	1000	40000	50	0	0
