BOSS ID	BOSS名称	boss类型	等级	BOSS头像	BOSS动画	BOSS攻击	BOSS防御	BOSS血量	BOSS战斗力	掉落道具ID	掉落道具权重	掉落道具数量	半径1权重	半径2权重	半径3权重	半径4权重	半径5权重	半径6权重	BOSS个数	奖励资源012345	消耗体力	血量0-20道具	血量21-40道具	血量41-50道具	血量51-60道具	血量61-80道具	血量81-100道具	击杀必掉道具	礼包类型	文字描述
10102	年兽 Lv.2	0	2	nianshou.png	110101	1125000	150000	1125000	300000	-1	-1	-1	0	0	0	100	300	100	0	60000	30	22001|21006|21301|21007|21056|21106|21156|21206	22001|21006|21301|21007|21056|21106|21156|21206|21302	22001|21006|21301|21007|21056|21106|21156|21206|21302|22004|22002	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|21304	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22003|21305|23251|21401	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22004|21306|20001|23251|21401	24401	6	年兽 Lv.2
10103	年兽 Lv.3	0	3	nianshou.png	110101	3600000	360000	3600000	1920000	-1	-1	-1	0	0	200	400	0	0	0	120000	40	22001|21006|21301|21007|21056|21106|21156|21206	22001|21006|21301|21007|21056|21106|21156|21206|21302	22001|21006|21301|21007|21056|21106|21156|21206|21302|22004|22002	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|21304	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22003|21305|23251|21401	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22004|21306|20001|23251|21401	24402	6	年兽 Lv.3
10104	年兽 Lv.4	0	4	nianshou.png	110101	7200000	720000	7200000	3840000	-1	-1	-1	0	200	400	200	0	0	0	180000	50	22001|21006|21301|21007|21056|21106|21156|21206	22001|21006|21301|21007|21056|21106|21156|21206|21302	22001|21006|21301|21007|21056|21106|21156|21206|21302|22004|22002	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|21304	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22003|21305|23251|21401	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22004|21306|20001|23251|21401	24402	6	年兽 Lv.4
10105	年兽 Lv.5	0	5	nianshou.png	110101	30000000	3000000	30000000	18000000	-1	-1	-1	0	400	100	0	0	0	0	360000	60	22001|21006|21301|21007|21056|21106|21156|21206	22001|21006|21301|21007|21056|21106|21156|21206|21302	22001|21006|21301|21007|21056|21106|21156|21206|21302|22004|22002	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|21304	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22003|21305|23251|21401	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22004|21306|20001|23251|21401	24403	6	年兽 Lv.5
10106	年兽 Lv.6	0	6	nianshou.png	110101	48000000	4800000	48000000	28800000	-1	-1	-1	100	0	0	0	0	0	0	600000	70	22001|21006|21301|21007|21056|21106|21156|21206	22001|21006|21301|21007|21056|21106|21156|21206|21302	22001|21006|21301|21007|21056|21106|21156|21206|21302|22004|22002	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|21304	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22003|21305|23251|21401	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22004|21306|20001|23251|21401	24403	6	年兽 Lv.6
10201	倭寇 Lv.1	0	1	wokou.png	110201	600000	80000	600000	160000	-1	-1	-1	0	0	0	0	200	400	0	24000	20	22001|21006|21301|21007|21056|21106|21156|21206	22001|21006|21301|21007|21056|21106|21156|21206|21302	22001|21006|21301|21007|21056|21106|21156|21206|21302|22004|22002	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|21304	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22003|21305|23251|21401	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22004|21306|20001|23251|21401	24401	6	倭寇 Lv.1
10202	倭寇 Lv.2	0	2	wokou.png	110201	1125000	150000	1125000	300000	-1	-1	-1	0	0	0	100	300	100	0	60000	30	22001|21006|21301|21007|21056|21106|21156|21206	22001|21006|21301|21007|21056|21106|21156|21206|21302	22001|21006|21301|21007|21056|21106|21156|21206|21302|22004|22002	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|21304	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22003|21305|23251|21401	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22004|21306|20001|23251|21401	24401	6	倭寇 Lv.2
10203	倭寇 Lv.3	0	3	wokou.png	110201	3600000	360000	3600000	1920000	-1	-1	-1	0	0	200	400	0	0	0	120000	40	22001|21006|21301|21007|21056|21106|21156|21206	22001|21006|21301|21007|21056|21106|21156|21206|21302	22001|21006|21301|21007|21056|21106|21156|21206|21302|22004|22002	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|21304	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22003|21305|23251|21401	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22004|21306|20001|23251|21401	24402	6	倭寇 Lv.3
10204	倭寇 Lv.4	0	4	wokou.png	110201	7200000	720000	7200000	3840000	-1	-1	-1	0	200	400	200	0	0	0	180000	50	22001|21006|21301|21007|21056|21106|21156|21206	22001|21006|21301|21007|21056|21106|21156|21206|21302	22001|21006|21301|21007|21056|21106|21156|21206|21302|22004|22002	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|21304	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22003|21305|23251|21401	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22004|21306|20001|23251|21401	24402	6	倭寇 Lv.4
10205	倭寇 Lv.5	0	5	wokou.png	110201	30000000	3000000	30000000	18000000	-1	-1	-1	0	400	100	0	0	0	0	360000	60	22001|21006|21301|21007|21056|21106|21156|21206	22001|21006|21301|21007|21056|21106|21156|21206|21302	22001|21006|21301|21007|21056|21106|21156|21206|21302|22004|22002	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|21304	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22003|21305|23251|21401	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22004|21306|20001|23251|21401	24403	6	倭寇 Lv.5
10206	倭寇 Lv.6	0	6	wokou.png	110201	48000000	4800000	48000000	28800000	-1	-1	-1	100	0	0	0	0	0	0	600000	70	22001|21006|21301|21007|21056|21106|21156|21206	22001|21006|21301|21007|21056|21106|21156|21206|21302	22001|21006|21301|21007|21056|21106|21156|21206|21302|22004|22002	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|21304	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22003|21305|23251|21401	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22004|21306|20001|23251|21401	24403	6	倭寇 Lv.6
10301	南蛮 Lv.1	0	1	nanman.png	110301	600000	80000	600000	160000	-1	-1	-1	0	0	0	0	200	400	0	24000	20	22001|21006|21301|21007|21056|21106|21156|21206	22001|21006|21301|21007|21056|21106|21156|21206|21302	22001|21006|21301|21007|21056|21106|21156|21206|21302|22004|22002	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|21304	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22003|21305|23251|21401	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22004|21306|20001|23251|21401	24401	6	南蛮 Lv.1
10302	南蛮 Lv.2	0	2	nanman.png	110301	1125000	150000	1125000	300000	-1	-1	-1	0	0	0	100	300	100	0	60000	30	22001|21006|21301|21007|21056|21106|21156|21206	22001|21006|21301|21007|21056|21106|21156|21206|21302	22001|21006|21301|21007|21056|21106|21156|21206|21302|22004|22002	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|21304	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22003|21305|23251|21401	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22004|21306|20001|23251|21401	24401	6	南蛮 Lv.2
10303	南蛮 Lv.3	0	3	nanman.png	110301	3600000	360000	3600000	1920000	-1	-1	-1	0	0	200	400	0	0	0	120000	40	22001|21006|21301|21007|21056|21106|21156|21206	22001|21006|21301|21007|21056|21106|21156|21206|21302	22001|21006|21301|21007|21056|21106|21156|21206|21302|22004|22002	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|21304	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22003|21305|23251|21401	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22004|21306|20001|23251|21401	24402	6	南蛮 Lv.3
10304	南蛮 Lv.4	0	4	nanman.png	110301	7200000	720000	7200000	3840000	-1	-1	-1	0	200	400	200	0	0	0	180000	50	22001|21006|21301|21007|21056|21106|21156|21206	22001|21006|21301|21007|21056|21106|21156|21206|21302	22001|21006|21301|21007|21056|21106|21156|21206|21302|22004|22002	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|21304	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22003|21305|23251|21401	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22004|21306|20001|23251|21401	24402	6	南蛮 Lv.4
10305	南蛮 Lv.5	0	5	nanman.png	110301	30000000	3000000	30000000	18000000	-1	-1	-1	0	400	100	0	0	0	0	360000	60	22001|21006|21301|21007|21056|21106|21156|21206	22001|21006|21301|21007|21056|21106|21156|21206|21302	22001|21006|21301|21007|21056|21106|21156|21206|21302|22004|22002	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|21304	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22003|21305|23251|21401	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22004|21306|20001|23251|21401	24403	6	南蛮 Lv.5
10306	南蛮 Lv.6	0	6	nanman.png	110301	48000000	4800000	48000000	28800000	-1	-1	-1	100	0	0	0	0	0	0	600000	70	22001|21006|21301|21007|21056|21106|21156|21206	22001|21006|21301|21007|21056|21106|21156|21206|21302	22001|21006|21301|21007|21056|21106|21156|21206|21302|22004|22002	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|21304	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22003|21305|23251|21401	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22004|21306|20001|23251|21401	24403	6	南蛮 Lv.6
10401	黄巾军 Lv.1	0	1	huangjinjun.png	110401	600000	80000	600000	160000	-1	-1	-1	0	0	0	0	200	400	580	24000	20	22001|21006|21301|21007|21056|21106|21156|21206	22001|21006|21301|21007|21056|21106|21156|21206|21302	22001|21006|21301|21007|21056|21106|21156|21206|21302|22004|22002	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|21304	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22003|21305|23251|21401	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22004|21306|20001|23251|21401	24401	6	黄巾乱党的残余部队，每次对它攻击都会得到奖励，将其击杀会必得怪物击杀礼包和联盟礼物
10402	黄巾军 Lv.2	0	2	huangjinjun.png	110401	1125000	150000	1125000	300000	-1	-1	-1	0	0	0	100	300	100	470	60000	30	22001|21006|21301|21007|21056|21106|21156|21206	22001|21006|21301|21007|21056|21106|21156|21206|21302	22001|21006|21301|21007|21056|21106|21156|21206|21302|22004|22002	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|21304	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22003|21305|23251|21401	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22004|21306|20001|23251|21401	24401	6	黄巾乱党的残余部队，每次对它攻击都会得到奖励，将其击杀会必得怪物击杀礼包和联盟礼物
10403	黄巾军 Lv.3	0	3	huangjinjun.png	110401	3600000	360000	3600000	1920000	-1	-1	-1	0	0	200	400	0	0	400	120000	40	22001|21006|21301|21007|21056|21106|21156|21206	22001|21006|21301|21007|21056|21106|21156|21206|21302	22001|21006|21301|21007|21056|21106|21156|21206|21302|22004|22002	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|21304	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22003|21305|23251|21401	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22004|21306|20001|23251|21401	24402	6	黄巾乱党的残余部队，每次对它攻击都会得到奖励，将其击杀会必得怪物击杀礼包和联盟礼物
10404	黄巾军 Lv.4	0	4	huangjinjun.png	110401	7200000	720000	7200000	3840000	-1	-1	-1	0	200	400	200	0	0	330	180000	50	22001|21006|21301|21007|21056|21106|21156|21206	22001|21006|21301|21007|21056|21106|21156|21206|21302	22001|21006|21301|21007|21056|21106|21156|21206|21302|22004|22002	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|21304	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22003|21305|23251|21401	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22004|21306|20001|23251|21401	24402	6	黄巾乱党的残余部队，每次对它攻击都会得到奖励，将其击杀会必得怪物击杀礼包和联盟礼物
10405	黄巾军 Lv.5	0	5	huangjinjun.png	110401	30000000	3000000	30000000	18000000	-1	-1	-1	0	400	100	0	0	0	67	360000	60	22001|21006|21301|21007|21056|21106|21156|21206	22001|21006|21301|21007|21056|21106|21156|21206|21302	22001|21006|21301|21007|21056|21106|21156|21206|21302|22004|22002	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|21304	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22003|21305|23251|21401	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22004|21306|20001|23251|21401	24403	6	黄巾乱党的残余部队，每次对它攻击都会得到奖励，将其击杀会必得怪物击杀礼包和联盟礼物
10406	黄巾军 Lv.6	0	6	huangjinjun.png	110401	48000000	4800000	48000000	28800000	-1	-1	-1	100	0	0	0	0	0	5	600000	70	22001|21006|21301|21007|21056|21106|21156|21206	22001|21006|21301|21007|21056|21106|21156|21206|21302	22001|21006|21301|21007|21056|21106|21156|21206|21302|22004|22002	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|21304	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22003|21305|23251|21401	22001|21006|21301|21007|21056|21106|21156|21206|21302|22002|22004|21306|20001|23251|21401	24403	6	黄巾乱党的残余部队，每次对它攻击都会得到奖励，将其击杀会必得怪物击杀礼包和联盟礼物
