通讯端口	类型值	返回码	系统提示	玩家提示	如何弹出(1不弹|2底部文本框|3确认框)	玩家提示标题
6	3	62	目标太远，行军超过1小时	目标太远，只能对行军时间1小时内的目标出兵	3	无法出兵
6	3	0	出兵进攻	出兵进攻	1	-1
6	4	15	没有召回部队的道具	缺少撤兵令道具，无法撤回	3	召回失败
6	4	28	召回部队，人民币不足	缺少钻石，无法撤回	3	召回失败
6	4	55	想要召回的部队，还在移动中	想要召回的部队，还在移动中	3	召回失败
6	4	1	部队当前状态下不能被召回	当前部队不可被召回	3	召回失败
6	4	0	召回命令成功	成功召回	2	-1
6	5	6	捐赠的资源数量不足	捐赠资源数量不足，无法捐赠	3	捐赠失败
6	5	13	前往的目标不可被捐赠	当前的目标不可被捐赠	3	捐赠失败
6	5	26	不是相同的联盟，不可捐赠	捐赠目标不是你的联盟盟友，无法捐赠	3	捐赠失败
6	5	2	超出可以捐赠的最大数量	超出可以捐赠的最大数量	3	捐赠失败
6	5	3	拥有的资源不够捐赠	您剩余的资源不足，无法捐赠	3	捐赠失败
6	5	45	出兵队列已满	当前出兵队列达到上限，无法捐赠	3	捐赠失败
6	5	62	目标太远，行军超过1小时	目标太远，只能对行军时间1小时内的目标捐赠	3	捐赠失败
6	5	0	捐赠成功	捐赠成功	2	-1
6	6	43	增援的士兵数量小于0	捐赠的士兵数量至少为１个	3	无法增援
6	6	13	前往的目标不可被增援	前往的目标不可被增援	3	无法增援
6	6	26	不是相同的联盟，不可增援	增援目标不在相同的联盟，不可增援	3	无法增援
6	6	4	超出对方可以接受增援的上限	增援数量超出对方使馆可容纳兵力	3	无法增援
6	6	25	想要增援的部队已经出发	增援的部队已经出发	3	无法增援
6	6	1	想要增援的目标部队不存在	增援的目标不存在，无法增援	3	无法增援
6	6	2	超出单只部队士兵上限	出兵数量超出单只部队上限	3	无法增援
6	6	45	出兵队列已满	达到当前行军队伍数量上限，无法继续出兵	3	无法增援
6	6	3	城内士兵不足	城内士兵不足，无法增援	3	无法增援
6	6	62	目标太远，行军超过1小时	目标太远，只能对行军时间1小时内的目标增援	3	无法增援
6	6	0	成功派出增援部队	成功派出增援部队	2	-1
6	7	61	英雄不在城内，不能出战	英雄不再城池内，无法出战	3	发起失败
6	7	43	出兵的士兵数量小于0	出兵的士兵数量至少为１个	3	发起失败
6	7	13	前往的目标不可被联盟战攻击	目标不可被发起联盟攻击	3	发起失败
6	7	26	不可以对相同联盟的人发起联盟战	不可对同联盟的盟友发动联盟作战	3	发起失败
6	7	63	目标的boss不可进行联盟战	目标不可被发起联盟战	3	发起失败
6	7	1	联盟战等待时间的参数错误	联盟战等待时间的参数错误	3	发起失败
6	7	2	超出单只部队士兵上限	出兵数量超出单只部队上限，无法出兵	3	发起失败
6	7	45	出兵队列已满	达到当前行军队伍数量上限，无法继续出兵	3	发起失败
6	7	3	城内士兵不足	城内士兵不足，无法出兵	3	发起失败
6	7	62	目标太远，行军超过1小时	目标太远，只能对行军时间1小时内的目标出兵	3	发起失败
6	7	0	成功发起联盟战	成功发起联盟作战	2	-1
6	8	13	前往的目标不可被侦察	目标不可被侦查	3	无法侦查
6	8	9	没有侦察科技	需要在书院学习哨兵侦查才可进行	3	无法侦查
6	8	5	目标禁止被侦查中	目标使用反侦查令，无法被侦查	3	无法侦查
6	8	26	不可以侦察同联盟的玩家	不可以侦查同联盟的盟友	3	无法侦查
6	8	1	没找到侦察目标	没找到侦察目标	3	无法侦查
6	8	21	银币不足侦察	银币不足，无法侦查	3	无法侦查
6	8	45	侦察队列已满	侦查队列已满，无法继续侦查	3	无法侦查
6	8	0	侦察部队已派出	侦察部队已派出	1	-1
6	9	1	指定的目标没找到	没有找到侦查的目标	3	侦查失败
6	9	0	成功查到目标的建筑等级	成功查到目标的建筑等级	1	-1
6	10	1	没找到需要解散的联盟战部队	没有可以解散的联盟战部队	3	解散失败
6	10	64	目标部队不是联盟战部队	要解散的部队不是联盟战部队	3	解散失败
6	10	59	不是自己发起的联盟战，不可解散	不是自己发起的联盟战，不可解散	3	解散失败
6	10	25	联盟战部队已经出发	联盟战部队已经出兵	3	解散失败
6	10	0	解散联盟战部队成功	解散联盟战部队成功	2	-1
6	11	1	没找到指定的用户	没找到指定的用户	3	系统错误
6	11	0	获得指定对象的捐赠信息	获得指定对象的捐赠信息	1	-1
7	1	1	穿装备的目标格子不合法	本装备栏无法穿戴装备	3	无法穿戴
7	1	8	赠送的格子尚未开启	装备栏位尚未开启	3	无法穿戴
7	1	22	没找到指定的装备	没有可穿戴的装备	3	无法穿戴
7	1	54	英雄等级不足，不可以穿戴装备	英雄等级不足，无法穿戴本装备	3	无法穿戴
7	1	0	穿脱装备成功	穿脱装备成功	1	-1
7	2	1	参数错误	错误1070201	3	系统错误
7	2	5	装备生产cd中	已有装备正在锻造中	3	锻造失败
7	2	2	装备包裹已装满	装备栏位已满，无法锻造	3	锻造失败
7	2	20	装备制作材料不足	装备制作材料不足	3	锻造失败
7	2	21	银币不足	银币不足，无法锻造	3	锻造失败
7	2	0	装备制作成功	开始锻造装备	1	-1
7	3	27	没找到要分解的装备	没找到要分解的装备	3	分解失败
7	3	0	分解装备成功	分解装备成功	1	-1
7	4	45	材料已经是最高等级	材料已经是最高等级	3	合成失败
7	4	64	要求合成的目标不是材料	合成的材料只能为装备材料	3	合成失败
7	4	43	材料数量不够	材料数量不够	3	合成失败
7	4	0	材料合成成功	材料合成成功	2	-1
7	5	45	宝石已经是最高等级	宝石已经是最高等级	3	合成失败
7	5	64	要求合成的目标不是宝石	合成的材料只能为宝石	3	合成失败
7	5	43	宝石数量不够	宝石数量不够	3	合成失败
7	5	0	宝石合成成功	宝石合成成功	2	-1
7	6	27	没找到指定的装备	没找到指定的装备	3	镶嵌失败
7	6	1	镶嵌宝石失败	已镶嵌相同类型宝石	3	镶嵌失败
7	6	15	宝石数量不够	宝石数量不够	3	镶嵌失败
7	6	13	要求镶嵌的格子位置不对	该格子不能镶嵌宝石	3	镶嵌失败
7	6	0	镶嵌宝石成功	镶嵌宝石成功	1	-1
7	7	27	没找到指定的装备	没找到指定的装备	3	摘除失败
7	7	13	要求摘除宝石的格子位置不对	不能再该位置摘除宝石	3	摘除失败
7	7	1	指定的格子上没有宝石	该格子上没有可摘除的宝石	3	摘除失败
7	7	15	缺少摘除宝石的道具	缺少摘除宝石所需的道具	3	摘除失败
7	7	0	摘除宝石成功	摘除宝石成功	2	-1
8	1	7	指定的科技已经学习过了	本科技已经完成研究	3	无法研究
8	1	5	科技学习cd中	有科技正在研究当中	3	无法研究
8	1	1	没找到指定sid的科技	没有找到该科技，无法研究	3	无法研究
8	1	8	科技馆等级不足	书院等级不足，无法研究	3	无法研究
8	1	6	升级科技所需资源不足	研究科技所需资源不足	3	无法研究
8	1	9	升级科技需要的前置技能还未学习	前置科技没有研究，无法研究当前科技	3	无法研究
8	1	0	科技升级成功	科技开始研究	2	-1
8	2	7	指定的科技已经学习过了	本科技已经完成研究	3	无法研究
8	2	5	科技学习cd中	有科技正在研究当中	3	无法研究
8	2	1	没找到指定sid的科技	没有找到该科技，无法研究	3	无法研究
8	2	8	科技馆等级不足	书院等级不足，无法研究	3	无法研究
8	2	9	升级科技需要的前置技能还未学习	前置科技没有研究，无法研究当前科技	3	无法研究
8	2	28	所需金币不足	钻石不足，无法研究	3	无法研究
8	2	0	金币升级科技成功	研究成功	2	-1
9	1	10	升级技能点数不够	天赋点不足，无法学习	3	无法学习
9	1	11	该技能等级已经升满	该技能已达到最大等级	3	无法学习
9	1	12	没有找到指定sid的技能	无法学习不存在的技能	3	无法学习
9	1	0	技能升级成功	技能升级成功	1	-1
9	2	1	策划配置的重置技能的道具没找到	错误1090201	3	系统错误
9	2	28	重置技能的金币不足	重置天赋所需钻石不足，无法重置	3	重置失败
9	2	15	重置技能的道具不足	没有天赋书，无法重置	3	重置失败
9	2	0	重置技能成功	重置天赋成功	2	-1
10	1	1	没有找到邮件指定的接收玩家	没有找到邮件指定的接收玩家	3	发送失败
10	1	64	邮件发送类型错误	邮件发送类型错误	3	发送失败
10	1	0	邮件发送成功	邮件发送成功	2	-1
10	3	1	标记已读的参数错误	错误1100301	3	系统错误
10	3	0	成功标记邮件已读	成功标记邮件已读	1	-1
10	4	64	标记邮件参数错误	错误1100464	3	系统错误
10	4	0	邮件标记成功	邮件标记成功	1	-1
10	5	0	获取邮件列表成功	获取邮件列表成功	1	-1
10	2	1	删除邮件失败，没有找到指定id的邮件	删除邮件失败，没有找到指定的邮件	3	删除失败
10	2	0	邮件删除成功	邮件删除成功	1	-1
10	6	1	批量删除邮件参数错误	错误1100601	3	系统错误
10	6	0	批量删除邮件成功	批量删除邮件成功	1	-1
10	7	1	取消收藏，没有找到指定id的邮件	没有找到指定的邮件	3	收藏失败
10	7	0	成功取消收藏	成功取消收藏	1	-1
10	8	0	成功获取邮件	成功获取邮件	1	-1
11	0	0	成功获取全部的收藏坐标	成功获取全部的收藏坐标	1	-1
11	1	45	收藏坐标数量超过上限	收藏坐标数量超过上限	3	收藏失败
11	1	0	成功添加收藏坐标	成功添加收藏坐标	2	-1
11	2	0	成功移除指定的收藏坐标	成功删除指定的收藏坐标	1	-1
11	3	1	修改收藏坐标信息的时候，没有找到指定的坐标	没有找到要修改的坐标	3	操作失败
11	3	0	成功修改收藏坐标信息	成功修改收藏坐标信息	1	-1
12	1	0	成功获取自己关押别人英雄的信息	成功获取自己关押别人英雄的信息	1	-1
12	2	1	没有找到要释放的英雄	没有找到要释放的英雄	3	释放失败
12	2	0	成功释放指定的英雄	成功释放英雄	2	-1
12	3	49	没有找到要杀的英雄	没有可处决的英雄	3	无法处决
12	3	0	成功开始杀英雄了	成功开始杀英雄了	1	-1
12	4	5	招降敌人英雄cd中	已有敌人正在招降中	3	无法招降
12	4	23	招降道具不足	招降书不足，无法招降	3	无法招降
12	4	52	该英雄正在被杀死中	该英雄正在被处决中	3	无法招降
12	4	49	没有找到要招降的英雄	没有找到要招降的英雄	3	无法招降
12	4	1	不是超级英雄，不能招降	该英雄不是名将，无法招降	3	无法招降
12	4	0	招降成功	成功进行了一次招降	2	-1
13	1	37	没有找到用户的城市信息	错误1130137	3	系统错误
13	1	36	没有找到用户的联盟信息	错误1130136	3	系统错误
13	1	15	没有找到要买的道具	没有找到要购买的道具	3	购买失败
13	1	24	购买道具的人民币不足	钻石不足，无法购买	3	购买失败
13	1	43	购买道具的数量参数错误	错误1130143	3	系统错误
13	1	42	购买联盟道具的贡献值不够	联盟贡献不足，无法购买	3	购买失败
13	1	23	购买联盟道具的剩余数量不够	该道具剩余数量不足，无法购买	3	购买失败
13	1	0	成功购买	购买成功	2	-1
13	2	1	没有找到玩家的联盟	没有找到玩家的联盟	3	错误
13	2	0	成功获得联盟商店信息	成功获得联盟商店信息	1	-1
13	7	1	没有找到玩家的联盟	没有找到玩家的联盟	3	错误
13	7	0	成功获得联盟申请道具的信息	成功获得联盟申请道具的信息	1	-1
13	3	1	没有找到玩家的联盟	没有找到玩家的联盟	3	错误
13	3	0	成功申请联盟道具	成功发出道具需求申请	2	-1
13	4	1	没有找到玩家的联盟	没有找到玩家的联盟	3	错误
13	4	0	成功取消申请联盟道具	成功取消道具需求申请	2	-1
13	5	1	没有找到玩家的联盟	没有找到玩家的联盟	3	错误
13	5	43	上架联盟商品的数量参数错误	错误1130543	3	系统错误
13	5	40	没有权限上架联盟商品	您没有权限上架该道具	3	上架失败
13	5	39	要求上架的商品不能进行上架	该商品不能进行上架操作	3	上架失败
13	5	41	联盟资金不够上架商品	联盟资金不足，无法上架	3	上架失败
13	5	0	上架商品成功	成功上架道具	2	-1
13	6	1	没有找到玩家的联盟	没有找到玩家的联盟	3	错误
13	6	0	成功获取申请指定的商品申请人数	成功获取申请指定的商品申请人数	1	-1
14	1	1	要求使用的道具不可以使用	该道具不可使用	3	无法使用
14	1	25	加速道具，没有找到指定的cd	没有可加速的cd	3	加速失败
14	1	23	没有道具	没有可用的道具	3	失败
14	1	24	金币不足	钻石不足，无法加速	3	加速失败
14	1	35	加速部队行军，没有找到部队	没有可加速的行军队伍	3	加速失败
14	1	38	使用的buffer已经存在，并冲突	您已经有强劲的buff了，无法继续使用	3	加速失败
14	1	2	增加记录点，超过最大上限	标记达到最大可使用上限	3	标记失败
14	1	34	改名上发的名字是空	名字不能为空，请输入正确的名字	3	操作失败
14	1	59	同名不可以使用改名卡	抱歉，这个名字已经被使用了	3	操作失败
14	1	53	还有部队在外，不可以传送	您当前有在外行动的队伍，无法进行迁徙	3	迁徙失败
14	1	8	传送的位置错误	这个位置无法进行迁徙	3	迁徙失败
14	1	45	扩充背包失败，已经达到最大值	已达到背包空位上限，无法继续扩充	3	扩充失败
14	1	5	正在杀英雄，不可以使用和平盾	您正在处决英雄当中，无法使用免战牌道具	3	使用失败
14	1	0	道具使用成功	道具使用成功	1	-1
15	1	1	招募一般英雄失败	招募失败	3	招募失败
15	1	0	成功招募一般英雄	成功招募将领	2	-1
15	4	0	成功获得正在销售的超级英雄	成功获得名将	1	-1
15	5	50	已经参加了超级英雄竞价	已经开始对这个名将进行竞拍了，无法重复竞拍	3	竞拍失败
15	5	1	服务器数据异常	错误1150501	3	系统错误
15	5	49	没有找到想要竞价的英雄（已经卖出，已经结束拍卖）	该名将的竞拍已经结束	3	竞拍失败
15	5	0	成功对超级英雄竞价	已经开始对这个名将进行竞拍	2	-1
15	6	49	没有找到想要购买的英雄（已经卖出，已经结束拍卖）	该名将的竞拍已经结束	3	竞拍失败
15	6	1	服务器数据异常	错误1150601	3	系统错误
15	6	0	直接购买超级英雄成功	直接获得名将成功	1	-1
15	7	0	成功获取超级英雄的列表	成功获取超级英雄的列表	1	-1
15	8	0	成功获得每类英雄的数量	成功获得每类英雄的数量	1	-1
16	1	26	玩家已经拥有联盟，不可以再创建	已经拥有联盟，不可以再创建	3	创建失败
16	1	34	创建需要的参数错误（名字，图标为空）	错误1160134	3	-1
16	1	59	重名了	抱歉，这个联盟名字已经被使用了	3	创建失败
16	1	65	数据库操作错误	错误1160165	3	系统错误
16	1	0	创建联盟成功	创建联盟成功	1	-1
16	2	1	没有找到要申请的联盟	没有找到要申请的联盟	3	申请失败
16	2	2	申请的联盟成员已满	该联盟成员已满	3	申请失败
16	2	26	本人已拥有联盟，不可以再申请	您已经加入了一个联盟，无法再次申请	3	申请失败
16	2	59	你已经是该联盟的成员了	你已经是该联盟的成员了	3	申请失败
16	2	0	申请成功	申请成功	2	-1
16	3	1	同意申请的目标不存在了	这个玩家当前无法加入联盟	3	申请处理失败
16	3	36	本人没有联盟，不可以同意申请	您当前已经没有联盟了，无法通过申请	3	申请处理失败
16	3	26	同意的目标已经有联盟了	该玩家已经加入了其他联盟	3	申请处理失败
16	3	40	没有权限同意申请	您没有权限通过申请	3	申请处理失败
16	3	64	同意的人不在申请列表	这个玩家已不在申请列表	3	申请处理失败
16	3	0	成功同意一个娃儿的加入	成功通过申请	2	-1
16	33	1	拒绝申请的目标不存在了	这个玩家已不存在	3	申请处理失败
16	33	36	本人没有联盟，不可以拒绝申请	您当前已经没有联盟了，无法审批申请	3	申请处理失败
16	33	26	拒绝的目标已经有联盟了	该玩家已经加入了其他联盟	3	申请处理失败
16	33	40	没有权限拒绝申请	您没有权限拒绝申请	3	申请处理失败
16	33	0	成功拒绝了别人的申请	成功拒绝了这个申请	2	-1
16	4	36	本人没有联盟，不可以退出	您当前没有加入任何联盟	3	无法退出
16	4	1	没有找到指定的联盟	没有找到指定的联盟	3	无法退出
16	4	40	你的权限不能退出	您是联盟盟主，无法直接退出联盟	3	无法退出
16	4	64	你已经不是该联盟成员了	您已经不是该联盟的成员了	3	无法退出
16	4	0	成功退出联盟	成功退出联盟	1	-1
16	5	36	本人没有联盟，不可以解散	您当前没有联盟，无法解散	3	解散失败
16	5	1	没有找到指定的联盟	没有找到指定的联盟	3	解散失败
16	5	40	你的权限不能解散	你的权限不能解散	3	解散失败
16	5	0	成功解散联盟	成功解散联盟	1	-1
16	6	36	本人没有联盟，不可以开除人	您当前没有联盟，无法进行此操作	3	操作失败
16	6	26	你要开除的人和你不是一个联盟	这个玩家已经不再您的联盟中	3	操作失败
16	6	1	没有找到指定的联盟	没有找到指定的联盟	3	操作失败
16	6	40	权限不够开人	您的权限不足	3	操作失败
16	6	64	要开除的人不在成员列表里	这个成员已不在成员列表当中	3	操作失败
16	6	63	boss不能被开除	无法对联盟盟主进行此操作	3	操作失败
16	6	0	成功开除别个	操作成功	2	-1
16	7	34	改的新名字不能为空	联盟名称不能为空	3	改名失败
16	7	36	你没有联盟	您当前没有加入任何联盟	3	改名失败
16	7	1	没有获取到指定的联盟	没有获取到指定的联盟	3	改名失败
16	7	59	已经有这个忙名字的联盟了	抱歉，这个联盟名字已经被使用了	3	改名失败
16	7	40	没有权限改名字	您没有权限进行改名操作	3	改名失败
16	7	0	成功改名	成功改名	2	-1
16	8	36	你没有联盟不能移交会长	你没有联盟不能移交盟主	3	移交失败
16	8	1	没有找到指定的联盟	没有找到指定的联盟	3	移交失败
16	8	64	移交的新会长不是联盟成员	不是您联盟中的成员，无法移交	3	移交失败
16	8	40	没有权限移交会长	没有权限移交盟主	3	移交失败
16	8	0	会长移交成功	盟主移交成功	2	-1
16	9	36	你没有联盟不能更改会员等级	您当前没有加入任何联盟，无法更改	3	更改失败
16	9	1	没有找到指定的联盟	没有找到指定的联盟	3	更改失败
16	9	2	官职已达到上限	可设置官职数量已达到上限	3	更改失败
16	9	64	要更改等级的成员不是该联盟成员	该成员已不在您的联盟中	3	更改失败
16	9	40	没有权限更改其他成员等级	您没有权限更改成员等级	3	更改失败
16	9	0	成功修改他人等级	成功修改等级	2	-1
16	11	36	你没有联盟不能联盟收成员状态	您当前没有加入任何联盟，无法更改状态	3	更改失败
16	11	1	没有找到指定的联盟	没有找到指定的联盟	3	更改失败
16	11	40	没有权限修改联盟收人状态	您没有权限更改联盟状态	3	更改失败
16	11	0	成功修改联盟收人状态	成功修改联盟状态	2	-1
16	12	34	联盟简介内容为空	联盟简介内容不能为空	3	更改失败
16	12	36	你并没有联盟	您当前没有加入任何联盟	3	更改失败
16	12	1	没有找到指定的联盟	没有找到指定的联盟	3	更改失败
16	12	40	没有权限修改联盟简介	您没有权限修改联盟签名	3	更改失败
16	12	0	成功修改联盟简介	成功修改联盟签名	1	-1
16	13	34	联盟说明内容为空	联盟说明内容不能为空	3	更改失败
16	13	36	你并没有联盟	您当前已经没有联盟了，无法修改联盟说明	3	更改失败
16	13	1	没有找到指定的联盟	没有找到指定的联盟	3	更改失败
16	13	40	没有权限修改联盟说明	您没有权限修改联盟说明	3	更改失败
16	13	0	成功修改联盟说明	成功修改联盟说明	1	-1
16	14	34	联盟图标为空	联盟图标不能为空	3	更改失败
16	14	36	你并没有联盟	没有找到指定的联盟	3	更改失败
16	14	1	没有找到指定的联盟	没有找到指定的联盟	3	更改失败
16	14	40	没有权限修改联盟图标	您没有权限修改联盟图标	3	更改失败
16	14	0	成功修改联盟图标	成功修改联盟图标	1	-1
16	15	34	联盟部队颜色为空	联盟部队颜色不能为空	3	更改失败
16	15	36	你并没有联盟	您当前已经没有联盟了，无法修改部队颜色	3	更改失败
16	15	1	没有找到指定的联盟	没有找到指定的联盟	3	更改失败
16	15	40	没有权限修改联盟部队颜色	您没有权限修改联盟部队颜色	3	更改失败
16	15	0	成功修改联盟部队颜色	成功修改联盟部队颜色	1	-1
16	17	36	你没有联盟	您当前已经没有联盟了，无法邀请	3	邀请失败
16	17	26	你的邀请目标已经有联盟了	你邀请的玩家已加入了其他联盟	3	邀请失败
16	17	1	没有找到指定的联盟	没有找到指定的联盟	3	邀请失败
