副本ID	名称	副本描述	副本建筑图标	副本类型	兵种12345	兵种数量	消耗体力	前序副本	后序副本	掉落资源012345	奖励英雄经验	概率掉落道具ID	掉落概率(万分位)	通关掉落奖励
10203	汜水关北	    董卓新败后，采用李儒的计策执行迁都。他迫使朝廷和洛阳市民随他迁往长安，以军队监视他们。离开前，董卓派兵夺取洛阳富户的财物，将洛阳夷为平地。汜水关守将赵岑得知主公撤走，火速弃关。联军夺关，向虎牢关进军。	chuan.png	0	1001|2001|3001|4001|10001	1400|1500|1500|300|2400	20	10202	10204	0|0|0|0|2100|0	500	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10204	虎牢关南	    董卓亲自和吕布、李儒、樊稠、张济率十五万大军东进虎牢关，并命吕布率先锋三万在关前驻扎。同时，八路诸侯王匡、桥瑁、鲍信、袁遗、孔融、张杨、陶谦、公孙瓒各率本部军马在袁绍指挥下进军虎牢关。	zhongji_g.png	0	1001|2001|3001|4001|10001	1600|2000|2000|400|3200	20	10203	10205|10206	0|0|0|0|0|2100	500	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10205	虎牢关东	    王匡先到，部将方悦主动与吕布单挑。不足五回合，方悦被杀，吕布冲入王匡军，杀了一些溃兵。幸好桥瑁和袁遗赶来救援王匡。他们决定撤退到关外三十华里处下寨。	gaoji_g.png	0	1001|2001|3001|4001|10001	1800|2000|2000|400|3200	20	10204	-1	0|2100|0|0|0|0	500	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10206	虎牢关	    联军数将出战吕布皆被斩杀，公孙瓒亲战吕布也败走而逃，吕布趁胜追之被张飞所拦，二人大战五十回合，关羽杀出，三人又战三十回合，继而刘备参战，三人围攻吕布。吕布无力击败三人于是佯击刘备，乘隙脱身奔回虎牢关。	last_g.png	1	1001|2001|3001|4001|10003	2000|2500|2500|500|2000	40	10204	-1	0|2700|0|0|0|0	700	24051	1000	20106|21006|21056|21106|21156|21206|22001|22002|22003
10301	濮阳	    张邈和陈宫趁曹操外征徐州，叛变并迎吕布入主兖州，众郡县群起响应。曹操回返兖州，与吕布军在濮阳相持百日，终因粮尽而各自退兵。	zhongji_g.png	0	1001|2001|3001|4001|10001	2500|1000|1000|250|1000	20	-1	10302|10303	0|0|3100|0|0|0	600	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10302	东缗	    兴平二年，吕布再次从东缗出发，与陈宫率领万余人来进攻曹操。曹操部下全都出营收割麦子，营中不到一千人，难以守住营寨。	zhongji_g.png	0	1001|2001|3001|4001|10001	3000|2000|2000|500|2000	20	10301	10304	0|0|0|3100|0|0	600	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10303	东缗东	    营寨西边有一条大堤，南边有一片密林。曹操在此处布下重重埋伏，并派轻装部队前去引诱。吕布果然上当，大败而逃。	chuji.png	0	1001|2001|3001|4001|10004	3500|3000|3000|750|1500	20	10301	-1	0|0|0|0|3100|0	600	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10304	定陶	    曹操乘胜追击吕布，一路攻下定陶，并分兵平定各县。	gaoji_g.png	0	1001|2001|3001|4001|10001	4000|4000|4000|1000|4000	20	10302	10305	0|0|0|0|0|3100	600	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10305	雍丘南	    吕布向东到徐州投奔刘备。张邈跟随吕布，让自己的弟弟张超带领家属退守雍丘。	zhongji_g.png	0	1001|2001|3001|4001|10002	4500|4000|4000|1000|2000	20	10304	10306	0|0|3100|0|0|0	600	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10306	雍丘 	    曹操一鼓作气大破雍丘，灭张邈三族。	last_g.png	1	1001|2001|3001|4001|10001	5000|5000|5000|1250|5000	40	10305	-1	0|3500|0|0|0|0	600	24051	1000	20106|21006|21056|21106|21156|21206|22001|22002|22003
10401	牛渚	    孙策趁袁术遣吴景攻张英连年不克，自请助战，欲趁机攻取江东。受任折冲校尉，行殄寇将军，率千余人，骑数十匹，沿途不断扩充队伍，达五六千，与吴景会师，又召周瑜合军，一举击破张英，夺得牛渚粮仓、兵器库。	chuji.png	0	1001|2001|3001|4001|10001	3250|3250|4875|2437|6500	20	-1	10402	0|4200|0|0|0|0	600	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10402	秣陵	    孙策依托牛渚物资为后盾，进攻秣陵。依附刘繇的薛礼不敌败走。	zhongji_b.png	0	1001|2001|3001|4001|10002	3500|3500|5250|2625|3500	20	10401	10403	0|0|4200|0|0|0	600	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10403	海陵	    孙策还军击败召集散众意图夺回牛渚的樊能，俘获万余人。后以反间计诱笮融来攻，设伏破之，斩千余人。然后进军海陵，击破刘繇部将，再转战湖孰、江乘，战无不克。	zhongji_b.png	0	1001|2001|3001|4001|10001	3750|3750|5625|2812|7500	20	10402	10404	0|0|0|4200|0|0	600	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10404	曲阿	    孙策乘胜进攻曲阿，刘繇派太史慈侦查城外，偶遇孙策等三十骑。太史慈单骑迎战孙策，回合间不分伯仲，至双方军队前来，二人各自归队。刘繇出战孙策，战败后弃军而逃，诸郡守弃城而走，城尽归孙策所有。	zhongji_b.png	0	1001|2001|3001|4001|10001	4000|4000|6000|3000|8000	20	10403	10405	0|0|0|0|4200|0	600	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10405	固陵	    孙策引军渡江至固陵，被会稽太守王朗发兵阻击。后用叔父孙静之计，趁夜多燃火把为疑兵，分兵南进数十里，经查渎道袭高迁屯，迂回进攻会稽。	gaoji_b.png	0	1001|2001|3001|4001|10003	4250|4250|6375|3187|4200	20	10404	10406|10407	0|0|0|0|0|4200	600	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10406	会稽	    孙策率军进攻会稽，王朗慌忙遣周昕等迎战，周昕兵败被杀，王朗走海道落荒而逃。	zhongji.png	0	1001|2001|3001|4001|10001	4500|4500|6750|3375|9000	20	10405	-1	0|0|4200|0|0|0	600	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10407	东冶	    孙策率军追至东冶，收服王朗。随即回师，自称会稽太守，以吴景为丹阳太守，朱治任吴郡太守。	gaoji_b.png	0	1001|2001|3001|4001|10001	4750|4750|7125|3562|9500	20	10405	10408	0|0|0|4200|0|0	600	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10408	海西	    当时自称吴郡太守的陈氨驻海西，遣都尉秘渡长江，欲与严白虎勾结，攻打孙策。孙策得知，令吕范等率军至海西，击败陈氨，俘四千人。同时，孙策击败严白虎，宣州以东地区得以稳固。	last_b.png	1	1001|2001|3001|4001|10004	5000|5000|7500|3750|5000	40	10407	-1	0|0|0|0|4900|0	800	24051	1000	20106|21006|21056|21106|21156|21206|22001|22002|22003
10501	宛城	    曹操从许昌出兵攻荆州牧刘表，途经张绣控制的宛城。张绣军师贾诩建议张绣诈降曹操，然后设计驱逐之。如其所料，曹操接受张绣投降，允许他留下控制宛城。	zhongji_g.png	0	1001|2001|3001|4001|10001	6500|9750|6500|812|3250	20	-1	10502|10503	0|5600|0|0|0|0	700	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10502	宛城郊外	    曹操被张绣叔父遗孀所吸引，纳为妾室。张绣感到受辱，想报复曹操。曹操听闻张绣不快，计划除掉他，事泄，张绣反叛曹操。	chuji.png	0	1001|2001|3001|4001|10001	7000|10500|7000|875|3500	20	10501	10504	0|0|5600|0|0|0	700	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10503	曹营南	    张绣趁夜突袭曹操，由于曹操疏于防备，张绣的突袭取得了优势。	judian.png	0	1001|2001|3001|4001|10001	7500|11250|7500|937|3750	20	10501	-1	0|0|0|5600|0|0	700	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10504	曹营西	    曹操上马逃之夭夭，将军典韦在后阻止敌军进入寨门。	judian.png	0	1001|2001|3001|4001|10001	8000|12000|8000|1000|4000	20	10502	10505	0|0|0|0|5600|0	700	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10505	曹操营寨	    张绣军从其他寨门杀入，意图四面围击典韦。	chuji.png	0	1001|2001|3001|4001|10001	8500|12750|8500|1062|4250	20	10504	10506	0|0|0|0|0|5600	700	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10506	曹营东	    典韦身边只余十数人，拼死战斗。典韦手持长戟左右突刺，杀敌十余人，尸横遍地。典韦负伤十余处，依然坚持战斗，并将两名敌军挟死。	judian.png	0	1001|2001|3001|4001|10004	9000|13500|9000|1125|2300	20	10505	10507|10508	0|0|5600|0|0|0	700	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10507	曹营北	    张绣军踌躇不敢上前，典韦又杀死数人，终因伤重，瞋目大骂而死。张绣军不敢上前取其首级，直到确认典韦已死，遂整军还营。	judian.png	0	1001|2001|3001|4001|10003	9500|14250|9500|1187|2400	20	10506	-1	0|0|0|5600|0|0	700	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10508	舞阴北	    曹操之子曹昂将战马让给父亲，并勇敢地在后阻拦张绣军，终被围杀而死。曹操之侄曹安民也在撤逃中阵亡。	chuji.png	0	1001|2001|3001|4001|10003	9500|14250|9500|1187|2400	20	10506	10509	0|0|0|5600|0|0	700	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10509	舞阴	    曹操安然撤到舞阴，得知典韦之死，痛哭不已。	last_g.png	1	1001|2001|3001|4001|10002	10000|15000|10000|1250|2500	40	10508	-1	0|0|6200|0|0|0	900	24001|24051	1000	20106|21006|21056|21106|21156|21206|22001|22002|22003
10601	沛县	   	chuji.png	0	1001|2001|3001|4001|10001	10000|8000|8000|4000|12000	20	-1	10602|10603	0|7000|0|0|0|0	800	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10602	沛县南	   	chuji.png	0	1001|2001|3001|4001|10001	11250|9000|9000|4500|13500	20	10601	-1	0|0|7000|0|0|0	800	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10603	沛县西	   	judian.png	0	1001|2001|3001|4001|10001	12500|10000|10000|5000|15000	20	10601	10604	0|0|0|7000|0|0	800	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10604	彭城北	   	chuji.png	0	1001|2001|3001|4001|10002	13750|11000|11000|5500|8250	20	10603	10605	0|0|0|0|7000|0	800	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10605	彭城	   	zhongji.png	0	1001|2001|3001|4001|10001	15000|12000|12000|6000|18000	20	10604	10606|10607	0|0|0|0|0|7000	800	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10606	彭城南	   	chuji.png	0	1001|2001|3001|4001|10001	16250|13000|13000|6500|19500	20	10605	-1	0|0|7000|0|0|0	800	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10607	下邳北	   	judian.png	0	1001|2001|3001|4001|10001	17500|14000|14000|7000|21000	20	10605	10608	0|0|0|7000|0|0	800	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10608	下邳东	   	chuji.png	0	1001|2001|3001|4001|10003	20000|16000|16000|8000|12000	20	10607	10609|10610	0|7000|0|0|0|0	800	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10609	下邳南	   	zhongji.png	0	1001|2001|3001|4001|10001	22500|18000|18000|9000|27000	20	10608	-1	0|0|7000|0|0|0	800	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10610	下邳	   	gaoji.png	1	1001|2001|3001|4001|10004	25000|20000|20000|10000|15000	40	10608	-1	0|0|0|7000|0|0	1000	24001|24051	1000	20106|21006|21056|21106|21156|21206|22001|22002|22003
10701	广陵	   	chuji.png	0	1001|2001|3001|4001|10001	20750|24900|24900|6225|33200	20	-1	10702|10703	0|0|0|0|8200|0	900	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10702	广陵南	   	chuji.png	0	1001|2001|3001|4001|10002	21250|25500|25500|6375|17000	20	10701	-1	0|9800|0|0|0|0	900	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10703	广陵西	   	judian.png	0	1001|2001|3001|4001|10001	22000|26400|26400|6600|35200	20	10701	10704	0|0|9800|0|0|0	900	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10704	淮北	   	chuji.png	0	1001|2001|3001|4001|10001	22250|26700|26700|6675|35600	20	10703	10705	0|0|0|9800|0|0	900	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10705	淮南	   	zhongji.png	0	1001|2001|3001|4001|10002	22500|27000|27000|6750|18000	20	10704	10706|10707	0|0|0|0|9800|0	900	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10706	下邳	   	chuji.png	0	1001|2001|3001|4001|10001	23000|27600|27600|6900|36800	20	10705	-1	0|0|0|0|0|9800	900	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10707	潜山	   	judian.png	0	1001|2001|3001|4001|10001	23500|28200|28200|7050|37600	20	10705	10708	0|9800|0|0|0|0	900	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10708	青州北	   	chuji.png	0	1001|2001|3001|4001|10001	24000|28800|28800|7200|38400	20	10707	10709|10710	0|0|9800|0|0|0	900	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10709	青州	   	zhongji.png	0	1001|2001|3001|4001|10003	24500|29400|29400|7350|19500	20	10708	-1	0|0|0|9800|0|0	900	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10710	寿春	   	gaoji.png	1	1001|2001|3001|4001|10004	25000|30000|30000|7500|20000	40	10708	-1	0|0|0|0|10500|0	1100	24001|24051	1000	20106|21006|21056|21106|21156|21206|22001|22002|22003
10801	白马	   	chuji.png	0	1002|2002|3002|4002|10002	7500|7500|7500|5625|33000	20	-1	10802|10803	0|11200|0|0|0|0	1000	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10802	黎阳	   	judian.png	0	1002|2002|3002|4002|10002	8750|8750|8750|6562|38500	20	10801	-1	0|0|11200|0|0|0	1000	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10803	延津	   	chuji.png	0	1002|2002|3002|4002|10003	10000|10000|10000|7500|44000	20	10801	10804	0|0|0|11200|0|0	1000	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10804	汲县	   	judian.png	0	1002|2002|3002|4002|10003	10000|10000|10000|7500|44000	20	10803	10805	0|0|0|11200|0|0	1000	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10805	获嘉	   	chuji.png	0	1002|2002|3002|4002|10004	11250|11250|11250|8437|49500	20	10804	10806	0|0|0|0|11200|0	1000	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10806	乌巢	   	zhongji.png	0	1002|2002|3002|4002|10002	12500|12500|12500|9375|55000	20	10805	10807|10808	0|0|0|0|0|11200	1000	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10807	阳武	   	chuji.png	0	1002|2002|3002|4002|10002	13750|13750|13750|10312|60500	20	10806	-1	0|11200|0|0|0|0	1000	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10808	原武	   	judian.png	0	1002|2002|3002|4002|10003	15000|15000|15000|11250|66000	20	10806	10809	0|0|11200|0|0|0	1000	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10809	中牟	   	judian.png	0	1002|2002|3002|4002|10002	17500|17500|17500|13125|77000	20	10808	10810	0|0|0|11200|0|0	1000	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10810	封丘	   	chuji.png	0	1002|2002|3002|4002|10003	20000|20000|20000|15000|88000	20	10809	10811|10812	0|0|0|0|11200|0	1000	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10811	浚仪	   	zhongji.png	0	1002|2002|3002|4002|10002	22500|22500|22500|16875|99000	20	10810	-1	0|0|0|0|0|11200	1000	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10812	官渡	   	gaoji.png	1	1002|2002|3002|4002|10004	25000|25000|25000|18750|110000	40	10810	-1	0|12000|0|0|0|0	1200	24001|24051	1000	20106|21006|21056|21106|21156|21206|22001|22002|22003
10901	丹阳	   	chuji.png	0	1002|2002|3002|4002|10004	32625|38062|27187|13593|56550	20	-1	10902|10903	0|12600|0|0|0|0	1100	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10902	丹阳南	   	judian.png	0	1002|2002|3002|4002|10002	33375|38937|27812|13906|57850	20	10901	-1	0|0|12600|0|0|0	1100	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10903	博望坡	   	chuji.png	0	1002|2002|3002|4002|10003	33750|39375|28125|14062|58500	20	10901	10904	0|0|0|12600|0|0	1100	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10904	鹊尾坡	   	judian.png	0	1002|2002|3002|4002|10003	34125|39812|28437|14218|59150	20	10903	10905	0|0|0|0|12600|0	1100	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10905	博陵渡口	   	chuji.png	0	1002|2002|3002|4002|10002	34500|40250|28750|14375|59800	20	10904	10906	0|0|0|0|0|12600	1100	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10906	新野	   	zhongji.png	0	1002|2002|3002|4002|10002	34875|40687|29062|14531|60450	20	10905	10907|10908	0|12600|0|0|0|0	1100	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10907	新野南	   	chuji.png	0	1002|2002|3002|4002|10002	35250|41125|29375|14687|61100	20	10906	-1	0|0|12600|0|0|0	1100	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10908	新野东	   	judian.png	0	1002|2002|3002|4002|10002	35625|41562|29687|14843|61750	20	10906	10909	0|0|0|12600|0|0	1100	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10909	樊城北	   	judian.png	0	1002|2002|3002|4002|10003	36000|42000|30000|15000|62400	20	10908	10910	0|0|0|0|12600|0	1100	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10910	樊城	   	chuji.png	0	1002|2002|3002|4002|10002	36375|42437|30312|15156|63050	20	10909	10911|10912	0|0|0|0|0|12600	1100	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10911	襄阳	   	zhongji.png	0	1002|2002|3002|4002|10004	36750|42875|30625|15312|63700	20	10910	-1	0|12600|0|0|0|0	1100	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
10912	江陵	   	gaoji.png	1	1002|2002|3002|4002|10004	37500|43750|31250|15625|65000	40	10910	-1	0|0|13000|0|0|0	1300	24001|24051	1000	20106|21006|21056|21106|21156|21206|22001|22002|22003
11001	襄阳	   	chuji.png	0	1002|2002|3002|4002|10002	35200|35200|39600|13200|88000	20	-1	11002	0|14000|0|0|0|0	1200	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11002	宜城	   	chuji.png	0	1002|2002|3002|4002|10004	35600|35600|40050|13350|89000	20	11001	11003	0|0|14000|0|0|0	1200	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11003	石桥	   	chuji.png	0	1002|2002|3002|4002|10003	36000|36000|40500|13500|90000	20	11002	11004	0|0|0|14000|0|0	1200	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11004	石桥南	   	chuji.png	0	1002|2002|3002|4002|10003	36400|36400|40950|13650|91000	20	11003	11005	0|0|0|0|14000|0	1200	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11005	长坂坡北	   	chuji.png	0	1002|2002|3002|4002|10002	36800|36800|41400|13800|92000	20	11004	11006	0|0|0|0|0|14000	1200	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11006	长坂坡西	   	chuji.png	0	1002|2002|3002|4002|10004	37200|37200|41850|13950|93000	20	11005	11007	0|14000|0|0|0|0	1200	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11007	长坂坡	   	chuji.png	0	1002|2002|3002|4002|10003	37600|37600|42300|14100|94000	20	11006	11008|11009|11010	0|0|14000|0|0|0	1200	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11008	长坂坡南	   	chuji.png	0	1002|2002|3002|4002|10004	38000|38000|42750|14250|95000	20	11007	-1	0|0|0|14000|0|0	1200	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11009	当阳	   	chuji.png	0	1002|2002|3002|4002|10002	38400|38400|43200|14400|96000	20	11007	-1	0|0|0|0|14000|0	1200	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11010	建阳	   	chuji.png	0	1002|2002|3002|4002|10003	38800|38800|43650|14550|97000	20	11007	11011	0|0|0|0|0|14000	1200	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11011	纪南	   	chuji.png	0	1002|2002|3002|4002|10004	39200|39200|44100|14700|98000	20	11010	11012	0|14000|0|0|0|0	1200	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11012	江陵	   	gaoji.png	1	1002|2002|3002|4002|10002	40000|40000|45000|15000|100000	40	11011	-1	0|0|0|15000|0|0	1400	24001|24051	1000	20106|21006|21056|21106|21156|21206|22001|22002|22003
11101	江夏	   	chuji.png	0	1002|2002|3002|4002|10002	45000|30000|45000|18750|90000	20	-1	11102|11104	0|15750|0|0|0|0	1300	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11102	樊口北	   	chuji.png	0	1002|2002|3002|4002|10004	46500|31000|46500|19375|93000	20	11101	11103	0|0|15750|0|0|0	1300	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11103	樊口	   	chuji.png	0	1002|2002|3002|4002|10003	48750|32500|48750|20312|97500	20	11102	-1	0|0|0|15750|0|0	1300	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11104	樊口南	   	chuji.png	0	1002|2002|3002|4002|10004	52500|35000|52500|21875|105000	20	11101	11105	0|0|0|0|15750|0	1300	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11105	赤壁北	   	chuji.png	0	1002|2002|3002|4002|10002	54750|36500|54750|22812|109500	20	11104	11106	0|0|0|0|0|15750	1300	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11106	赤壁西	   	chuan.png	0	1002|2002|3002|4002|10004	57000|38000|57000|23750|114000	20	11105	11107	0|15750|0|0|0|0	1300	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11107	赤壁	   	chuan.png	0	1002|2002|3002|4002|10004	60000|40000|60000|25000|120000	20	11106	11108	0|0|15750|0|0|0	1300	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11108	赤壁南	   	chuji.png	0	1002|2002|3002|4002|10002	62250|41500|62250|25937|124500	20	11107	11109	0|0|0|15750|0|0	1300	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11109	赤壁东	   	chuji.png	0	1002|2002|3002|4002|10003	64500|43000|64500|26875|129000	20	11108	11110	0|0|0|0|15750|0	1300	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11110	华容道	   	chuji.png	0	1002|2002|3002|4002|10002	67500|45000|67500|28125|135000	20	11109	11111	0|0|0|0|0|15750	1300	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11111	江陵北	   	chuan.png	0	1002|2002|3002|4002|10003	69750|46500|69750|29062|139500	20	11110	11112	0|0|0|0|15750|0	1300	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11112	江陵西	   	chuji.png	0	1002|2002|3002|4002|10002	71250|47500|71250|29687|142500	20	11111	11113	0|0|0|15750|0|0	1300	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
11113	江陵	   	gaoji.png	1	1002|2002|3002|4002|10002	75000|50000|75000|31250|150000	40	11112	-1	0|16500|0|0|0|0	1500	24001|24051	1000	20106|21006|21056|21106|21156|21206|22001|22002|22003
11201	宛城	   	chuji.png	0	1002|2002|3002|4002|10005	63750|74375|63750|26562|136000	20	-1	11202	0|0|0|0|0|18000	1400	-1	-1	20106|21006|21056|21106|21156|21206|22001|22002|22003
