道具id	道具类型	道具名称	功能类别	道具说明	叠放数量	售价（金币）	售价（公会贡献）	是否可以使用（1=是，0=否）	功能id	功能参数1	功能参数2	功能参数3	功能参数4
21052	2	50000木材卡	32	50000木材	60000	80	0	1	1	3	50000	0	0
21053	2	150000木材卡	32	150000木材	60000	200	3	1	1	3	150000	0	0
21054	2	500000木材卡	32	500000木材	60000	600	3	1	1	3	500000	0	0
21055	2	1500000木材卡	32	1500000木材	60000	1650	0	1	1	3	1500000	0	0
21056	2	3000木材卡	32	3000木材	60000	1650	0	1	1	3	3000	0	0
21057	2	5000木材卡	32	5000木材	60000	1650	0	1	1	3	5000	0	0
21101	2	10000石材卡	33	10000石材	60000	20	10000	1	1	4	10000	0	0
21102	2	50000石材卡	33	50000石材	60000	80	0	1	1	4	50000	0	0
21103	2	150000石材卡	33	150000石材	60000	200	0	1	1	4	150000	0	0
21104	2	500000石材卡	33	500000石材	60000	600	0	1	1	4	500000	0	0
21105	2	1500000石材卡	33	1500000石材	60000	1650	0	1	1	4	1500000	0	0
21106	2	3000石材卡	33	3000石材	60000	1650	0	1	1	4	3000	0	0
21107	2	5000石材卡	33	5000石材	60000	1650	0	1	1	4	5000	0	0
21151	2	10000生铁卡	34	10000生铁	60000	20	10000	1	1	5	10000	0	0
21152	2	50000生铁卡	34	50000生铁	60000	80	0	1	1	5	50000	0	0
21153	2	150000生铁卡	34	150000生铁	60000	200	0	1	1	5	150000	0	0
21154	2	500000生铁卡	34	500000生铁	60000	600	0	1	1	5	500000	0	0
21155	2	1500000生铁卡	34	1500000生铁	60000	1650	0	1	1	5	1500000	0	0
21156	2	3000生铁卡	34	3000生铁	60000	1650	0	1	1	5	3000	0	0
21157	2	5000生铁卡	34	5000生铁	60000	1650	0	1	1	5	5000	0	0
21201	2	3000白银卡	35	3000白银	60000	20	0	1	1	1	3000	0	0
21202	2	15000白银卡	35	15000白银	60000	80	0	1	1	1	15000	0	0
21203	2	50000白银卡	35	50000白银	60000	200	0	1	1	1	50000	0	0
21204	2	200000白银卡	35	200000白银	60000	600	0	1	1	1	200000	0	0
21205	2	600000白银卡	35	600000白银	60000	1650	0	1	1	1	600000	0	0
21206	2	5000白银卡	35	5000白银	60000	1650	0	1	1	1	5000	0	0
21207	2	10000白银卡	35	10000白银	60000	1650	0	1	1	1	10000	0	0
21251	2	7000赌资	36	7000赌资	60000	100	50000	1	1	7	7000	0	0
21252	2	30000赌资	36	30000赌资	60000	375	200000	1	1	7	30000	0	0
21253	2	90000赌资	36	90000赌资	60000	900	0	1	1	7	90000	0	0
21254	2	250000赌资	36	250000赌资	60000	2000	0	1	1	7	250000	0	0
21255	2	600000赌资	36	600000赌资	60000	4750	0	1	1	7	600000	0	0
21301	2	10钻石卡	37	10钻石，在我的物品资源道具下使用可获得10钻石	60000	10	0	1	1	0	10	0	0
21302	2	20钻石卡	37	20钻石，在我的物品资源道具下使用可获得20钻石	60000	20	0	1	1	0	20	0	0
21303	2	30钻石卡	37	30钻石，在我的物品资源道具下使用可获得30钻石	60000	30	0	1	1	0	30	0	0
21304	2	40钻石卡	37	40钻石，在我的物品资源道具下使用可获得40钻石	60000	40	0	1	1	0	40	0	0
21305	2	50钻石卡	37	50钻石，在我的物品资源道具下使用可获得50钻石	60000	50	0	1	1	0	50	0	0
21306	2	100钻石卡	37	100钻石，在我的物品资源道具下使用可获得100钻石	60000	100	0	1	1	0	100	0	0
21401	2	20体力卡	58	使用可恢复20体力，但无法超出100的体力上限	60000	0	800	1	16	0	0	0	20
21402	2	40体力卡	58	使用可恢复40体力，但无法超出100的体力上限	60000	0	1500	1	16	0	0	0	40
21403	2	60体力卡	58	使用可恢复60体力，但无法超出100的体力上限	60000	0	2100	1	16	0	0	0	60
21404	2	80体力卡	58	使用可恢复80体力，但无法超出100的体力上限	60000	0	2600	1	16	0	0	0	80
21405	2	100体力卡	58	使用可恢复100体力，但无法超出100的体力上限	60000	0	3000	1	16	0	0	0	100
22001	3	加速卡（1分钟）	38	减少1分钟队列时间。	60000	3	5000	0	2	60	0	0	0
22002	3	加速卡（3分钟）	38	减少3分钟队列时间。	60000	8	0	0	2	180	0	0	0
22003	3	加速卡（5分钟）	38	减少5分钟队列时间。	60000	13	0	0	2	300	0	0	0
22004	3	加速卡（10分钟）	38	减少10分钟队列时间。	60000	25	0	0	2	600	0	0	0
22005	3	加速卡（15分钟）	38	减少15分钟队列时间。	60000	35	20000	0	2	900	0	0	0
22006	3	加速卡（1小时）	38	减少1小时队列时间。	60000	65	50000	0	2	3600	0	0	0
22007	3	加速卡（3小时）	38	减少3小时队列时间。	60000	150	150000	0	2	10800	0	0	0
22008	3	加速卡（8小时）	38	减少8小时队列时间。	60000	325	0	0	2	28800	0	0	0
22009	3	加速卡（15小时）	38	减少15小时队列时间。	60000	500	0	0	2	54000	0	0	0
22010	3	加速卡（24小时）	38	减少24小时队列时间。	60000	750	0	0	2	86400	0	0	0
22011	3	加速卡（3天）	38	减少3天队列时间。	60000	2200	0	0	2	259200	0	0	0
22051	3	轻灵靴	39	减少25%本次行军时间。	60000	250	0	0	13	0	0	0	25
22052	3	疾行靴	39	减少50%本次行军时间。	60000	450	0	0	13	0	0	0	50
23001	4	免战牌（8小时）	40	防止其他玩家对您进行攻击，持续8小时。	60000	250	200000	1	5	28800	0	0	0
23002	4	免战牌（24小时）	40	防止其他玩家对您进行攻击，持续24小时。	60000	500	0	1	5	86400	0	0	0
23003	4	免战牌（3天）	40	防止其他玩家对您进行攻击，持续3天。	60000	1250	0	1	5	259200	0	0	0
23004	4	反侦察令（24小时）	41	阻止敌军侦查您的城池，持续24小时。	60000	300	0	1	6	86400	0	0	0
23005	4	反侦察令（7天）	41	阻止敌军侦查您的城池，持续7天。	60000	1500	0	1	6	604800	0	0	0
23051	4	士气（12小时）	42	提升所有兵种20%攻击力，持续12小时。（在战役副本中无效）	60000	125	20000	1	4	41	2000	43200	4
23052	4	士气（24小时）	42	提升所有兵种20%攻击力，持续24小时。（在战役副本中无效）	60000	200	0	1	4	41	2000	86400	4
23101	4	护盾（12小时）	43	提升所有兵种20%防御力，持续12小时。（在战役副本中无效）	60000	125	20000	1	4	42	2000	43200	5
23102	4	护盾（24小时）	43	提升所有兵种20%防御力，持续24小时。（在战役副本中无效）	60000	200	0	1	4	42	2000	86400	5
23151	4	兵符	44	提升25%行军兵力上限，持续4小时。（在战役副本中无效）	60000	1200	200000	1	4	302	2500	14400	6
23152	4	虎符	44	提升50%行军兵力上限，持续4小时。（在战役副本中无效）	60000	2500	0	1	4	302	5000	14400	6
23201	4	瞒天过海	45	使您的军队在受到侦查时显示为双倍数量，持续24小时。	60000	100	15000	1	7	20000	86400	0	100
23251	4	撤兵令	46	在军队抵达目的地之前将其召回。	60000	20	5000	0	-1	0	0	0	0
23301	4	讨伐令（银）	47	提升武将25%攻击力，持续15分钟。（只对野怪有效）	60000	600	300000	1	4	46	2500	900	7
23302	4	讨伐令（金）	47	提升武将25%攻击力，持续30分钟。（只对野怪有效）	60000	1000	0	1	4	46	2500	1800	7
24001	5	普通宝石宝箱	48	可开出1-3级宝石一枚。	60000	300	60000	1	8	101|111|121|131|141|151|161|102|112|122|132|142|152|162|103|113|123|133|143|153|163	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
24002	5	珍贵宝石宝箱	48	可开出2-4级宝石一枚。	60000	1000	0	1	8	102|112|122|132|142|152|162|103|113|123|133|143|153|163|104|114|124|134|144|154|164	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|66|66|66|66|66|66|66	0
24003	5	稀有宝石宝箱	48	可开出3-5级宝石一枚。	60000	2500	0	1	8	103|113|123|133|143|153|163|104|114|124|134|144|154|164|105|115|125|135|145|155|165	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|66|66|66|66|66|66|66|20|20|20|20|20|20|20	0
24004	5	绝世宝石宝箱	48	可开出1-6级宝石一枚。	60000	1500	0	1	8	101|111|121|131|141|151|161|102|112|122|132|142|152|162|103|113|123|133|143|153|163|104|114|124|134|144|154|164|105|115|125|135|145|155|165|106|116|126|136|146|156|166	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|66|66|66|66|66|66|66|20|20|20|20|20|20|20|2|2|2|2|2|2|2	0
24051	5	普通材料宝箱	49	可开出1-3级材料一个。	60000	300	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
24052	5	珍贵材料宝箱	49	可开出2-4级材料一个。	60000	1000	0	1	8	1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003|1004|2004|3004|4004|5004|6004|7004|8004|9004|10004|11004|12004	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|66|66|66|66|66|66|66|66|66|66|66|66	0
24053	5	稀有材料宝箱	49	可开出3-5级材料一个。	60000	2500	0	1	8	1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003|1004|2004|3004|4004|5004|6004|7004|8004|9004|10004|11004|12004|1005|2005|3005|4005|5005|6005|7005|8005|9005|10005|11005|12005	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|66|66|66|66|66|66|66|66|66|66|66|66|20|20|20|20|20|20|20|20|20|20|20|20	0
24054	5	绝世材料宝箱	49	可开出1-6级材料一个。	60000	1500	0	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003|1004|2004|3004|4004|5004|6004|7004|8004|9004|10004|11004|12004|1005|2005|3005|4005|5005|6005|7005|8005|9005|10005|11005|12005|1006|2006|3006|4006|5006|6006|7006|8006|9006|10006|11006|12006	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|66|66|66|66|66|66|66|66|66|66|66|66|20|20|20|20|20|20|20|20|20|20|20|20|2|2|2|2|2|2|2|2|2|2|2|2	0
24101	5	普通经验宝箱	50	能让具有雄心壮志的年轻武将快速成长的宝箱。	60000	6000	0	1	12	20103|20102	2|2	0	0
24102	5	普通资源宝箱	50	装了少量资源的宝箱。	60000	750	0	1	12	21052|20002|21152|21202|21102	2|2|2|2|2	0	0
24103	5	珍贵资源宝箱	50	装了许多资源的宝箱。	60000	2750	0	1	12	21153|21053|21203|21003|21103	3|3|3|3|3	0	0
24104	5	稀有资源宝箱	50	装了大量资源的宝箱。	60000	5000	0	1	12	21154|21204|21004|21104|21054	2|2|2|2|2	0	0
24151	5	普通加速宝箱	50	用于加速的普通宝箱。	60000	1500	0	1	12	22008|22005|22006|22007	2|10|5|2	0	0
24152	5	珍贵加速宝箱	50	用于加速的珍贵宝箱。	60000	6500	0	1	12	22010|22005|22008|22006|22007	4|20|4|10|10	0	0
24201	5	普通防御宝箱	50	用于防御战的普通宝箱。	60000	1000	0	1	12	23101|22005|21002|21052|21152|22006|21202|21102	1|2|1|1|1|1|1|1	0	0
24202	5	珍贵防御宝箱	50	用于防御战的珍贵宝箱。	60000	2250	0	1	12	23102|22005|21153|22006|22007|21053|21003|21202|21103	1|6|2|4|2|2|2|1|2	0	0
24203	5	普通进攻宝箱	50	用于进攻战的普通宝箱。	60000	1200	0	1	12	22005|22006|21102|21002|22051|21152|21102|21202|23051	2|1|1|1|1|1|1|1|1	0	0
24204	5	珍贵进攻宝箱	50	用于进攻战的珍贵宝箱。	60000	2625	0	1	12	22005|21153|22052|22006|22007|23052|21003|21053|21202|21103	6|2|1|4|2|1|2|2|1|2	0	0
24251	5	普通逃生宝箱	50	用于逃生的普通宝箱。	60000	500	0	1	12	20353|20301|20351|23001	1|1|1|1	0	0
24252	5	珍贵逃生宝箱	50	用于逃生的珍贵宝箱。	60000	1250	0	1	12	20353|20302|20351|23002	1|1|1|1	0	0
24253	5	稀有逃生宝箱	50	用于逃生的稀有宝箱。	60000	2000	0	1	12	20353|20302|20351|23003	1|1|1|1	0	0
24281	5	献祭匕首*10	50	打开后获得10个献祭匕首	60000	65	0	1	12	20651	10	0	0
24282	5	献祭匕首*100	50	打开后获得100个献祭匕首	60000	600	0	1	12	20651	100	0	0
24283	5	献祭匕首*1000	50	打开后获得1000个献祭匕首	60000	5200	0	1	12	20651	1000	0	0
24284	5	铁枷锁*10	50	打开后获得10个铁枷锁	60000	65	0	1	12	20652	10	0	0
24285	5	铁枷锁*100	50	打开后获得100个铁枷锁	60000	600	0	1	12	20652	100	0	0
24286	5	铁枷锁*1000	50	打开后获得1000个铁枷锁	60000	5200	0	1	12	20652	1000	0	0
24287	5	《孙子兵法》*10	50	打开后获得10个《孙子兵法》	60000	65	0	1	12	20653	10	0	0
24288	5	《孙子兵法》*100	50	打开后获得100个《孙子兵法》	60000	600	0	1	12	20653	100	0	0
24289	5	《孙子兵法》*1000	50	打开后获得1000个《孙子兵法》	60000	5200	0	1	12	20653	1000	0	0
24301	5	新手宝箱	51	赠与新手玩家的宝箱。	60000	0	0	1	12	21306|21001|21051|21101|21151|20302|20304|20351	1|1|2|2|2|1|1|1	0	0
24302	5	宝箱 Lv.2	51	装满礼物的宝箱，升级府邸至 Lv.2 时可以领取。	60000	0	0	1	12	21306|22001|22002|22004	1|5|5|2	0	0
24303	5	宝箱 Lv.3	51	装满礼物的宝箱，升级府邸至 Lv.3 时可以领取。	60000	0	0	1	12	21306|20251|20252|21203|22005	1|2|2|1|2	0	0
24304	5	宝箱 Lv.4	51	装满礼物的宝箱，升级府邸至 Lv.4 时可以领取。	60000	0	0	1	12	21306|21001|21051|21101|21151	1|2|2|2|2	0	0
24305	5	宝箱 Lv.5	51	装满礼物的宝箱，升级府邸至 Lv.5 时可以领取。	60000	0	0	1	12	21306|24001|24051|23001	1|1|1|1	0	0
24306	5	宝箱 Lv.6	51	装满礼物的宝箱，升级府邸至 Lv.6 时可以领取。	60000	0	0	1	12	21306|20653|22005|20301|20701	1|1|5|1|1	0	0
24307	5	宝箱 Lv.7	51	装满礼物的宝箱，升级府邸至 Lv.7 时可以领取。	60000	0	0	1	12	21306|21203|20302|23004	1|2|1|1	0	0
24308	5	宝箱 Lv.8	51	装满礼物的宝箱，升级府邸至 Lv.8 时可以领取。	60000	0	0	1	12	21306|21002|21053|21103|21153	1|1|1|1|1	0	0
24309	5	宝箱 Lv.9	51	装满礼物的宝箱，升级府邸至 Lv.9 时可以领取。	60000	0	0	1	12	21306|20001|20051|23002	1|2|3|1	0	0
24310	5	宝箱 Lv.10	51	装满礼物的宝箱，升级府邸至 Lv.10 时可以领取。	60000	0	0	1	12	21306|20851|20601|20102|22006	1|3|1|2|2	0	0
24311	5	宝箱 Lv.11	51	装满礼物的宝箱，升级府邸至 Lv.11 时可以领取。	60000	0	0	1	12	21306|23151|24002|24052	1|1|1|1	0	0
24312	5	宝箱 Lv.12	51	装满礼物的宝箱，升级府邸至 Lv.12 时可以领取。	60000	0	0	1	12	21306|21204|22051|20501	1|1|2|1	0	0
24313	5	宝箱 Lv.13	51	装满礼物的宝箱，升级府邸至 Lv.13 时可以领取。	60000	0	0	1	12	21306|23151|21053|21103|21153	1|1|1|1|1	0	0
24314	5	宝箱 Lv.14	51	装满礼物的宝箱，升级府邸至 Lv.14 时可以领取。	60000	0	0	1	12	21306|23201|21053|21103|21153	1|1|2|2|2	0	0
24315	5	宝箱 Lv.15	51	装满礼物的宝箱，升级府邸至 Lv.15 时可以领取。	60000	0	0	1	12	21306|20651|22052|20451|22007	1|1|2|1|2	0	0
24316	5	宝箱 Lv.16	51	装满礼物的宝箱，升级府邸至 Lv.16 时可以领取。	60000	0	0	1	12	21306|20502|20601|20403	1|1|1|1	0	0
24317	5	宝箱 Lv.17	51	装满礼物的宝箱，升级府邸至 Lv.17 时可以领取。	60000	0	0	1	12	21306|22008|20102|23051|23101	1|1|2|1|1	0	0
24318	5	宝箱 Lv.18	51	装满礼物的宝箱，升级府邸至 Lv.18 时可以领取。	60000	0	0	1	12	21306|22010|21054|21104|21154	1|1|1|1|1	0	0
24319	5	宝箱 Lv.19	51	装满礼物的宝箱，升级府邸至 Lv.19 时可以领取。	60000	0	0	1	12	21306|22010|21204|22052	1|1|2|1	0	0
24320	5	宝箱 Lv.20	51	装满礼物的宝箱，升级府邸至 Lv.20 时可以领取。	60000	0	0	1	12	21306|20654|20503|24054|24004	1|1|1|1|1	0	0
24321	5	宝箱 Lv.21	51	装满礼物的宝箱，升级府邸至 Lv.21 时可以领取。	60000	0	0	1	12	21306|20404|23052|23102|23152	1|1|2|2|2	0	0
24401	5	普通击杀野怪宝箱	58	装有宝石或材料，但一般等级较低	60000	0	0	1	8	101|111|121|131|141|151|161|102|112|122|132|142|152|162|103|113|123|133|143|153|163|1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
24402	5	珍贵击杀野怪宝箱	58	有几率开出高等级材料或宝石	60000	0	0	1	8	102|112|122|132|142|152|162|103|113|123|133|143|153|163|104|114|124|134|144|154|164|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003|1004|2004|3004|4004|5004|6004|7004|8004|9004|10004|11004|12004	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|66|66|66|66|66|66|66|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|66|66|66|66|66|66|66|66|66|66|66|66	0
24403	5	稀有击杀野怪宝箱	58	更高几率开出高等级材料或宝石	60000	0	0	1	8	103|113|123|133|143|153|163|104|114|124|134|144|154|164|105|115|125|135|145|155|165|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003|1004|2004|3004|4004|5004|6004|7004|8004|9004|10004|11004|12004|1005|2005|3005|4005|5005|6005|7005|8005|9005|10005|11005|12005	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|66|66|66|66|66|66|66|20|20|20|20|20|20|20|100|100|100|100|100|100|100|100|100|100|100|100|66|66|66|66|66|66|66|66|66|66|66|66|20|20|20|20|20|20|20|20|20|20|20|20	0
30001	1	采石能手	52	提升25%石材产量，持续1天。	60000	0	7000	1	4	104	2500	86400	8
30002	1	采矿能手	53	提升25%生铁产量，持续1天。	60000	0	7000	1	4	105	2500	86400	9
30003	1	农业能手	54	提升25%粮草产量，持续1天。	60000	0	7000	1	4	102	2500	86400	10
30004	1	伐木能手	55	提升25%木材产量，持续1天。	60000	0	7000	1	4	103	2500	86400	11
30005	1	商界新秀	56	提升25%白银产量，持续1天。	60000	0	15000	1	4	101	2500	86400	12
30006	1	采石大师	52	提升25%石材产量，持续7天。	60000	0	42000	1	4	104	2500	604800	8
30007	1	采矿大师	53	提升25%生铁产量，持续7天。	60000	0	42000	1	4	105	2500	604800	9
30008	1	农业大师	54	提升25%粮草产量，持续7天。	60000	0	42000	1	4	102	2500	604800	10
30009	1	伐木大师	55	提升25%木材产量，持续7天。	60000	0	42000	1	4	103	2500	604800	11
30010	1	商界大师	56	提升25%白银产量，持续7天。	60000	0	80000	1	4	101	2500	604800	12
