id	建筑名称	建筑类型	是否可摧毁	等级上限	建筑的最大数量	1-21建筑数量	建筑位置	动画人物名称	动画人物坐标(x|y)	动画人物帧数	动画人物帧速度(ms)	建筑描述	建筑升级描述	建造描述	更多描述
1008	祭坛	5	1	21	1	0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1	1	-1	-1	-1	-1	成功处决一名敌军武将便可激活祭坛赋予您武将的各项属性加成，加成效果持续一天。升级您的祭坛，以便获得更多属性加成。	成功处决一名敌军武将便可激活祭坛赋予您武将的各项属性加成，加成效果持续一天。升级您的祭坛，以便获得更多属性加成。	建造祭坛来获得武将属性加成	成功处决一名敌军武将便可激活祭坛赋予您武将的各项属性加成，加成效果持续一天。升级您的祭坛，以便获得更多属性加成。
1009	兵营	6	1	21	100	1|2|3|3|3|4|4|4|4|5|5|5|5|5|5|5|5|5|5|5|5	1	soldier1	60|60	9	200	升级兵营，能增加士兵训练上限。建造多个兵营，可以获得更多的兵营奖励。点击兵种进行训练，可获得该兵种士兵。	升级兵营，能增加士兵训练上限。建造多个兵营，可以获得更多的兵营奖励。	建造兵营来训练获得士兵	士兵每小时会消耗一定的粮草，称为“消耗”。以下是您的军队及其消耗列表。
1010	使馆	7	1	21	1	0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1	-1	-1	-1	-1	使馆是专门用来接纳联盟守城战援军的地方	升级使馆来接纳更多的联盟守城战援军	建造使馆来接纳联盟守城战援军	升级您的使馆，以便能接纳更多援军。援军的粮草消耗由援军的主公承担。使馆是一个非常重要的建筑，它能接纳来自联盟的援军来帮助您抵抗入侵者。在任何您需要帮助的时候，别忘了向您的联盟求助！到达的援军将自动变为您的兵种等级，并继承您所有的增益！
1011	铁匠铺	8	1	21	1	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1	worker2	100|100	6	200	-1	您能在铁匠铺中制造装备，合成宝石及材料。升级铁匠铺能减少制造与合成所花费的时间。	建造铁匠铺来制造装备	您可以在铁匠铺里为您的武将制造装备。也可以在这里通过合成宝石或材料，来提高它们的等级或品阶。不断升级铁匠铺，能大大缩短制造与合成所需的时间。每制造一个装备，您的武将还能获得一定经验。 
1013	军政厅	10	1	21	1	0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1	-1	-1	-1	-1	军政厅是专门用来接纳联盟攻城战援军的地方。您可以在军政厅中组织联盟战争，去粉碎您的敌人。	升级军政厅来接纳更多的联盟攻城战援军	建造军政厅来接纳联盟攻城战援军	战争的发起人就是这场战争的领导者。只有领导者的武将能带领所有援军出征。所有参战援军将继承领导者的能力，包括兵种等级和所有增益！联盟集火战参与主公满50人，胜利后可将敌军主城打飞！
1014	医馆	11	1	21	100	1|2|3|3|3|4|4|4|4|5|5|5|5|5|5|5|5|5|5|5|5	1	-1	-1	-1	-1	-1	升级您的医馆，以便治疗更多的伤兵。	建造医馆来治疗伤兵	继续建造和升级您的医馆，以便治疗更多的伤兵。医馆只会收留在守城战中受伤的士兵。
1015	集市	12	1	21	1	0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1	-1	-1	-1	-1	-1	升级您的集市，以便转移更多的资源。	建造集市来向您的盟友转移资源	升级您的集市，能增加每次资源转移的数量，同时减少系统税收比例。
1016	地牢	13	1	21	1	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1	-1	-1	-1	-1	-1	处决的武将等级越高，处决所需时间越长，升级地牢能减少处决时间。地牢每升1级，增加一个地牢位置。	建造地牢来关押、劝降、处决敌军武将	建造地牢后，便可抓捕、关押、处决敌军武将。处决的武将等级越高，处决所需时间越长。升级地牢能减少处决时间。地牢每升1级，增加一个地牢位置。您还可以在地牢中劝降被关押的名将，成功劝降的名将会替换掉您当前的武将。
1017	钱庄	14	1	21	100	1|2|3|3|3|4|4|4|4|5|5|5|5|5|5|5|5|5|5|5|5	1	-1	-1	-1	-1	钱庄能为您带来可观的白银收入。升级钱庄能提升白银拥有上限，并带来更多的收入。当资源达到储量上限，则会停止生产资源。	钱庄能为您带来可观的白银收入。升级钱庄能提升白银拥有上限，并带来更多的收入。当资源达到储量上限，则会停止生产资源。	建造钱庄来为您的城池提供白银	钱庄能为您带来可观的白银收入。建造和升级更多的钱庄，能获得不菲的白银收入。当资源达到储量上限，则会停止生产资源。
1018	城墙	15	0	21	1	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1	-1	-1	-1	-1	让您的城墙防御始终处于加满状态，可以更好的保卫您的城池！	城墙能够提供强力防御，阻击敌人的进攻。升级城墙，能增加陷阱建造上限。	-1	城墙陷阱能为您抵御进攻的敌人，建造陷阱能提升您的城墙防御。请尽可能的升级您的城墙，并建造尽可能多的陷阱来保卫您的城池。
1019	哨塔	16	1	21	1	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1	-1	-1	-1	-1	升级您的哨塔，以便获取更多重要情报（以邮件形式发送）。	当有人向您进军时，哨塔会向您做出战争预警，并为您刺探敌军军情。升级您的哨塔，以便获取更多更详细的重要情报。	-1	当有人向您进军时，哨塔会向您做出战争预警，并为您刺探敌军军情。升级您的哨塔，以便获取更多更详细的重要情报。
1020	别院	17	1	21	1	0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1	-1	-1	-1	-1	别院能为您的武将提供经验加成。当您获得新武将时，别院还能帮助您的新武将继承前武将所拥有的经验。	升级您的别院，以便获得更多的经验加成，以及更多的经验继承。	建造别院来获得武将经验加成及经验继承	别院能为您的武将提供经验加成。当您获得新武将时，别院还能帮助您的新武将继承前武将所拥有的经验。（武将阵亡后，您也可以在商店购买‘回魂丹’来复活您的武将）。
1021	墓地	18	0	1	1	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	2	-1	-1	-1	-1	在倒计时结束前，您可以复活该武将。在倒计时结束后，您将真正失去该武将。	-1	-1	-1
1022	点将台	19	0	1	1	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1	-1	-1	-1	-1	您可以在点将台内招募名将和普通武将	-1	-1	您可以在点将台内招募名将和普通武将。通过暗拍或直接购买的方式，拥有您心目中的名将！每一位名将都是世界唯一的！只能同时被一人所拥有！名将比普通武将更容易成为被攻击的对象，也更容易被敌军捕获。地牢中关押有名将期间，您将不能使用免战牌道具。捕获名将后可使用劝降书道具对名将进行劝降，劝降成功后，该名将会自动替换掉您现有的武将。新武将根据别院等级来继承原有武将的经验。
