建筑id	建筑当前等级	图片	需求前序建筑	前序建筑等级	升级时间sec	升级消耗资源012345	升级消耗道具1234	道具数量1234	升级增加英雄经验	本等级对应战力
1001	16	fudi.png	1018|1015	16|16	642110	0|0|2152418|4304837|4304837|1722263	-1	-1	20000	147140
1001	17	fudi.png	1018|1009	17|17	1027376	0|0|3228632|6457257|6457257|2583395	-1	-1	20000	221015
1001	18	fudi.png	1018|1020	18|18	1849277	0|0|4842948|9685886|9685886|3875093	-1	-1	20000	331015
1001	19	fudi.png	1018|1019	19|19	3328699	0|0|7264422|14528829|14528829|5812640	-1	-1	100000	497215
1001	20	fudi.png	1018|1006	20|20	13314796	0|0|10896633|21793244|21793244|8718960	20654	1	100000	746565
1002	0	nongtian1.png	-1	-1	50	0|0|0|100|100|100	-1	-1	10	5
1002	1	nongtian1.png	-1	-1	100	0|0|0|170|170|170	-1	-1	25	15
1002	2	nongtian1.png	-1	-1	200	0|0|0|289|289|289	-1	-1	50	30
1002	3	nongtian1.png	-1	-1	400	0|0|0|492|492|492	-1	-1	200	55
1002	4	nongtian2.png	-1	-1	800	0|0|0|837|837|837	-1	-1	400	90
1002	5	nongtian2.png	1001	6	1600	0|0|0|1674|1674|1674	-1	-1	500	145
1002	6	nongtian3.png	1001	7	3200	0|0|0|3348|3348|3348	-1	-1	500	230
1002	7	nongtian3.png	1001	8	6400	0|0|0|6696|6696|6696	-1	-1	500	355
1002	8	nongtian3.png	1001	9	12800	0|0|0|13392|13392|13392	-1	-1	500	545
1002	9	nongtian3.png	1001	10	25600	0|0|0|20088|20088|20088	-1	-1	500	830
1002	10	nongtian3.png	1001	11	30720	0|0|0|30132|30132|30132	-1	-1	500	1260
1002	11	nongtian3.png	1001	12	36864	0|0|0|45198|45198|45198	-1	-1	500	1905
1002	12	nongtian3.png	1001	13	44237	0|0|0|67797|67797|67797	-1	-1	1000	2875
1002	13	nongtian3.png	1001	14	53085	0|0|0|101696|101696|101696	-1	-1	2500	4330
1002	14	nongtian3.png	1001	15	63702	0|0|0|152544|152544|152544	-1	-1	2500	6515
1002	15	nongtian3.png	1001	16	76443	0|0|0|228815|228815|228815	-1	-1	2500	9795
1002	16	nongtian3.png	1001	17	107021	0|0|0|343222|343222|343222	-1	-1	2500	14720
1002	17	nongtian3.png	1001	18	171234	0|0|0|514836|514836|514836	-1	-1	2500	22105
1002	18	nongtian3.png	1001	19	308222	0|0|0|772254|772254|772254	-1	-1	5000	33185
1002	19	nongtian3.png	1001	20	554800	0|0|0|1158381|1158381|1158381	-1	-1	5000	49810
1002	20	nongtian3.png	1001	21	2219200	0|0|0|1737572|1737572|1737572	20654	1	10000	74745
1003	0	famuchang1.png	-1	-1	60	0|0|100|0|100|100	-1	-1	10	5
1003	1	famuchang1.png	-1	-1	120	0|0|170|0|170|170	-1	-1	25	15
1003	2	famuchang1.png	-1	-1	240	0|0|289|0|289|289	-1	-1	50	30
1003	3	famuchang1.png	-1	-1	480	0|0|492|0|492|492	-1	-1	200	55
1003	4	famuchang2.png	-1	-1	960	0|0|837|0|837|837	-1	-1	400	90
1003	5	famuchang2.png	1001	6	1920	0|0|1674|0|1674|1674	-1	-1	500	145
1003	6	famuchang3.png	1001	7	3840	0|0|3348|0|3348|3348	-1	-1	500	230
1003	7	famuchang3.png	1001	8	7680	0|0|6696|0|6696|6696	-1	-1	500	355
1003	8	famuchang3.png	1001	9	15360	0|0|13392|0|13392|13392	-1	-1	500	545
1003	9	famuchang3.png	1001	10	30720	0|0|20088|0|20088|20088	-1	-1	500	830
1003	10	famuchang3.png	1001	11	36864	0|0|30132|0|30132|30132	-1	-1	500	1260
1003	11	famuchang3.png	1001	12	44237	0|0|45198|0|45198|45198	-1	-1	500	1905
1003	12	famuchang3.png	1001	13	53085	0|0|67797|0|67797|67797	-1	-1	1000	2875
1003	13	famuchang3.png	1001	14	63702	0|0|101696|0|101696|101696	-1	-1	2500	4330
1003	14	famuchang3.png	1001	15	76443	0|0|152544|0|152544|152544	-1	-1	2500	6515
1003	15	famuchang3.png	1001	16	91732	0|0|228815|0|228815|228815	-1	-1	2500	9795
1003	16	famuchang3.png	1001	17	128425	0|0|343224|0|343224|343224	-1	-1	2500	14720
1003	17	famuchang3.png	1001	18	205200	0|0|514836|0|514836|514836	-1	-1	2500	22105
1003	18	famuchang3.png	1001	19	369864	0|0|772254|0|772254|772254	-1	-1	5000	33185
1003	19	famuchang3.png	1001	20	665756	0|0|1158381|0|1158381|1158381	-1	-1	5000	49810
1003	20	famuchang3.png	1001	21	2663024	0|0|1737572|0|1737572|1737572	20654	1	10000	74745
1004	0	tiekuangchang1.png	-1	-1	80	0|0|100|100|100|0	-1	-1	10	5
1004	1	tiekuangchang1.png	-1	-1	160	0|0|170|170|170|0	-1	-1	25	15
1004	2	tiekuangchang1.png	-1	-1	320	0|0|289|289|289|0	-1	-1	50	30
1004	3	tiekuangchang1.png	-1	-1	640	0|0|492|492|492|0	-1	-1	200	55
1004	4	tiekuangchang2.png	-1	-1	1280	0|0|837|837|837|0	-1	-1	400	90
1004	5	tiekuangchang2.png	1001	6	2560	0|0|1674|1674|1674|0	-1	-1	500	145
1004	6	tiekuangchang3.png	1001	7	5120	0|0|3348|3348|3348|0	-1	-1	500	230
1004	7	tiekuangchang3.png	1001	8	10240	0|0|6696|6696|6696|0	-1	-1	500	355
1004	8	tiekuangchang3.png	1001	9	20480	0|0|13392|13392|13392|0	-1	-1	500	545
1004	9	tiekuangchang3.png	1001	10	40960	0|0|20088|20088|20088|0	-1	-1	500	830
1004	10	tiekuangchang3.png	1001	11	49152	0|0|30132|30132|30132|0	-1	-1	500	1260
1004	11	tiekuangchang3.png	1001	12	58983	0|0|45198|45198|45198|0	-1	-1	500	1905
1004	12	tiekuangchang3.png	1001	13	70780	0|0|67797|67797|67797|0	-1	-1	1000	2875
1004	13	tiekuangchang3.png	1001	14	84936	0|0|101696|101696|101696|0	-1	-1	2500	4330
1004	14	tiekuangchang3.png	1001	15	101924	0|0|152544|152544|152544|0	-1	-1	2500	6515
1004	15	tiekuangchang3.png	1001	16	122309	0|0|228816|228816|228816|0	-1	-1	2500	9795
1004	16	tiekuangchang3.png	1001	17	171233	0|0|343224|343224|343224|0	-1	-1	2500	14720
1004	17	tiekuangchang3.png	1001	18	273973	0|0|514836|514836|514836|0	-1	-1	2500	22105
1004	18	tiekuangchang3.png	1001	19	493152	0|0|772254|772254|772254|0	-1	-1	5000	33185
1004	19	tiekuangchang3.png	1001	20	887674	0|0|1158381|1158381|1158381|0	-1	-1	5000	49810
1004	20	tiekuangchang3.png	1001	21	3550696	0|0|1737572|1737572|1737572|0	20654	1	10000	74745
1005	0	caishichang1.png	-1	-1	70	0|0|100|100|0|100	-1	-1	10	5
1005	1	caishichang1.png	-1	-1	140	0|0|170|170|0|170	-1	-1	25	15
1005	2	caishichang1.png	-1	-1	280	0|0|289|289|0|289	-1	-1	50	30
1005	3	caishichang1.png	-1	-1	560	0|0|492|492|0|492	-1	-1	200	55
1005	4	caishichang2.png	-1	-1	1120	0|0|837|837|0|837	-1	-1	400	90
1005	5	caishichang2.png	1001	6	2240	0|0|1674|1674|0|1674	-1	-1	500	145
1005	6	caishichang2.png	1001	7	4480	0|0|3348|3348|0|3348	-1	-1	500	230
1005	7	caishichang3.png	1001	8	8960	0|0|6696|6696|0|6696	-1	-1	500	355
1005	8	caishichang3.png	1001	9	17920	0|0|13392|13392|0|13392	-1	-1	500	545
1005	9	caishichang3.png	1001	10	35840	0|0|20088|20088|0|20088	-1	-1	500	830
1005	10	caishichang3.png	1001	11	43008	0|0|30132|30132|0|30132	-1	-1	500	1260
1005	11	caishichang3.png	1001	12	51610	0|0|45198|45198|0|45198	-1	-1	500	1905
1005	12	caishichang3.png	1001	13	61932	0|0|67797|67797|0|67797	-1	-1	1000	2875
1005	13	caishichang3.png	1001	14	74319	0|0|101696|101696|0|101696	-1	-1	2500	4330
1005	14	caishichang3.png	1001	15	89183	0|0|152543|152543|0|152543	-1	-1	2500	6515
1005	15	caishichang3.png	1001	16	107020	0|0|228815|228815|0|228815	-1	-1	2500	9795
1005	16	caishichang3.png	1001	17	149785	0|0|343222|343222|0|343222	-1	-1	2500	14720
1005	17	caishichang3.png	1001	18	239725	0|0|514836|514836|0|514836	-1	-1	2500	22105
1005	18	caishichang3.png	1001	19	431505	0|0|772254|772254|0|772254	-1	-1	5000	33185
1005	19	caishichang3.png	1001	20	776709	0|0|1158381|1158381|0|1158381	-1	-1	5000	49810
1005	20	caishichang3.png	1001	21	3106836	0|0|1737572|1737572|0|1737572	20654	1	10000	74745
1006	0	cangku1.png	1001	1	120	0|0|170|340|340|255	-1	-1	10	10
1006	1	cangku1.png	1001	2	120	0|0|340|680|680|510	-1	-1	25	30
1006	2	cangku1.png	1001	3	240	0|0|578|1156|1156|867	-1	-1	50	60
1006	3	cangku1.png	1001	4	480	0|0|985|1966|1966|1474	-1	-1	200	110
1006	4	cangku2.png	1001	5	960	0|0|1672|3343|3343|2506	-1	-1	400	180
1006	5	cangku2.png	1001	6	1920	0|0|3344|6686|6686|5012	-1	-1	500	290
1006	6	cangku2.png	1001	7	3840	0|0|6688|13372|13372|10024	-1	-1	500	460
1006	7	cangku3.png	1001	8	7680	0|0|13376|26744|26744|20048	-1	-1	500	710
1006	8	cangku3.png	1001	9	15360	0|0|26752|53488|53488|40096	-1	-1	500	1090
1006	9	cangku3.png	1001	10	30720	0|0|40128|80232|80232|60144	-1	-1	500	1660
1006	10	cangku3.png	1001	11	36864	0|0|60192|120348|120348|90216	-1	-1	500	2520
1006	11	cangku3.png	1001	12	44237	0|0|90288|180522|180522|135324	-1	-1	500	3810
1006	12	cangku3.png	1001	13	53085	0|0|135432|270783|270783|202986	-1	-1	500	5750
1006	13	cangku3.png	1001	14	63702	0|0|203148|406175|406175|304479	-1	-1	1000	8660
1006	14	cangku3.png	1001	15	76442	0|0|304722|609263|609263|456719	-1	-1	2000	13030
1006	15	cangku3.png	1001	16	91731	0|0|457083|913895|913895|685079	-1	-1	2500	19590
1006	16	cangku3.png	1001	17	128425	0|0|685625|1370843|1370843|1027619	-1	-1	2500	29440
1006	17	cangku3.png	1001	18	205480	0|0|1028438|2056265|2056265|1541429	-1	-1	5000	44210
1006	18	cangku3.png	1001	19	369864	0|0|1542657|3084398|3084398|2312144	-1	-1	5000	66370
1006	19	cangku3.png	1001	20	665755	0|0|2313986|4626597|4626597|3468216	-1	-1	10000	99620
1006	20	cangku3.png	1001	21	2663024	0|0|3470979|6939896|6939896|5202324	20654	1	10000	149495
1007	0	shuyuan1.png	1001	1	100	0|0|300|500|500|200	-1	-1	10	35
1007	1	shuyuan1.png	1001	2	200	0|0|540|900|900|360	-1	-1	25	105
1007	2	shuyuan1.png	1001	3	400	0|0|972|1620|1620|648	-1	-1	50	210
1007	3	shuyuan1.png	1001	4	800	0|0|1750|2916|2916|1167	-1	-1	200	385
1007	4	shuyuan2.png	1001	5	1600	0|0|3150|5249|5249|2101	-1	-1	400	630
1007	5	shuyuan2.png	1001	6	3200	0|0|6300|10498|10498|4202	-1	-1	500	1015
1007	6	shuyuan3.png	1001	7	6400	0|0|12600|20996|20996|8404	-1	-1	500	1610
1007	7	shuyuan3.png	1001	8	12800	0|0|25200|41992|41992|16808	-1	-1	500	2485
1007	8	shuyuan3.png	1001	9	25600	0|0|50400|83984|83984|33616	-1	-1	500	3815
1007	9	shuyuan3.png	1001	10	51200	0|0|75600|125976|125976|50424	-1	-1	500	5810
1007	10	shuyuan3.png	1001	11	61400	0|0|113400|188964|188964|75636	-1	-1	500	8820
1007	11	shuyuan3.png	1001	12	73718	0|0|170100|283446|283446|113454	-1	-1	500	13335
1007	12	shuyuan3.png	1001	13	88474	0|0|255150|425169|425169|170181	-1	-1	500	20125
1007	13	shuyuan3.png	1001	14	106168	0|0|382725|637754|637754|255272	-1	-1	2000	30310
1007	14	shuyuan3.png	1001	15	127403	0|0|574088|956631|956631|382908	-1	-1	2000	45605
1007	15	shuyuan3.png	1001	16	152884	0|0|861132|1434947|1434947|574362	-1	-1	2500	68565
1007	16	shuyuan3.png	1001	17	214038	0|0|1291698|2152421|2152421|861543	-1	-1	2500	103040
1007	17	shuyuan3.png	1001	18	342461	0|0|1937547|3228632|3228632|1292315	-1	-1	5000	154735
1007	18	shuyuan3.png	1001	19	616430	0|0|2906321|4842948|4842948|1938473	-1	-1	5000	232295
1007	19	shuyuan3.png	1001	20	1109574	0|0|4359482|7264422|7264422|2907709	-1	-1	10000	348670
1007	20	shuyuan3.png	1001	21	4438296	0|0|6539223|10896633|10896633|4361564	20654	1	10000	523215
1008	0	jitan1.png	1016	15	120	0|0|300|200|500|100	20651	1	10	15
1008	1	jitan1.png	1016	15	240	0|0|540|360|900|180	20651	2	25	45
1008	2	jitan1.png	1016	15	480	0|0|972|648|1620|324	20651	5	50	105
1008	3	jitan1.png	1016	15	960	0|0|1750|1167|2916|584	20651	12	200	195
1008	4	jitan2.png	1016	15	1920	0|0|3150|2101|5249|1052	20651	25	400	325
1008	5	jitan2.png	1016	15	3840	0|0|6300|4202|10498|2104	20651	50	500	515
1008	6	jitan2.png	1016	15	7680	0|0|12600|8404|20996|4208	20651	65	500	805
1008	7	jitan3.png	1016	15	15360	0|0|25200|16808|41992|8416	20651	90	500	1240
1008	8	jitan3.png	1016	15	30720	0|0|50400|33616|83984|16832	20651	100	500	1890
1008	9	jitan3.png	1016	15	61440	0|0|75600|50424|125976|25248	20651	150	500	2870
1008	10	jitan3.png	1016	15	73728	0|0|113400|75636|188964|37872	20651	250	500	4340
1008	11	jitan3.png	1016	15	88474	0|0|170100|113454|283446|56808	20651	400	500	6545
1008	12	jitan3.png	1016	15	106169	0|0|255150|170181|425169|85212	20651	700	1000	9845
1008	13	jitan3.png	1016	15	127403	0|0|382725|255272|637754|127818	20651	1000	1000	14940
1008	14	jitan3.png	1016	15	152884	0|0|574088|382908|956631|191727	20651	1300	2500	22583
1008	15	jitan3.png	1016	16	183461	0|0|861132|574362|1434947|287591	20651	1600	2500	34048
1008	16	jitan3.png	1016	17	256846	0|0|1291698|861543|2152421|431387	20651	2000	2500	51246
1008	17	jitan3.png	1016	18	410954	0|0|1937547|1292315|3228632|647081	20651	2250	2500	77043
1008	18	jitan3.png	1016	19	739718	0|0|2906321|1938473|4842948|970622	20651	2500	5000	115739
1008	19	jitan3.png	1016	20	1331493	0|0|4359482|2907710|7264422|1455933	20651	3000	10000	173783
1008	20	jitan3.png	1016	21	5325972	0|0|6539633|4361565|10896633|2183900	20654|20651	1|4500	10000	260849
1009	0	bingying1.png	-1	-1	90	0|0|250|400|500|300	-1	-1	10	20
1009	1	bingying1.png	1005	2	180	0|0|425|680|850|510	-1	-1	25	60
1009	2	bingying1.png	1005	3	360	0|0|723|1156|1445|867	-1	-1	50	120
1009	3	bingying1.png	1005	4	720	0|0|1230|1966|2457|1473	-1	-1	200	220
1009	4	bingying2.png	1005	5	1440	0|0|2091|3343|4177|2506	-1	-1	400	360
1009	5	bingying2.png	1005	6	2880	0|0|4182|6686|8354|5012	-1	-1	500	580
1009	6	bingying3.png	1005	7	5760	0|0|8364|13372|16708|10024	-1	-1	500	920
1009	7	bingying3.png	1005	8	11520	0|0|16728|26744|33416|20048	-1	-1	500	1480
1009	8	bingying3.png	1005	9	23040	0|0|33456|53488|66832|40096	-1	-1	500	2240
1009	9	bingying3.png	1005	10	46080	0|0|50184|80232|100248|60144	-1	-1	500	3380
1009	10	bingying3.png	1005	11	55296	0|0|75276|120348|150372|90216	-1	-1	500	5090
1009	11	bingying3.png	1005	12	66356	0|0|113589|180522|225558|135324	-1	-1	500	7670
1009	12	bingying3.png	1005	13	79628	0|0|170384|270783|338337|202986	-1	-1	1000	12035
1009	13	bingying3.png	1005	14	95554	0|0|255576|406175|507506|304479	-1	-1	1000	18585
1009	14	bingying3.png	1005	15	114665	0|0|381086|609263|761259|456719	-1	-1	2500	28410
1009	15	bingying3.png	1005	16	137598	0|0|571629|913895|1141889|685079	-1	-1	2500	43147
1009	16	bingying3.png	1005	17	192638	0|0|862569|1370843|1712834|1027619	-1	-1	2500	65312
1009	17	bingying3.png	1005	18	308221	0|0|1286166|2056265|2569251|1541429	-1	-1	2500	94852
1009	18	bingying3.png	1005	19	554798	0|0|1929249|3084398|3853877|2312144	-1	-1	5000	139172
1009	19	bingying3.png	1005	20	998637	0|0|2893874|4626597|5780816|3468216	20654	1	10000	205672
1010	20	bingying3.png	1005	21	3994548	0|0|4340811|6939896|8671224|5202324	-1	-1	10000	305422
1010	0	shiguan1.png	1005	6	75	0|0|400|600|600|300	-1	-1	10	10
1010	1	shiguan1.png	1005	6	150	0|0|680|1020|1020|510	-1	-1	25	35
1010	2	shiguan1.png	1005	6	300	0|0|1156|1734|1734|867	-1	-1	50	75
1010	3	shiguan1.png	1005	7	600	0|0|1966|2948|2948|1474	-1	-1	200	135
1010	4	shiguan2.png	1005	7	1200	0|0|3343|5012|5012|2506	-1	-1	400	225
1010	5	shiguan2.png	1005	8	2400	0|0|6686|10024|10024|5012	-1	-1	500	360
1010	6	shiguan2.png	1005	8	4800	0|0|13373|20048|20048|10024	-1	-1	500	575
1010	7	shiguan3.png	1005	9	9600	0|0|26744|40096|40096|20048	-1	-1	500	885
1010	8	shiguan3.png	1005	9	19200	0|0|53488|80192|80182|40096	-1	-1	500	1360
1010	9	shiguan3.png	1005	10	38400	0|0|80232|120288|120288|60144	-1	-1	500	2075
1010	10	shiguan3.png	1005	11	46080	0|0|120348|180432|180432|90216	-1	-1	500	3150
1010	11	shiguan3.png	1005	12	55296	0|0|180522|270648|270648|135324	-1	-1	500	4760
1010	12	shiguan3.png	1005	13	66356	0|0|270783|405972|405972|202986	-1	-1	1000	7185
1010	13	shiguan3.png	1005	14	79628	0|0|406175|608958|608958|304479	-1	-1	1000	10825
1010	14	shiguan3.png	1005	15	95554	0|0|609263|913437|913437|456719	-1	-1	2500	16285
1010	15	shiguan3.png	1005	16	114665	0|0|913895|1370156|1370156|685079	-1	-1	2500	24485
1010	16	shiguan3.png	1005	17	160531	0|0|1370843|2055234|2055234|1027619	-1	-1	2500	36800
1010	17	shiguan3.png	1005	18	256850	0|0|2056265|3082851|3082851|1541429	-1	-1	2500	55260
1010	18	shiguan3.png	1005	19	462330	0|0|3084398|4624277|4624277|2313144	-1	-1	5000	82960
1010	19	shiguan3.png	1005	20	832194	0|0|4626597|6936416|6936416|3468216	-1	-1	10000	124525
1010	20	shiguan3.png	1005	21	3328776	0|0|6939896|10404624|10404624|5202324	20654	1	10000	186860
1011	0	tiejiangpu1.png	1004	1	75	0|0|300|400|300|800	-1	-1	10	10
1011	1	tiejiangpu1.png	1004	2	150	0|0|510|680|510|1360	-1	-1	25	35
1011	2	tiejiangpu1.png	1004	3	300	0|0|867|1156|867|2312	-1	-1	50	75
1011	3	tiejiangpu1.png	1004	4	600	0|0|1474|1966|1474|3931	-1	-1	200	135
1011	4	tiejiangpu1.png	1004	5	1200	0|0|2506|3343|2506|6683	-1	-1	400	225
1011	5	tiejiangpu1.png	1004	6	2400	0|0|5012|6686|5012|13366	-1	-1	500	360
1011	6	tiejiangpu1.png	1004	7	4800	0|0|10024|13372|10024|26732	-1	-1	500	575
1011	7	tiejiangpu1.png	1004	8	9600	0|0|20048|26744|20048|53464	-1	-1	500	885
1011	8	tiejiangpu1.png	1004	9	19200	0|0|40096|53488|40096|106928	-1	-1	500	1360
1011	9	tiejiangpu1.png	1004	10	38400	0|0|60144|80232|60144|160392	-1	-1	500	2075
1011	10	tiejiangpu1.png	1004	11	46080	0|0|90216|120348|90216|240588	-1	-1	500	3150
1011	11	tiejiangpu1.png	1004	12	55296	0|0|135324|180522|135324|360882	-1	-1	500	4760
1011	12	tiejiangpu1.png	1004	13	66355	0|0|202986|270783|202986|541323	-1	-1	1000	7185
1011	13	tiejiangpu1.png	1004	14	79629	0|0|304479|406175|304479|811985	-1	-1	1000	10825
1011	14	tiejiangpu1.png	1004	15	95555	0|0|456719|609263|456719|1217978	-1	-1	2500	16285
1011	15	tiejiangpu1.png	1004	16	114666	0|0|685079|913895|685079|1826967	-1	-1	2500	24485
1011	16	tiejiangpu1.png	1004	17	160531	0|0|1027619|1370843|1027619|2740451	-1	-1	2500	36800
1011	17	tiejiangpu1.png	1004	18	256850	0|0|1541429|2056265|1541429|4110677	-1	-1	2500	55260
1011	18	tiejiangpu1.png	1004	19	462330	0|0|2312144|3084398|2312144|6166016	-1	-1	5000	82960
1011	19	tiejiangpu1.png	1004	20	832194	0|0|3468216|4626597|3468216|9249024	-1	-1	10000	124525
1011	20	tiejiangpu1.png	1004	21	3328776	0|0|5202234|6939896|5202324|13873536	20654	1	10000	186860
1013	0	junzhengting1.png	1010	1	115	0|0|100|100|100|100	20653	1	10	35
1013	1	junzhengting1.png	1010	2	230	0|0|190|190|190|190	20653	2	25	105
1013	2	junzhengting1.png	1010	3	460	0|0|361|361|361|361	20653	5	50	210
1013	3	junzhengting1.png	1010	4	920	0|0|686|686|686|686	20653	12	200	385
1013	4	junzhengting2.png	1010	5	1840	0|0|1304|1304|1304|1304	20653	25	400	630
1013	5	junzhengting2.png	1010	6	3680	0|0|2608|2608|2608|2608	20653	50	500	1015
1013	6	junzhengting2.png	1010	7	7360	0|0|5216|5216|5216|5216	20653	65	500	1610
1013	7	junzhengting3.png	1010	8	14720	0|0|10432|10432|10432|10432	20653	90	500	2485
1013	8	junzhengting3.png	1010	9	29440	0|0|20864|20864|20864|20864	20653	100	500	3815
1013	9	junzhengting3.png	1010	10	58880	0|0|31296|31296|31296|31296	20653	150	500	5810
1013	10	junzhengting3.png	1010	11	70656	0|0|46944|46944|46944|46944	20653	250	500	8820
1013	11	junzhengting3.png	1010	12	84787	0|0|70416|70416|70416|70416	20653	400	500	13335
1013	12	junzhengting3.png	1010	13	101744	0|0|105624|105624|105624|105624	20653	700	500	20125
1013	13	junzhengting3.png	1010	14	122094	0|0|158436|158436|158436|158436	20653	1000	2000	30310
1013	14	junzhengting3.png	1010	15	146516	0|0|237654|237654|237654|237654	20653	1300	2000	45605
1013	15	junzhengting3.png	1010	16	175820	0|0|356481|356481|356481|356481	20653	1600	2500	68565
1013	16	junzhengting3.png	1010	17	246148	0|0|534722|534722|534722|534722	20653	2000	2500	103040
1013	17	junzhengting3.png	1010	18	393837	0|0|802083|802083|802083|802083	20653	2250	5000	154735
1013	18	junzhengting3.png	1010	19	708907	0|0|1203125|1203125|1203125|1203125	20653	2500	5000	232295
1013	19	junzhengting3.png	1010	20	1276033	0|0|1804688|1804688|1804688|1804688	20653	3000	10000	348670
1013	20	junzhengting3.png	1010	21	5104132	0|0|2707032|2707032|2707032|2707032	20654|20653	1|4500	10000	523215
1014	0	yiguan1.png	1009	1	90	0|0|250|400|500|300	-1	-1	10	10
1014	1	yiguan1.png	1009	2	180	0|0|425|680|850|510	-1	-1	25	30
1014	2	yiguan1.png	1009	3	360	0|0|723|1156|1445|867	-1	-1	50	60
1014	3	yiguan1.png	1009	4	720	0|0|1230|1966|2457|1474	-1	-1	200	110
1014	4	yiguan1.png	1009	5	1440	0|0|2091|3343|4177|2506	-1	-1	400	180
1014	5	yiguan1.png	1009	6	2880	0|0|4182|6686|8354|5012	-1	-1	500	290
1014	6	yiguan1.png	1009	7	5760	0|0|8364|13372|16708|10024	-1	-1	500	460
1014	7	yiguan1.png	1009	8	11520	0|0|16728|26744|33416|20048	-1	-1	500	710
1014	8	yiguan1.png	1009	9	23040	0|0|33456|53488|66832|40096	-1	-1	500	1090
1014	9	yiguan1.png	1009	10	46080	0|0|66912|106976|133664|80192	-1	-1	500	1660
1014	10	yiguan1.png	1009	11	55296	0|0|133824|213952|267328|160384	-1	-1	500	2520
1014	11	yiguan1.png	1009	12	66355	0|0|227501|363719|454458|272653	-1	-1	500	3810
1014	12	yiguan1.png	1009	13	79626	0|0|341252|545579|681687|408980	-1	-1	500	5750
1014	13	yiguan1.png	1009	14	95551	0|0|511878|818369|1022531|613470	-1	-1	1000	8660
1014	14	yiguan1.png	1009	15	114661	0|0|767817|1227554|1533797|920205	-1	-1	2000	13030
1014	15	yiguan1.png	1009	16	137593	0|0|1151726|1841331|2300696|1380308	-1	-1	2500	19590
1014	16	yiguan1.png	1009	17	192630	0|0|1727589|2761997|3451044|2070462	-1	-1	2500	29440
1014	17	yiguan1.png	1009	18	308208	0|0|2591384|4142995|5176566|3105693	-1	-1	5000	44210
1014	18	yiguan1.png	1009	19	554774	0|0|3887075|6214492|7764849|4658540	-1	-1	5000	66370
1014	19	yiguan1.png	1009	20	998593	0|0|5830614|9321741|11647274|6987810	-1	-1	10000	99620
1014	20	yiguan1.png	1009	21	3994372	0|0|8745921|13982612|17470911|10481715	20654	1	10000	149495
1015	0	jishi1.png	1001	5	70	0|0|250|500|350|200	-1	-1	10	10
1015	1	jishi1.png	1001	5	140	0|0|450|900|630|360	-1	-1	25	30
1015	2	jishi1.png	1001	5	280	0|0|810|1620|1134|648	-1	-1	50	60
1015	3	jishi1.png	1001	6	560	0|0|1458|2916|2042|1167	-1	-1	200	110
1015	4	jishi1.png	1001	6	1120	0|0|2625|5249|3676|2101	-1	-1	400	180
1015	5	jishi1.png	1001	6	2240	0|0|5250|10498|7352|4202	-1	-1	500	290
1015	6	jishi1.png	1001	7	4480	0|0|10500|20966|14704|8404	-1	-1	500	460
1015	7	jishi1.png	1001	8	8960	0|0|21000|41992|29408|16808	-1	-1	500	710
1015	8	jishi1.png	1001	9	17920	0|0|42000|83984|58816|33616	-1	-1	500	1090
1015	9	jishi1.png	1001	10	35840	0|0|63000|125976|88224|50424	-1	-1	500	1660
1015	10	jishi1.png	1001	11	43008	0|0|94500|188964|132336|75636	-1	-1	500	2520
