科技id	科技名称	科技等级	科技描述	科技类型1=兵种科技；2=城防科技；3=生产科技	消耗资源012345	消耗时间(秒)	需要的学院等级	科技的参数类型1	科技的参数数值1(万分位)	科技的参数类型2	科技的参数数值2(万分位)	前序科技	该等级上一个技能	英雄增加经验值	本等级战斗力
11209	步兵攻击	9	步兵攻击力加成:+91%	1	0|9148125|1280000|1280000|0|960000	5191320	18	1	9100	-1	0	11208	11208	270000	762613
11210	步兵攻击	10	步兵攻击力加成:+131%	1	0|22870300|2560000|2560000|0|1920000	10375320	20	1	13100	-1	0	11209	11209	300000	1906830
11301	弩兵攻击	1	弩兵攻击力加成:+1%	1	0|6000|5000|5000|5000|0	10800	2	11	100	-1	0	11101	-1	30000	300
11302	弩兵攻击	2	弩兵攻击力加成:+3%	1	0|12000|10000|10000|10000|0	23700	4	11	300	-1	0	11301	11301	60000	1050
11303	弩兵攻击	3	弩兵攻击力加成:+7%	1	0|37500|20000|20000|20000|0	52100	6	11	700	-1	0	11302	11302	90000	2925
11304	弩兵攻击	4	弩兵攻击力加成:+13%	1	0|93700|40000|40000|40000|0	114600	8	11	1300	-1	0	11303	11303	120000	7612
11305	弩兵攻击	5	弩兵攻击力加成:+21%	1	0|234200|80000|80000|80000|0	252100	10	11	2100	-1	0	11304	11304	150000	19329
11306	弩兵攻击	6	弩兵攻击力加成:+31%	1	0|585500|160000|160000|160000|0	471660	12	11	3100	-1	0	11305	11305	180000	48621
11307	弩兵攻击	7	弩兵攻击力加成:+46%	1	0|1463700|320000|320000|320000|0	1220100	14	11	4600	-1	0	11306	11306	210000	121851
11308	弩兵攻击	8	弩兵攻击力加成:+66%	1	0|3659250|640000|640000|640000|0	2433660	16	11	6600	-1	0	11307	11307	240000	304926
11309	弩兵攻击	9	弩兵攻击力加成:+91%	1	0|9148125|1280000|1280000|1280000|0	5191320	18	11	9100	-1	0	11308	11308	270000	762613
11310	弩兵攻击	10	弩兵攻击力加成:+131%	1	0|22870300|5120000|5120000|5120000|0	10375320	20	11	13100	-1	0	11309	11309	300000	1906830
11401	骑兵攻击	1	骑兵攻击力加成:+1%	1	0|6000|5000|0|5000|3750	10800	2	21	100	-1	0	11101	-1	30000	300
11402	骑兵攻击	2	骑兵攻击力加成:+3%	1	0|12000|10000|0|10000|7500	23700	4	21	300	-1	0	11401	11401	60000	1050
11403	骑兵攻击	3	骑兵攻击力加成:+7%	1	0|37500|20000|0|20000|15000	52100	6	21	700	-1	0	11402	11402	90000	2925
11404	骑兵攻击	4	骑兵攻击力加成:+13%	1	0|93700|40000|0|40000|30000	114600	8	21	1300	-1	0	11403	11403	120000	7612
11405	骑兵攻击	5	骑兵攻击力加成:+21%	1	0|234200|80000|0|80000|60000	252100	10	21	2100	-1	0	11404	11404	150000	19329
11406	骑兵攻击	6	骑兵攻击力加成:+31%	1	0|585500|160000|0|160000|120000	471660	12	21	3100	-1	0	11405	11405	180000	48621
11407	骑兵攻击	7	骑兵攻击力加成:+46%	1	0|1463700|320000|0|320000|240000	1220100	14	21	4600	-1	0	11406	11406	210000	121851
11408	骑兵攻击	8	骑兵攻击力加成:+66%	1	0|3659250|640000|0|640000|480000	2433660	16	21	6600	-1	0	11407	11407	240000	304926
11409	骑兵攻击	9	骑兵攻击力加成:+91%	1	0|9148125|1280000|0|1280000|960000	5191320	18	21	9100	-1	0	11408	11408	270000	762613
11410	骑兵攻击	10	骑兵攻击力加成:+131%	1	0|22870300|2560000|0|2560000|1920000	10375320	20	21	13100	-1	0	11409	11409	300000	1906830
11501	步兵防御	1	步兵防御力加成:+1%	1	0|8000|10000|10000|0|7500	16200	3	2	100	-1	0	11201	-1	30000	400
11502	步兵防御	2	步兵防御力加成:+3%	1	0|20000|20000|20000|0|15000	35600	5	2	300	-1	0	11501	11501	60000	1400
11503	步兵防御	3	步兵防御力加成:+7%	1	0|50000|40000|40000|0|30000	78300	7	2	700	-1	0	11502	11502	90000	3900
11504	步兵防御	4	步兵防御力加成:+13%	1	0|125000|80000|80000|0|60000	172200	9	2	1300	-1	0	11503	11503	120000	10150
11505	步兵防御	5	步兵防御力加成:+21%	1	0|312500|160000|160000|0|120000	378800	11	2	2100	-1	0	11504	11504	150000	25775
11506	步兵防御	6	步兵防御力加成:+31%	1	0|625000|320000|320000|0|240000	795660	13	2	3100	-1	0	11505	11505	180000	64837
11507	步兵防御	7	步兵防御力加成:+46%	1	0|1562500|640000|640000|0|480000	1663320	15	2	4600	-1	0	11506	11506	210000	162492
11508	步兵防御	8	步兵防御力加成:+66%	1	0|4882500|1280000|1280000|0|960000	4032960	17	2	6600	-1	0	11507	11507	240000	406629
11509	步兵防御	9	步兵防御力加成:+91%	1	0|12206250|2560000|2560000|0|1920000	7362360	19	2	9100	-1	0	11508	11508	270000	1016971
11510	步兵防御	10	步兵防御力加成:+131%	1	0|30515625|5120000|5120000|0|3840000	10368060	21	2	13100	-1	0	11509|11210	11509	300000	2542826
11601	弩兵防御	1	弩兵防御力加成:+1%	1	0|10000|10000|10000|10000|0	16200	3	12	100	-1	0	11301	-1	30000	400
11602	弩兵防御	2	弩兵防御力加成:+3%	1	0|20000|20000|20000|20000|0	35600	5	12	300	-1	0	11601	11601	60000	1400
11603	弩兵防御	3	弩兵防御力加成:+7%	1	0|50000|40000|40000|40000|0	78300	7	12	700	-1	0	11602	11602	90000	3900
11604	弩兵防御	4	弩兵防御力加成:+13%	1	0|125000|80000|80000|80000|0	172200	9	12	1300	-1	0	11603	11603	120000	10150
11605	弩兵防御	5	弩兵防御力加成:+21%	1	0|312500|160000|160000|160000|0	378800	11	12	2100	-1	0	11604	11604	150000	25775
11606	弩兵防御	6	弩兵防御力加成:+31%	1	0|625000|320000|320000|320000|0	795660	13	12	3100	-1	0	11605	11605	180000	64837
11607	弩兵防御	7	弩兵防御力加成:+46%	1	0|1562500|640000|640000|640000|0	1663320	15	12	4600	-1	0	11606	11606	210000	162492
11608	弩兵防御	8	弩兵防御力加成:+66%	1	0|4882500|1280000|1280000|1280000|0	4032960	17	12	6600	-1	0	11607	11607	240000	406629
11609	弩兵防御	9	弩兵防御力加成:+91%	1	0|12206250|2560000|2560000|2560000|0	7362360	19	12	9100	-1	0	11608	11608	270000	1016971
11610	弩兵防御	10	弩兵防御力加成:+131%	1	0|30515625|5120000|5120000|5120000|0	10368060	21	12	13100	-1	0	11609|113101	11609	300000	2542826
11701	骑兵防御	1	骑兵防御力加成:+1%	1	0|8000|10000|0|10000|7500	16200	3	22	100	-1	0	11401	-1	30000	400
11702	骑兵防御	2	骑兵防御力加成:+3%	1	0|20000|20000|0|20000|15000	35600	5	22	300	-1	0	11701	11701	60000	1400
11703	骑兵防御	3	骑兵防御力加成:+7%	1	0|50000|40000|0|40000|30000	78300	7	22	700	-1	0	11702	11702	90000	3900
11704	骑兵防御	4	骑兵防御力加成:+13%	1	0|125000|80000|0|80000|60000	172200	9	22	1300	-1	0	11703	11703	120000	10150
11705	骑兵防御	5	骑兵防御力加成:+21%	1	0|312000|160000|0|160000|120000	378800	11	22	2100	-1	0	11704	11704	150000	25775
11706	骑兵防御	6	骑兵防御力加成:+31%	1	0|625000|320000|0|320000|240000	795660	13	22	3100	-1	0	11705	11705	180000	64837
11707	骑兵防御	7	骑兵防御力加成:+46%	1	0|1562500|640000|0|640000|480000	1663320	15	22	4600	-1	0	11706	11706	210000	162492
11708	骑兵防御	8	骑兵防御力加成:+66%	1	0|4882500|1280000|0|1280000|960000	4032960	17	22	6600	-1	0	11707	11707	240000	406629
11709	骑兵防御	9	骑兵防御力加成:+91%	1	0|12206250|2560000|0|2560000|1920000	7362360	19	22	9100	-1	0	11708	11708	270000	1016971
11710	骑兵防御	10	骑兵防御力加成:+131%	1	0|30515625|5120000|0|5120000|3840000	10368060	21	22	13100	-1	0	11709|11401	11709	300000	2542826
11801	重步兵	1	解锁兵种：重步兵	1	0|180000|100000|100000|0|75000	216000	8	401	1002	-1	0	11501	-1	150000	9000
11901	弓箭手	1	解锁兵种：弓箭手	1	0|180000|100000|100000|100000|0	216000	8	411	2002	-1	0	11601	-1	150000	9000
12001	轻骑兵	1	解锁兵种：轻骑兵	1	0|180000|100000|100000|0|75000	216000	8	421	3002	-1	0	11701	-1	150000	9000
12101	弩车	1	解锁兵种：弩车	1	0|320000|200000|200000|200000|150000	345600	8	431	4002	-1	0	11901	-1	200000	16000
12201	攻城兵攻击	1	攻城兵攻击力加成:+1%	1	0|20000|10000|10000|10000|7500	10800	2	31	100	-1	0	12101	-1	30000	1000
12202	攻城兵攻击	2	攻城兵攻击力加成:+3%	1	0|40000|20000|20000|20000|15000	21600	4	31	300	-1	0	12201	12201	60000	3500
12203	攻城兵攻击	3	攻城兵攻击力加成:+7%	1	0|80000|40000|40000|40000|30000	54000	6	31	700	-1	0	12202	12202	90000	9750
12204	攻城兵攻击	4	攻城兵攻击力加成:+13%	1	0|160000|80000|80000|80000|60000	114600	8	31	1300	-1	0	12203	12203	120000	25375
12205	攻城兵攻击	5	攻城兵攻击力加成:+21%	1	0|320000|160000|160000|160000|120000	222000	10	31	2100	-1	0	12204	12204	150000	64437
12206	攻城兵攻击	6	攻城兵攻击力加成:+31%	1	0|640000|320000|320000|320000|240000	526800	12	31	3100	-1	0	12205	12205	180000	162092
12207	攻城兵攻击	7	攻城兵攻击力加成:+46%	1	0|1280000|640000|640000|640000|480000	1220100	14	31	4600	-1	0	12206	12206	210000	406229
12208	攻城兵攻击	8	攻城兵攻击力加成:+66%	1	0|2560000|1280000|1280000|1280000|960000	3032400	16	31	6600	-1	0	12207	12207	240000	1016571
12209	攻城兵攻击	9	攻城兵攻击力加成:+91%	1	0|5120000|2560000|2560000|2560000|1920000	6051720	18	31	9100	-1	0	12208	12208	270000	2542426
12210	攻城兵攻击	10	攻城兵攻击力加成:+131%	1	0|10240000|5120000|5120000|5120000|3840000	10389000	20	31	13100	-1	0	12209	12209	300000	6357063
12301	攻城兵防御	1	攻城兵防御力加成:+1%	1	0|8000|20000|20000|20000|15000	16200	3	32	100	-1	0	12101	-1	40000	400
12302	攻城兵防御	2	攻城兵防御力加成:+3%	1	0|20000|40000|40000|40000|30000	32400	5	32	300	-1	0	12301	12301	80000	1400
12303	攻城兵防御	3	攻城兵防御力加成:+7%	1	0|50000|80000|80000|80000|60000	78300	7	32	700	-1	0	12302	12302	120000	3900
12304	攻城兵防御	4	攻城兵防御力加成:+13%	1	0|125000|160000|160000|160000|120000	172200	9	32	1300	-1	0	12303	12303	160000	10150
12305	攻城兵防御	5	攻城兵防御力加成:+21%	1	0|312500|320000|320000|320000|240000	344400	11	32	2100	-1	0	12304	12304	200000	25775
12306	攻城兵防御	6	攻城兵防御力加成:+31%	1	0|625000|640000|640000|640000|480000	775200	13	32	3100	-1	0	12305	12305	240000	64837
12307	攻城兵防御	7	攻城兵防御力加成:+46%	1	0|1953000|1280000|1280000|1280000|960000	1833200	15	32	4600	-1	0	12306	12306	280000	162492
12308	攻城兵防御	8	攻城兵防御力加成:+66%	1	0|3906000|2560000|2560000|2560000|1920000	3907200	17	32	6600	-1	0	12307	12307	320000	406629
12309	攻城兵防御	9	攻城兵防御力加成:+91%	1	0|7812000|5120000|5120000|5120000|3840000	6934805	19	32	9100	-1	0	12308	12308	360000	1016971
12310	攻城兵防御	10	攻城兵防御力加成:+131%	1	0|15624000|10240000|10240000|10240000|7680000	12107161	21	32	13100	-1	0	12309|12210	12309	400000	2542826
12401	重枪兵	1	解锁兵种：重枪兵	1	0|720000|400000|400000|0|300000	1555200	15	402	1003	-1	0	12101	-1	400000	36000
12501	长弓手	1	解锁兵种：长弓手	1	0|720000|400000|400000|400000|0	1555200	15	412	2003	-1	0	12101	-1	400000	36000
12601	重骑兵	1	解锁兵种：重骑兵	1	0|720000|400000|400000|0|300000	1555200	15	422	3003	-1	0	12101	-1	400000	36000
12701	抛石机	1	解锁兵种：抛石机	1	0|1280000|800000|800000|800000|600000	2073600	15	432	4003	-1	0	12501	-1	600000	64000
12801	部队血量	1	士兵和陷阱血量加成:+1%	1	0|10000|15000|20000|20000|20000	14400	16	43	100	53	100	12701	-1	40000	500
12802	部队血量	2	士兵和陷阱血量加成:+3%	1	0|25000|30000|40000|40000|40000	36000	17	43	300	53	200	12801	12801	80000	1750
12803	部队血量	3	士兵和陷阱血量加成:+7%	1	0|62500|80000|80000|80000|60000	90000	17	43	700	53	400	12802	12802	120000	4875
12804	部队血量	4	士兵和陷阱血量加成:+13%	1	0|156250|160000|160000|160000|120000	225000	18	43	1300	53	600	12803	12803	160000	12687
12805	部队血量	5	士兵和陷阱血量加成:+21%	1	0|390625|320000|320000|320000|240000	562500	18	43	2100	53	800	12804	12804	200000	32217
12806	部队血量	6	士兵和陷阱血量加成:+31%	1	0|976500|640000|640000|640000|480000	1406250	18	43	3100	53	1000	12805	12805	240000	81042
12807	部队血量	7	士兵和陷阱血量加成:+46%	1	0|2441400|1280000|1280000|1280000|960000	3515625	19	43	4600	53	1500	12806	12806	280000	203104
12808	部队血量	8	士兵和陷阱血量加成:+66%	1	0|6101200|2560000|2560000|2560000|1920000	5616000	19	43	6600	53	2000	12807	12807	320000	508259
12809	部队血量	9	士兵和陷阱血量加成:+91%	1	0|15253000|5120000|5120000|5120000|3840000	2185900	20	43	9100	53	2500	12808	12808	360000	1271146
12810	部队血量	10	士兵和陷阱血量加成:+131%	1	0|38132500|10240000|10240000|10240000|7680000	54864000	21	43	13100	53	4000	12809|12310	12809	400000	3178363
12901	部队防御	1	士兵和陷阱防御力加成:+1%	1	0|10000|15000|20000|20000|20000	14400	16	42	100	52	100	12701	-1	40000	500
12902	部队防御	2	士兵和陷阱防御力加成:+3%	1	0|25000|30000|40000|40000|40000	36000	17	42	300	52	200	12901	12901	80000	1750
12903	部队防御	3	士兵和陷阱防御力加成:+7%	1	0|62500|80000|80000|80000|60000	90000	17	42	700	52	400	12902	12902	120000	4875
12904	部队防御	4	士兵和陷阱防御力加成:+13%	1	0|156250|160000|160000|160000|120000	225000	18	42	1300	52	600	12903	12903	160000	12687
12905	部队防御	5	士兵和陷阱防御力加成:+21%	1	0|390625|320000|320000|320000|240000	562500	18	42	2100	52	800	12904	12904	200000	32217
12906	部队防御	6	士兵和陷阱防御力加成:+31%	1	0|976500|640000|640000|640000|480000	1406250	18	42	3100	52	1000	12905	12905	240000	81042
12907	部队防御	7	士兵和陷阱防御力加成:+46%	1	0|2441400|1280000|1280000|1280000|960000	3515625	19	42	4600	52	1500	12906	12906	280000	203104
12908	部队防御	8	士兵和陷阱防御力加成:+66%	1	0|6101200|2560000|2560000|2560000|1920000	5616000	19	42	6600	52	2000	12907	12907	320000	508259
12909	部队防御	9	士兵和陷阱防御力加成:+91%	1	0|15253000|5120000|5120000|5120000|3840000	2185900	20	42	9100	52	2500	12908	12908	360000	1271146
12910	部队防御	10	士兵和陷阱防御力加成:+131%	1	0|38132500|10240000|10240000|10240000|7680000	54864000	21	42	13100	52	4000	12909|12310	12909	400000	3178363
13001	勇士	1	解锁兵种：勇士	1	0|8640000|4800000|4800000|0|3600000	15552000	21	403	1004	-1	0	12701|11510	-1	600000	432000
13101	神射手	1	解锁兵种：神射手	1	0|8640000|4800000|4800000|4800000|0	15552000	21	413	2004	-1	0	12701|11610	-1	600000	432000
13201	铁骑	1	解锁兵种：铁骑	1	0|8640000|4800000|0|4800000|3600000	15552000	21	423	3004	-1	0	12701|11710	-1	600000	432000
13301	破城锤	1	解锁兵种：破城锤	1	0|15360000|9600000|9600000|9600000|7200000	15552000	21	433	4004	-1	0	13101|12310	-1	800000	788000
21001	陷阱加速	1	加快陷阱建造速度	2	0|5000|5000|5000|5000|5000	600	1	111	2000	-1	0	-1	-1	20000	300
21101	地刺	1	解锁陷阱：地刺	2	0|20000|0|0|20000|15000	3600	5	501	10003	-1	0	21001	-1	40000	1000
21201	箭塔	1	解锁陷阱：箭塔	2	0|20000|0|20000|20000|0	3600	5	502	10002	-1	0	21001	-1	40000	1000
21301	滚木	1	解锁陷阱：滚木	2	0|20000|0|0|20000|20000	3600	5	503	10004	-1	0	21001	-1	40000	1000
21401	陷阱防御	1	城墙陷阱防御力加成:+1%	2	0|8000|20000|20000|20000|15000	16200	3	52	100	-1	0	21101	-1	40000	400
21402	陷阱防御	2	城墙陷阱防御力加成:+3%	2	0|20000|40000|40000|40000|30000	35600	5	52	300	-1	0	21401	21401	80000	1400
21403	陷阱防御	3	城墙陷阱防御力加成:+7%	2	0|50000|80000|80000|80000|60000	78320	7	52	700	-1	0	21402	21402	120000	3900
21404	陷阱防御	4	城墙陷阱防御力加成:+13%	2	0|125000|160000|160000|160000|120000	172300	9	52	1300	-1	0	21403	21403	160000	10150
21405	陷阱防御	5	城墙陷阱防御力加成:+21%	2	0|312500|320000|3200003|20000|240000	379070	11	52	2100	-1	0	21404	21404	200000	25775
21406	陷阱防御	6	城墙陷阱防御力加成:+31%	2	0|781250|640000|640000|640000|480000	833300	13	52	3100	-1	0	21405	21405	240000	64837
21407	陷阱防御	7	城墙陷阱防御力加成:+46%	2	0|1953120|1280000|1280000|1280000|960000	1834700	15	52	4600	-1	0	21406	21406	280000	162492
21408	陷阱防御	8	城墙陷阱防御力加成:+66%	2	0|4882500|2560000|2560000|2560000|1920000	4036300	17	52	6600	-1	0	21407	21407	320000	406629
21409	陷阱防御	9	城墙陷阱防御力加成:+91%	2	0|12207000|5120000|5120000|5120000|3840000	8880000	19	52	9100	-1	0	21408	21408	360000	1016971
21410	陷阱防御	10	城墙陷阱防御力加成:+131%	2	0|30517600|10240000|10240000|10240000|7680000	19535800	21	52	13100	-1	0	21409	21409	400000	2542826
21501	陷阱攻击	1	城墙陷阱攻击力加成:+1%	2	0|20000|10000|10000|10000|7500	10800	2	51	100	-1	0	21301	-1	30000	1000
21502	陷阱攻击	2	城墙陷阱攻击力加成:+3%	2	0|40000|20000|20000|20000|15000	23700	4	51	300	-1	0	21501	21501	60000	3500
21503	陷阱攻击	3	城墙陷阱攻击力加成:+7%	2	0|80000|40000|40000|40000|30000	52140	6	51	700	-1	0	21502	21502	90000	9750
21504	陷阱攻击	4	城墙陷阱攻击力加成:+13%	2	0|160000|80000|80000|80000|60000	114700	8	51	1300	-1	0	21503	21503	120000	25375
21505	陷阱攻击	5	城墙陷阱攻击力加成:+21%	2	0|320000|160000|160000|160000|120000	252360	10	51	2100	-1	0	21504	21504	150000	64437
21506	陷阱攻击	6	城墙陷阱攻击力加成:+31%	2	0|640000|320000|320000|320000|240000	554600	12	51	3100	-1	0	21505	21505	180000	162092
21507	陷阱攻击	7	城墙陷阱攻击力加成:+46%	2	0|1280000|640000|640000|640000|480000	1220120	14	51	4600	-1	0	21506	21506	210000	406229
21508	陷阱攻击	8	城墙陷阱攻击力加成:+66%	2	0|2560000|1280000|1280000|1280000|960000	2684264	16	51	6600	-1	0	21507	21507	240000	1016571
21509	陷阱攻击	9	城墙陷阱攻击力加成:+91%	2	0|5120000|2560000|2560000|2560000|1920000	5905400	18	51	9100	-1	0	21508	21508	270000	2542426
21510	陷阱攻击	10	城墙陷阱攻击力加成:+131%	2	0|10240000|5120000|5120000|5120000|3840000	12991900	20	51	13100	-1	0	21509	21509	300000	6357063
21601	弩机	1	解锁陷阱：弩机	2	0|60000|0|0|60000|45000	216000	10	504	10006	-1	0	21401	-1	60000	3000
21701	火油	1	解锁陷阱：火油	2	0|60000|0|60000|60000|0	216000	10	505	10005	-1	0	21201	-1	60000	3000
21801	捕夹	1	解锁陷阱：捕夹	2	0|60000|0|60000|0|45000	216000	10	506	10007	-1	0	21501	-1	60000	3000
21901	抛石机	1	解锁陷阱：抛石机	2	0|180000|0|0|180000|135000	1555200	15	507	10009	-1	0	21601	-1	100000	9000
22001	荆棘丛	1	解锁陷阱：荆棘丛	2	0|180000|0|180000|180000|0	1555200	15	508	10008	-1	0	21701	-1	100000	9000
22101	机关镖	1	解锁陷阱：机关镖	2	0|180000|0|180000|0|135000	1555200	15	509	10010	-1	0	21801	-1	100000	9000
22201	火石机	1	解锁陷阱：火石机	2	0|540000|0|0|540000|405000	1314000	21	510	10012	-1	0	21901|21410	-1	150000	27000
22301	火箭弩	1	解锁陷阱：火箭弩	2	0|540000|0|540000|540000|0	1314000	21	511	10011	-1	0	22001|21410	-1	150000	27000
22401	尖刺墙	1	解锁陷阱：尖刺墙	2	0|540000|0|540000|0|405000	1314000	21	512	10013	-1	0	22101|21410	-1	150000	27000
31001	建造加速	1	建造升级速度加成:+1%	3	0|20000|20000|20000|20000|20000	10800	1	107	100	-1	0	-1	-1	50000	1000
31002	建造加速	2	建造升级速度加成:+3%	3	0|40000|40000|40000|40000|40000	21600	3	107	300	-1	0	31001	31001	100000	3500
31003	建造加速	3	建造升级速度加成:+6%	3	0|80000|80000|80000|80000|80000	43200	5	107	600	-1	0	31002	31002	150000	7500
31004	建造加速	4	建造升级速度加成:+10%	3	0|160000|160000|160000|160000|160000	86400	7	107	1000	-1	0	31003	31003	200000	17500
31005	建造加速	5	建造升级速度加成:+15%	3	0|320000|320000|320000|320000|320000	172800	9	107	1500	-1	0	31004	31004	250000	42500
31006	建造加速	6	建造升级速度加成:+16%	3	0|640000|640000|640000|640000|640000	345600	11	107	1600	-1	0	31005	31005	300000	105000
31007	建造加速	7	建造升级速度加成:+23%	3	0|1280000|1280000|1280000|1280000|1280000	691200	13	107	2300	-1	0	31006	31006	350000	261250
31008	建造加速	8	建造升级速度加成:+31%	3	0|2560000|2560000|2560000|2560000|2560000	1382400	15	107	3100	-1	0	31007	31007	400000	651875
31009	建造加速	9	建造升级速度加成:+41%	3	0|5120000|5120000|5120000|5120000|5120000	4147200	17	107	4100	-1	0	31008	31008	450000	1628437
31010	建造加速	10	建造升级速度加成:+61%	3	0|10240000|10240000|10240000|10240000|10240000	5529600	19	107	6100	-1	0	31009	31009	500000	4069842
31101	粮草增产	1	粮草产量加成:+1%	3	0|2500|400|500|300|25	900	2	102	100	-1	0	31001	-1	12000	125
31102	粮草增产	2	粮草产量加成:+3%	3	0|6000|800|1000|600|50	2700	2	102	300	-1	0	31101	31101	24000	425
31103	粮草增产	3	粮草产量加成:+6%	3	0|15000|1600|2000|1200|100	8100	4	102	600	-1	0	31102	31102	36000	1175
31104	粮草增产	4	粮草产量加成:+10%	3	0|37000|3200|4000|2400|200	24300	6	102	1000	-1	0	31103	31103	48000	3050
31105	粮草增产	5	粮草产量加成:+15%	3	0|92000|6400|8000|4800|400	48600	8	102	1500	-1	0	31104	31104	60000	7737
31106	粮草增产	6	粮草产量加成:+16%	3	0|230000|12800|16000|9600|800	97200	11	102	1600	-1	0	31105	31105	72000	19454
31107	粮草增产	7	粮草产量加成:+23%	3	0|575000|25600|32000|19200|1600	194400	13	102	2300	-1	0	31106	31106	84000	48746
31108	粮草增产	8	粮草产量加成:+31%	3	0|1437000|51200|64000|38400|3200	388800	16	102	3100	-1	0	31107	31107	96000	121976
31109	粮草增产	9	粮草产量加成:+41%	3	0|3596000|102400|1280000|76800|6400	777600	18	102	4100	-1	0	31108	31108	108000	305051
31110	粮草增产	10	粮草产量加成:+61%	3	0|8983000|204800|2560000|1536000|12800	1555200	20	102	6100	-1	0	31109	31109	120000	762738
31201	石材增产	1	石材产量加成:+1%	3	0|3000|300|400|25|500	900	2	104	100	-1	0	31101	-1	12000	150
31202	石材增产	2	石材产量加成:+3%	3	0|7000|600|800|50|1000	2700	2	104	300	-1	0	31201	31201	24000	525
31203	石材增产	3	石材产量加成:+6%	3	0|17000|1200|1600|100|2000	13500	4	104	600	-1	0	31202	31202	36000	1462
31204	石材增产	4	石材产量加成:+10%	3	0|42000|2400|3200|200|4000	40500	6	104	1000	-1	0	31203	31203	48000	3804
31205	石材增产	5	石材产量加成:+15%	3	0|105000|4800|6400|400|8000	81000	8	104	1500	-1	0	31204	31204	60000	9054
31206	石材增产	6	石材产量加成:+16%	3	0|262000|9600|12800|800|16000	162000	11	104	1600	-1	0	31205	31205	72000	22179
31207	石材增产	7	石材产量加成:+23%	3	0|655000|19200|25600|1600|32000	324000	13	104	2300	-1	0	31206	31206	84000	54991
31208	石材增产	8	石材产量加成:+31%	3	0|1637000|38400|51200|3200|64000	633600	15	104	3100	-1	0	31207	31207	96000	137021
31209	石材增产	9	石材产量加成:+41%	3	0|4092000|76800|102400|6400|128000	1267200	17	104	4100	-1	0	31208	31208	108000	342096
