奖励ID	奖励资源数量0123456789	奖励道具ID	道具数量
1047	0|0|1403|1734|2006|1170|1448|0|0|19	-1	-1
1048	0|0|2807|3469|4012|2341|2896|0|0|38	-1	-1
1049	0|0|4211|5203|6019|3512|4344|0|0|57	-1	-1
1050	0|0|7019|8673|10031|5854|7241|0|0|96	-1	-1
1051	0|0|7019|8673|10031|5854|7241|0|0|96	-1	-1
1052	0|0|7019|8673|10031|5854|7241|0|0|96	-1	-1
1053	0|0|8423|10407|12038|7025|8689|0|0|115	-1	-1
1054	0|0|8423|10407|12038|7025|8689|0|0|115	-1	-1
1055	0|0|5615|6938|8025|4683|5793|0|0|76	-1	-1
1056	0|0|7019|8673|10031|5854|7241|0|0|96	-1	-1
1057	0|0|8423|10407|12038|7025|8689|0|0|115	-1	-1
1058	0|0|1403|1734|2006|1170|1448|0|0|19	-1	-1
1059	0|0|2807|3469|4012|2341|2896|0|0|38	-1	-1
1060	0|0|4211|5203|6019|3512|4344|0|0|57	-1	-1
1061	0|0|1403|1734|2006|1170|1448|0|0|19	-1	-1
1062	0|0|5615|6938|8025|4683|5793|0|0|76	-1	-1
1063	0|0|5615|6938|8025|4683|5793|0|0|76	-1	-1
1064	0|0|7019|8673|10031|5854|7241|0|0|96	-1	-1
1065	0|0|7019|8673|10031|5854|7241|0|0|96	-1	-1
1066	0|0|8423|10407|12038|7025|8689|0|0|115	-1	-1
1067	0|0|8423|10407|12038|7025|8689|0|0|115	-1	-1
1068	0|0|8423|10407|12038|7025|8689|0|0|115	-1	-1
1069	0|0|8423|10407|12038|7025|8689|0|0|115	-1	-1
1070	0|0|8423|10407|12038|7025|8689|0|0|115	-1	-1
1071	0|0|9827|12142|14044|8196|10138|0|0|134	-1	-1
1072	0|0|9827|12142|14044|8196|10138|0|0|134	-1	-1
1073	0|0|5615|6938|8025|4683|5793|0|0|76	-1	-1
1074	0|0|7019|8673|10031|5854|7241|0|0|96	-1	-1
1075	0|0|8423|10407|12038|7025|8689|0|0|115	-1	-1
1076	0|0|9827|12142|14044|8196|10138|0|0|134	-1	-1
1077	0|0|9827|12142|14044|8196|10138|0|0|134	-1	-1
1078	0|0|9827|12142|14044|8196|10138|0|0|134	-1	-1
1079	0|0|9827|12142|14044|8196|10138|0|0|134	-1	-1
1080	0|0|11231|13876|16050|9367|11586|0|0|153	-1	-1
1081	0|0|11231|13876|16050|9367|11586|0|0|153	-1	-1
1082	0|0|5615|6938|8025|4683|5793|0|0|76	-1	-1
1083	0|0|7019|8673|10031|5854|7241|0|0|96	-1	-1
1084	0|0|8423|10407|12038|7025|8689|0|0|115	-1	-1
1085	0|0|9827|12142|14044|8196|10138|0|0|134	-1	-1
1086	0|0|12635|15611|18057|10538|13034|0|0|173	-1	-1
1087	0|0|12635|15611|18057|10538|13034|0|0|173	-1	-1
1088	0|0|9827|12142|14044|8196|10138|0|0|134	-1	-1
1089	0|0|11231|13876|16050|9367|11586|0|0|153	-1	-1
1090	0|0|12635|15611|18057|10538|13034|0|0|173	-1	-1
1091	0|0|9827|12142|14044|8196|10138|0|0|134	-1	-1
1092	0|0|9827|12142|14044|8196|10138|0|0|134	-1	-1
1093	0|0|11231|13876|16050|9367|11586|0|0|153	-1	-1
1094	0|0|11231|13876|16050|9367|11586|0|0|153	-1	-1
1095	0|0|12635|15611|18057|10538|13034|0|0|173	-1	-1
1096	0|0|12635|15611|18057|10538|13034|0|0|173	-1	-1
1097	0|0|11231|13876|16050|9367|11586|0|0|153	-1	-1
1098	0|0|12635|15611|18057|10538|13034|0|0|173	-1	-1
1099	0|0|11231|13876|16050|9367|11586|0|0|153	-1	-1
1100	0|0|12635|15611|18057|10538|13034|0|0|173	-1	-1
1101	0|0|11231|13876|16050|9367|11586|0|0|153	-1	-1
1102	0|0|12635|15611|18057|10538|13034|0|0|173	-1	-1
1103	0|0|14039|17346|20063|11709|14482|0|0|192	-1	-1
1104	0|0|14039|17346|20063|11709|14482|0|0|192	-1	-1
1105	0|0|5615|6938|8025|4683|5793|0|0|76	-1	-1
1106	0|0|7019|8673|10031|5854|7241|0|0|96	-1	-1
1107	0|0|8423|10407|12038|7025|8689|0|0|115	-1	-1
1108	0|0|9827|12142|14044|8196|10138|0|0|134	-1	-1
1109	0|0|11231|13876|16050|9367|11586|0|0|153	-1	-1
1110	0|0|12635|15611|18057|10538|13034|0|0|173	-1	-1
1111	0|0|14039|17346|20063|11709|14482|0|0|192	-1	-1
1112	0|0|5615|6938|8025|4683|5793|0|0|76	-1	-1
1113	0|0|7019|8673|10031|5854|7241|0|0|96	-1	-1
1114	0|0|8423|10407|12038|7025|8689|0|0|115	-1	-1
1115	0|0|9827|12142|14044|8196|10138|0|0|134	-1	-1
1116	0|0|11231|13876|16050|9367|11586|0|0|153	-1	-1
1117	0|0|12635|15611|18057|10538|13034|0|0|173	-1	-1
1118	0|0|14039|17346|20063|11709|14482|0|0|192	-1	-1
1119	0|0|5615|6938|8025|4683|5793|0|0|76	-1	-1
1120	0|0|7019|8673|10031|5854|7241|0|0|96	-1	-1
1121	0|0|8423|10407|12038|7025|8689|0|0|115	-1	-1
1122	0|0|9827|12142|14044|8196|10138|0|0|134	-1	-1
1123	0|0|11231|13876|16050|9367|11586|0|0|153	-1	-1
1124	0|0|12635|15611|18057|10538|13034|0|0|173	-1	-1
1125	0|0|14039|17346|20063|11709|14482|0|0|192	-1	-1
1126	0|0|5615|6938|8025|4683|5793|0|0|76	-1	-1
1127	0|0|7019|8673|10031|5854|7241|0|0|96	-1	-1
1128	0|0|8423|10407|12038|7025|8689|0|0|115	-1	-1
1129	0|0|9827|12142|14044|8196|10138|0|0|134	-1	-1
1130	0|0|11231|13876|16050|9367|11586|0|0|153	-1	-1
1131	0|0|12635|15611|18057|10538|13034|0|0|173	-1	-1
1132	0|0|14039|17346|20063|11709|14482|0|0|192	-1	-1
1133	0|0|14039|17346|20063|11709|14482|0|0|192	-1	-1
1134	0|0|14039|17346|20063|11709|14482|0|0|192	-1	-1
1135	0|0|14039|17346|20063|11709|14482|0|0|192	-1	-1
1136	0|0|15443|19080|22069|12880|15931|0|0|211	-1	-1
1137	0|0|15443|19080|22069|12880|15931|0|0|211	-1	-1
1138	0|0|14039|17346|20063|11709|14482|0|0|192	-1	-1
1139	0|0|15443|19080|22069|12880|15931|0|0|211	-1	-1
1140	0|0|14039|17346|20063|11709|14482|0|0|192	-1	-1
1141	0|0|14039|17346|20063|11709|14482|0|0|192	-1	-1
1142	0|0|15443|19080|22069|12880|15931|0|0|211	-1	-1
1143	0|0|15443|19080|22069|12880|15931|0|0|211	-1	-1
1144	0|0|5615|6938|8025|4683|5793|0|0|76	-1	-1
1145	0|0|7019|8673|10031|5854|7241|0|0|96	-1	-1
1146	0|0|8423|10407|12038|7025|8689|0|0|115	-1	-1
1147	0|0|9827|12142|14044|8196|10138|0|0|134	-1	-1
1148	0|0|11231|13876|16050|9367|11586|0|0|153	-1	-1
1149	0|0|12635|15611|18057|10538|13034|0|0|173	-1	-1
1150	0|0|14039|17346|20063|11709|14482|0|0|192	-1	-1
1151	0|0|15443|19080|22069|12880|15931|0|0|211	-1	-1
1152	0|0|15443|19080|22069|12880|15931|0|0|211	-1	-1
1153	0|0|15443|19080|22069|12880|15931|0|0|211	-1	-1
1154	0|0|15443|19080|22069|12880|15931|0|0|211	-1	-1
1155	0|0|16847|20815|24076|14051|17379|0|0|230	-1	-1
1156	0|0|16847|20815|24076|14051|17379|0|0|230	-1	-1
1157	0|0|16847|20815|24076|14051|17379|0|0|230	-1	-1
1158	0|0|16847|20815|24076|14051|17379|0|0|230	-1	-1
1159	0|0|16847|20815|24076|14051|17379|0|0|230	-1	-1
1160	0|0|16847|20815|24076|14051|17379|0|0|230	-1	-1
1161	0|0|16847|20815|24076|14051|17379|0|0|230	-1	-1
1162	0|0|16847|20815|24076|14051|17379|0|0|230	-1	-1
1163	0|0|18251|22549|26082|15222|18827|0|0|249	-1	-1
1164	0|0|18251|22549|26082|15222|18827|0|0|249	-1	-1
1165	0|0|18251|22549|26082|15222|18827|0|0|249	-1	-1
1166	0|0|18251|22549|26082|15222|18827|0|0|249	-1	-1
1167	0|0|18251|22549|26082|15222|18827|0|0|249	-1	-1
1168	0|0|19655|24284|28088|16393|20276|0|0|269	-1	-1
1169	0|0|19655|24284|28088|16393|20276|0|0|269	-1	-1
1170	0|0|18251|22549|26082|15222|18827|0|0|249	-1	-1
1171	0|0|19655|24284|28088|16393|20276|0|0|269	-1	-1
1172	0|0|18251|22549|26082|15222|18827|0|0|249	-1	-1
1173	0|0|18251|22549|26082|15222|18827|0|0|249	-1	-1
1174	0|0|19655|24284|28088|16393|20276|0|0|269	-1	-1
1175	0|0|19655|24284|28088|16393|20276|0|0|269	-1	-1
1176	0|0|19655|24284|28088|16393|20276|0|0|269	-1	-1
1177	0|0|19655|24284|28088|16393|20276|0|0|269	-1	-1
1178	0|0|19655|24284|28088|16393|20276|0|0|269	-1	-1
1179	0|0|21059|26019|30095|17564|21724|0|0|288	-1	-1
1180	0|0|21059|26019|30095|17564|21724|0|0|288	-1	-1
1181	0|0|11231|13876|16050|9367|11586|0|0|153	-1	-1
1182	0|0|12635|15611|18057|10538|13034|0|0|173	-1	-1
1183	0|0|14039|17346|20063|11709|14482|0|0|192	-1	-1
1184	0|0|15443|19080|22069|12880|15931|0|0|211	-1	-1
1185	0|0|16847|20815|24076|14051|17379|0|0|230	-1	-1
1186	0|0|18251|22549|26082|15222|18827|0|0|249	-1	-1
1187	0|0|19655|24284|28088|16393|20276|0|0|269	-1	-1
1188	0|0|21059|26019|30095|17564|21724|0|0|288	-1	-1
1189	0|0|21059|26019|30095|17564|21724|0|0|288	-1	-1
1190	0|0|21059|26019|30095|17564|21724|0|0|288	-1	-1
1191	0|0|21059|26019|30095|17564|21724|0|0|288	-1	-1
1192	0|0|22463|27753|32101|18735|23172|0|0|307	-1	-1
1193	0|0|22463|27753|32101|18735|23172|0|0|307	-1	-1
1194	0|0|11231|13876|16050|9367|11586|0|0|153	-1	-1
1195	0|0|12635|15611|18057|10538|13034|0|0|173	-1	-1
1196	0|0|14039|17346|20063|11709|14482|0|0|192	-1	-1
1197	0|0|15443|19080|22069|12880|15931|0|0|211	-1	-1
1198	0|0|16847|20815|24076|14051|17379|0|0|230	-1	-1
1199	0|0|18251|22549|26082|15222|18827|0|0|249	-1	-1
1200	0|0|19655|24284|28088|16393|20276|0|0|269	-1	-1
1201	0|0|21059|26019|30095|17564|21724|0|0|288	-1	-1
1202	0|0|22463|27753|32101|18735|23172|0|0|307	-1	-1
1203	0|0|22463|27753|32101|18735|23172|0|0|307	-1	-1
1204	0|0|22463|27753|32101|18735|23172|0|0|307	-1	-1
1205	0|0|22463|27753|32101|18735|23172|0|0|307	-1	-1
1206	0|0|23867|29488|34107|19906|24621|0|0|326	-1	-1
1207	0|0|23867|29488|34107|19906|24621|0|0|326	-1	-1
1208	0|0|21059|26019|30095|17564|21724|0|0|288	-1	-1
1209	0|0|22463|27753|32101|18735|23172|0|0|307	-1	-1
1210	0|0|23867|29488|34107|19906|24621|0|0|326	-1	-1
1211	0|0|21059|26019|30095|17564|21724|0|0|288	-1	-1
1212	0|0|21059|26019|30095|17564|21724|0|0|288	-1	-1
1213	0|0|22463|27753|32101|18735|23172|0|0|307	-1	-1
1214	0|0|22463|27753|32101|18735|23172|0|0|307	-1	-1
1215	0|0|23867|29488|34107|19906|24621|0|0|326	-1	-1
1216	0|0|23867|29488|34107|19906|24621|0|0|326	-1	-1
1217	0|0|23867|29488|34107|19906|24621|0|0|326	-1	-1
1218	0|0|23867|29488|34107|19906|24621|0|0|326	-1	-1
1219	0|0|23867|29488|34107|19906|24621|0|0|326	-1	-1
1220	0|0|25271|31222|36114|21077|26069|0|0|346	-1	-1
1221	0|0|25271|31222|36114|21077|26069|0|0|346	-1	-1
1222	0|0|15443|19080|22069|12880|15931|0|0|211	-1	-1
1223	0|0|16847|20815|24076|14051|17379|0|0|230	-1	-1
1224	0|0|18251|22549|26082|15222|18827|0|0|249	-1	-1
1225	0|0|19655|24284|28088|16393|20276|0|0|269	-1	-1
1226	0|0|21059|26019|30095|17564|21724|0|0|288	-1	-1
1227	0|0|22463|27753|32101|18735|23172|0|0|307	-1	-1
1228	0|0|23867|29488|34107|19906|24621|0|0|326	-1	-1
1229	0|0|25271|31222|36114|21077|26069|0|0|346	-1	-1
1230	0|0|15443|19080|22069|12880|15931|0|0|211	-1	-1
1231	0|0|16847|20815|24076|14051|17379|0|0|230	-1	-1
1232	0|0|18251|22549|26082|15222|18827|0|0|249	-1	-1
1233	0|0|19655|24284|28088|16393|20276|0|0|269	-1	-1
1234	0|0|21059|26019|30095|17564|21724|0|0|288	-1	-1
1235	0|0|22463|27753|32101|18735|23172|0|0|307	-1	-1
1236	0|0|23867|29488|34107|19906|24621|0|0|326	-1	-1
1237	0|0|25271|31222|36114|21077|26069|0|0|346	-1	-1
1238	0|0|15443|19080|22069|12880|15931|0|0|211	-1	-1
1239	0|0|16847|20815|24076|14051|17379|0|0|230	-1	-1
1240	0|0|18251|22549|26082|15222|18827|0|0|249	-1	-1
1241	0|0|19655|24284|28088|16393|20276|0|0|269	-1	-1
1242	0|0|21059|26019|30095|17564|21724|0|0|288	-1	-1
1243	0|0|22463|27753|32101|18735|23172|0|0|307	-1	-1
1244	0|0|23867|29488|34107|19906|24621|0|0|326	-1	-1
1245	0|0|25271|31222|36114|21077|26069|0|0|346	-1	-1
1246	0|0|15443|19080|22069|12880|15931|0|0|211	-1	-1
1247	0|0|16847|20815|24076|14051|17379|0|0|230	-1	-1
1248	0|0|18251|22549|26082|15222|18827|0|0|249	-1	-1
1249	0|0|19655|24284|28088|16393|20276|0|0|269	-1	-1
1250	0|0|21059|26019|30095|17564|21724|0|0|288	-1	-1
1251	0|0|22463|27753|32101|18735|23172|0|0|307	-1	-1
1252	0|0|23867|29488|34107|19906|24621|0|0|326	-1	-1
1253	0|0|25271|31222|36114|21077|26069|0|0|346	-1	-1
1254	0|0|25271|31222|36114|21077|26069|0|0|346	-1	-1
1255	0|0|25271|31222|36114|21077|26069|0|0|346	-1	-1
1256	0|0|25271|31222|36114|21077|26069|0|0|346	-1	-1
1257	0|0|26675|32957|38120|22248|27517|0|0|365	-1	-1
1258	0|0|26675|32957|38120|22248|27517|0|0|365	-1	-1
1259	0|0|25271|31222|36114|21077|26069|0|0|346	-1	-1
1260	0|0|26675|32957|38120|22248|27517|0|0|365	-1	-1
1261	0|0|25271|31222|36114|21077|26069|0|0|346	-1	-1
1262	0|0|25271|31222|36114|21077|26069|0|0|346	-1	-1
1263	0|0|26675|32957|38120|22248|27517|0|0|365	-1	-1
1264	0|0|26675|32957|38120|22248|27517|0|0|365	-1	-1
1265	0|0|16847|20815|24076|14051|17379|0|0|230	-1	-1
1266	0|0|18251|22549|26082|15222|18827|0|0|249	-1	-1
1267	0|0|19655|24284|28088|16393|20276|0|0|269	-1	-1
1268	0|0|21059|26019|30095|17564|21724|0|0|288	-1	-1
1269	0|0|22463|27753|32101|18735|23172|0|0|307	-1	-1
1270	0|0|23867|29488|34107|19906|24621|0|0|326	-1	-1
1271	0|0|25271|31222|36114|21077|26069|0|0|346	-1	-1
1272	0|0|26675|32957|38120|22248|27517|0|0|365	-1	-1
1273	0|0|26675|32957|38120|22248|27517|0|0|365	-1	-1
1274	0|0|26675|32957|38120|22248|27517|0|0|365	-1	-1
1275	0|0|26675|32957|38120|22248|27517|0|0|365	-1	-1
1276	0|0|28079|34692|40126|23419|28965|0|0|384	-1	-1
1277	0|0|28079|34692|40126|23419|28965|0|0|384	-1	-1
1278	0|0|28079|34692|40126|23419|28965|0|0|384	-1	-1
1279	0|0|28079|34692|40126|23419|28965|0|0|384	-1	-1
1280	0|0|28079|34692|40126|23419|28965|0|0|384	-1	-1
1281	0|0|29483|36426|42133|24590|30414|0|0|403	-1	-1
2101	0|12218|3989|3771|3654|2793|24451|0|0|111	-1	-1
2102	0|18327|5984|5656|5481|4190|36677|0|0|167	-1	-1
2103	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
2104	0|30545|9974|9427|9136|6984|61128|0|0|279	-1	-1
2105	0|36655|11969|11313|10963|8380|73354|0|0|335	-1	-1
2201	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
2202	0|12218|3989|3771|3654|2793|24451|0|0|111	-1	-1
2203	0|18327|5984|5656|5481|4190|36677|0|0|167	-1	-1
2204	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
2205	0|30545|9974|9427|9136|6984|61128|0|0|279	-1	-1
2206	0|36655|11969|11313|10963|8380|73354|0|0|335	-1	-1
2301	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
2302	0|12218|3989|3771|3654|2793|24451|0|0|111	-1	-1
2303	0|18327|5984|5656|5481|4190|36677|0|0|167	-1	-1
2304	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
2305	0|30545|9974|9427|9136|6984|61128|0|0|279	-1	-1
2306	0|36655|11969|11313|10963|8380|73354|0|0|335	-1	-1
2401	0|12218|3989|3771|3654|2793|24451|0|0|111	-1	-1
2402	0|18327|5984|5656|5481|4190|36677|0|0|167	-1	-1
2403	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
2404	0|30545|9974|9427|9136|6984|61128|0|0|279	-1	-1
2405	0|36655|11969|11313|10963|8380|73354|0|0|335	-1	-1
2406	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
2501	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
2502	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
2503	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
2504	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
2505	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
2506	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
2507	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
2508	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
2509	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
2510	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
2511	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
2512	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
2513	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
2514	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
2515	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
2516	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
2517	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
2518	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
2519	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
2520	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
2521	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
2522	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
2523	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
2524	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
2525	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
2526	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
2527	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
2528	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
2529	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
2530	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
2531	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
2532	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
2533	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
2534	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
2535	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
2536	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
2537	0|6109|1994|1885|1827|1396|12225|0|0|55	-1	-1
2538	0|24436|7979|7542|7309|5587|48902|0|0|223	-1	-1
2539	0|42764|13964|13198|12791|9777|85580|0|0|390	-1	-1
3063	0|0|26675|32957|38120|22248|27517|0|0|365	-1	-1
3064	0|0|26675|32957|38120|22248|27517|0|0|365	-1	-1
3065	0|0|26675|32957|38120|22248|27517|0|0|365	-1	-1
3066	0|0|28079|34692|40126|23419|28965|0|0|384	-1	-1
3067	0|0|28079|34692|40126|23419|28965|0|0|384	-1	-1
3069	0|0|28079|34692|40126|23419|28965|0|0|384	-1	-1
3070	0|0|28079|34692|40126|23419|28965|0|0|384	-1	-1
3071	0|0|29483|36426|42133|24590|30414|0|0|403	-1	-1
3072	0|0|29483|36426|42133|24590|30414|0|0|403	-1	-1
3073	0|0|29483|36426|42133|24590|30414|0|0|403	-1	-1
3074	0|0|29483|36426|42133|24590|30414|0|0|403	-1	-1
3075	0|0|29483|36426|42133|24590|30414|0|0|403	-1	-1
3128	0|0|28079|34692|40126|23419|28965|0|0|384	-1	-1
3129	0|0|28079|34692|40126|23419|28965|0|0|384	-1	-1
3130	0|0|29483|36426|42133|24590|30414|0|0|403	-1	-1
3131	0|0|29483|36426|42133|24590|30414|0|0|403	-1	-1
3132	0|0|29483|36426|42133|24590|30414|0|0|403	-1	-1
3203	0|0|2807|3469|4012|2341|2896|0|0|38	-1	-1
3206	0|0|4211|5203|6019|3512|4344|0|0|57	-1	-1
3208	0|0|5615|6938|8025|4683|5793|0|0|76	-1	-1
3209	0|0|5615|6938|8025|4683|5793|0|0|76	-1	-1
3211	0|0|7019|8673|10031|5854|7241|0|0|96	-1	-1
3212	0|0|7019|8673|10031|5854|7241|0|0|96	-1	-1
3214	0|0|8423|10407|12038|7025|8689|0|0|115	-1	-1
3215	0|0|8423|10407|12038|7025|8689|0|0|115	-1	-1
3216	0|0|9827|12142|14044|8196|10138|0|0|134	-1	-1
3217	0|0|9827|12142|14044|8196|10138|0|0|134	-1	-1
3219	0|0|11231|13876|16050|9367|11586|0|0|153	-1	-1
3220	0|0|11231|13876|16050|9367|11586|0|0|153	-1	-1
3222	0|0|12635|15611|18057|10538|13034|0|0|173	-1	-1
3223	0|0|12635|15611|18057|10538|13034|0|0|173	-1	-1
3225	0|0|14039|17346|20063|11709|14482|0|0|192	-1	-1
3226	0|0|14039|17346|20063|11709|14482|0|0|192	-1	-1
3228	0|0|15443|19080|22069|12880|15931|0|0|211	-1	-1
3229	0|0|15443|19080|22069|12880|15931|0|0|211	-1	-1
3231	0|0|16847|20815|24076|14051|17379|0|0|230	-1	-1
3232	0|0|16847|20815|24076|14051|17379|0|0|230	-1	-1
3234	0|0|18251|22549|26082|15222|18827|0|0|249	-1	-1
3235	0|0|18251|22549|26082|15222|18827|0|0|249	-1	-1
3237	0|0|19655|24284|28088|16393|20276|0|0|269	-1	-1
3238	0|0|19655|24284|28088|16393|20276|0|0|269	-1	-1
3240	0|0|21059|26019|30095|17564|21724|0|0|288	-1	-1
3241	0|0|21059|26019|30095|17564|21724|0|0|288	-1	-1
3242	0|0|22463|27753|32101|18735|23172|0|0|307	-1	-1
3243	0|0|22463|27753|32101|18735|23172|0|0|307	-1	-1
3244	0|0|23867|29488|34107|19906|24621|0|0|326	-1	-1
3245	0|0|23867|29488|34107|19906|24621|0|0|326	-1	-1
3246	0|0|23867|29488|34107|19906|24621|0|0|326	-1	-1
3247	0|0|25271|31222|36114|21077|26069|0|0|346	-1	-1
3248	0|0|25271|31222|36114|21077|26069|0|0|346	-1	-1
3249	0|0|25271|31222|36114|21077|26069|0|0|346	-1	-1
3250	0|0|26675|32957|38120|22248|27517|0|0|365	-1	-1
3251	0|0|26675|32957|38120|22248|27517|0|0|365	-1	-1
3252	0|0|26675|32957|38120|22248|27517|0|0|365	-1	-1
3253	0|0|28079|34692|40126|23419|28965|0|0|384	-1	-1
3254	0|0|28079|34692|40126|23419|28965|0|0|384	-1	-1
3255	0|0|28079|34692|40126|23419|28965|0|0|384	-1	-1
3256	0|0|29483|36426|42133|24590|30414|0|0|403	-1	-1
3257	0|0|29483|36426|42133|24590|30414|0|0|403	-1	-1
3258	0|0|29483|36426|42133|24590|30414|0|0|403	-1	-1
3301	0|0|1403|1734|2006|1170|1448|0|0|19	-1	-1
3302	0|0|2807|3469|4012|2341|2896|0|0|38	-1	-1
3303	0|0|2807|3469|4012|2341|2896|0|0|38	-1	-1
3305	0|0|4211|5203|6019|3512|4344|0|0|57	-1	-1
