文本id	文本
1418	    您只需要点击开始行动，等待倒计时结束便可领取行动军饷。行动品阶越高，获得的军饷就越好。当行动刷新时，不在执行中的行动会被刷新，执行中的和未领取军饷的行动不会被刷新。
1419	提示：点击立即刷新，有机会获得更高品阶的军事行动！
1420	平定叛乱
1421	运送军备
1422	剿灭山贼
1423	缉拿盗匪
1424	治安巡察
1425	站岗放哨
1426	领取军饷
1427	请等待行动刷新
1428	支线任务
1429	城池建设
1430	个人成就
1431	经济发展
1432	装备制造
1433	科技研究
1434	行军作战
1435	已完成任务
1436	    军事行动分六个品阶，如下由高至低排列。
1437	    您只需要点击开始行动，等待倒计时结束便可领取行动军饷。行动品阶越高，获得的军饷就越好。当行动刷新时，不在执行中的行动会被刷新，执行中的和未领取军饷的行动不会被刷新。
1438	提示：点击立即刷新，有机会获得更高品阶的军事行动！
1439	    军事行动分六个品阶，如下由高至低排列。
1440	    您只需要点击开始行动，等待倒计时结束便可领取行动军饷。行动品阶越高，获得的军饷就越好。当行动刷新时，不在执行中的行动会被刷新，执行中的和未领取军饷的行动不会被刷新。
1441	提示：点击立即刷新，有机会获得更高品阶的军事行动！
15	-----------医馆
1500	诊金
1501	可容纳伤兵数
1502	立即治愈
1503	开始治疗
1504	升级您的医馆，以便容纳更多的伤兵。
1505	无伤兵
1506	确认
1507	剩余时间
1508	立即治愈所选兵力需要花费一定钻石，您确定要立即治愈所选兵力么？立即治愈无需等待治疗时间。
16	-----------祭坛
1600	祭祀
17	-----------集市
1700	升级集市可以转移更多资源，并降低税率。
1701	捐赠资源
1702	资源负载
1703	税率：%d%%
18	-----------联盟
1800	联盟
1801	选择盟徽
1802	选择您的盟徽！
1803	1.输入联盟名称
1804	2.选择联盟盟徽
1805	4.创建联盟成功
1806	创建联盟
1807	
1808	只能输入汉字、字母、数字、空格，最多四个字
1809	          成功创建联盟后，将开启联盟聊天频道！
1810	创建成功
1811	联盟创建成功，您现在是 %s 联盟的盟主！
1812	盟主
1813	联盟战力
1814	成员
1815	信件群发
1816	查看申请
1817	联盟商店
1818	联盟评论
1819	联盟资助
1820	联盟增援
1821	联盟帮助
1822	联盟成员
1823	联盟战争
1824	联盟属性
1825	联盟管理
1826	礼包等级：%d
1827	加入联盟
1828	邀请入盟
1829	申请列表
1830	屏蔽留言
1831	屏蔽管理
1832	联盟官职
1833	联盟资料
1834	联盟改名
1835	联盟签名
1836	联盟状态
1837	联盟盟徽
1838	盟军颜色
1839	转让盟主
1840	解散联盟
1841	退出联盟
1842	杀敌：%d
1843	入盟申请
1844	成功加入联盟！
1845	恭喜您成功加入联盟！
1846	查找
1847	邀请记录
1848	删除
1849	收人状态
1850	玩家可以不用申请即可加入联盟！
1851	拒绝
1852	同意
1853	联盟集火
1854	联盟防守
1855	(%s)%s
1856	(%s)%s
1857	%s
1858	已参战兵力
1859	战争开始倒计时
1860	战争发起者：%s
1861	攻击目标：%s
1862	目标城池
1863	攻击目标
1864	战争开始倒计时
1865	栏位
1866	参战成员
1867	状态
1868	管理
1869	查看资料
1870	发送信件
1871	升职/降职
1872	逐出联盟
1873	出兵
1874	集结完毕
1875	点击参战
1876	点击解锁战争栏
1877	%s目前为%s
1878	请选择一个官职
1879	捐赠资源
1880	退出联盟将会丢失联盟礼包和等级
1881	您将不能再为时间队列请求帮助
1882	您确定要退出联盟么？
1883	退出
1884	警告！
1885	确认
1886	您确定要退出联盟么？
1887	您真的确定要退出联盟么？
1888	成功
1889	您已退出联盟！
1890	解散联盟将会丢失所有联盟数据，盟主排行，联盟礼包和礼包等级，并失去所有盟主特权。如果您占领了重镇，所有在重镇的军队将会死亡。
1891	所有成员将被踢出联盟，联盟聊天频道将会关闭。所有联盟相关数据（名字，标签等）将会消失。
1892	您确定要解散联盟么？
1893	确定么？所有数据将会丢失，并且您不能再寻求帮助！
1894	您一定要解散联盟么？解散后联盟将无法恢复！
1895	您的联盟已解散！
1896	您是本联盟盟主，您可以将盟主之位转让给联盟其他成员，被转让的盟友将会立即拥有盟主的所有权利。
1897	1.从下面选择一个盟友
1898	2.输入盟友的名字以完成转让
1899	转让盟主
1150	您确定要将盟主之位转让给%s么？
1151	您确定要将盟主之位转让给%s么？请再次确认！！！
1152	转让盟主成功！
1153	捐赠兵力
1154	您派往增援的士兵将自动变为盟军兵种等级，并继承盟军所有增益！
1155	盟军兵力
1156	帮助盟友缩短队列时间能获得联盟贡献和联盟资金！府邸等级越高可获得帮助次数越多！
1157	每日联盟资金和贡献度
1158	帮助所有
1159	建造
1160	捐赠
1161	科技
1162	士兵训练
1163	陷阱建造
1164	装备制造
1165	激活VIP
1166	免战状态
1167	反侦查状态
1168	处决一个武将
1169	城卫军
1170	联盟军
1171	禁卫军
1172	治疗伤兵
1173	联盟商店
1174	道具目录
1175	交易历史
1176	没有您需要的道具？去道具目录中申请吧！
1177	购买
1178	申请人：
1179	您确定要将%s开除出联盟么？
1180	被申请次数：%d
1181	联盟拥有：%d
1182	商店道具
1183	当前盟徽
1184	选择盟徽
1185	更换盟徽需要花费100钻石
1186	更换盟徽
1187	更换
1188	取消更换
1189	您的联盟签名会显示在联盟资料信息中，您可以让玩家通过联盟签名了解您的联盟。
1190	提交
1191	提示
1192	解锁战争栏位需要使用道具“战书”！
1193	解锁联盟战争栏
1194	解锁战争栏位需要使用道具“战书”！
1195	解锁联盟战争栏
1196	为盟友解锁战争栏位，使您可以参战！
1197	为自己的战争解锁
1198	为盟友的战争解锁
1199	申请道具
1250	取消申请
1251	您已申请该道具，您的申请将被联盟官员看见。做联盟任务能获得联盟资金。
1252	您已取消申请！
1253	该盟友尚未建造集市，还不能接收您的资源！
1254	该盟友尚未建造使馆，还不能接收您的增援军队！
1255	请输入联盟名称
1256	您尚未建造集市，不能转移资源！
1257	您尚未建造军政厅，不能发起联盟作战！
1258	您还没有加入联盟，不能发起联盟集火！
1259	发起失败
9	-----------府邸
1900	详情
1901	概况
1902	
1903	主公：%s
1904	王国：%s
1905	位置：%s
1906	更改名称
1907	军事
1908	拥有兵力：%d
1909	行军上限：%d
1910	行军兵力上限：%d
1911	行军负载上限：%d
1912	每小时产量：%d
1913	每小时消耗：%d
1914	当前拥有：%d
1915	储量上限：%d
10	----------建造升级
2017	Lv.%d
2018	初始用时
2019	实际用时
2020	立即升级
2021	升级
2022	立即建造
2023	建造
2024	%d钻
2025	升级条件
2026	建造条件
2027	建筑队列已满，还需等待 %s
2028	获取更多
2029	建造奖励
2030	升级奖励
2031	武将经验：+%d
2032	战力：%d
2033	更多信息
2055	建造失败
2056	您当前尚未满足建造条件，无法进行建造！
2057	VIP增益
2058	普通升级
2059	前往升级
2060	您尚未建造该建筑，请进入主城建造！
11	----------生成建筑
2034	每小时产量
2035	每小时消耗
2036	当前拥有/储量上限
2037	每小时总产量
2038	购买资源
12	----------城内信息
2039	战力%d
2041	免费钻石
2042	点将
121	----------仓库
2040	正在被保护的资源
13	----------建造列表
2301	城内建筑
2302	城外建筑
2303	下方是您的建筑列表，建筑分城内建筑和城外建筑，每种建筑都有各自的功能和作用。
2304	需要府邸到达 %d 级才能开放！
2305	该建筑已建造的数量已经达到开放上限，无法建造，请升级府邸获取更大开放上限。
14	----------摧毁建筑
2401	摧毁
2402	拆除
2403	拥有：%d
2404	使用火把可立即摧毁该建筑，无需等待。
2405	购买并使用
2406	使用
2407	拆除
2408	免费
2409	使用铁锤拆除该建筑，拆除时间为升级（本级）时间的一半。
2410	使用
2411	建筑队列已满，您可以使用加速道具来缩短队列时间，是否选择加速？
2412	取消
2413	队列已满
2414	加速
15	----------武将
2500	武将资料
2501	提升
2502	武将增益
2503	天赋点：%d
2504	部队增益
2505	部队总增益
2506	经济增益
2507	隐藏装备
2508	武将提升
2509	显示装备
2510	武将升级
2511	天赋点
2512	关押者：
2513	关押位置：
2514	发送信件
2515	施展营救
2516	越狱倒计时 %s
2517	在武将越狱回归前，任意玩家击败关押者都将立即营救出您的武将！
2518	武将已死亡
2519	武将已死亡，请前往点将台招募新武将！
2520	前往点将台
2521	K：%s X：%d Y：%d
16	----------武将技能树
2601	武将天赋
2602	重置天赋
2603	重置天赋需要消耗%d个%s，您当前拥有%d个，您确定使用么？
2604	重置天赋需要消耗%d个%s，您当前拥有%d个，您确定购买并使用么？
17	----------科技升级
2701	立即研究
2702	研究
2703	研究条件
2704	研究奖励
2705	研究队列已满，还需等待 %s
2706	队列已满
2707	您当前的研究队列已满，是否使用“加速”来减少队列等待时间？
18	----------道具
2800	道具
2801	商店
2802	我的物品
2803	特殊
2804	资源
2805	加速
2807	战争
2808	宝箱
2809	购买
2810	使用
2811	想要获得丰厚的专属福利？激活您的VIP特权是个很棒的选择！
2812	不花钱也能获得资源？去城外占领资源点采集资源吧！
2813	加速是一种病？加速是一种瘾！
2814	怕挨打的和无战不欢的，都能在此处找到归宿！
2815	宝贝都在这里了！土豪我们做朋友吧？
2826	钻石不足
2827	您当前拥有的钻石不足以支付该费用，是否购买钻石？
2838	购买并使用
2839	购买道具
2840	资源商店
19	----------装备锻造
2900	制造
2901	制造品阶表
2902	制造秘籍
2903	立即制造
2904	白银不足
2905	您当前拥有的白银不足以支付该费用，是否购买白银？
2906	点击查看该品级详细数据
2907	装备品级属性列表
2908	装备信息
2910	穿戴
2911	卸下
2912	前往铁匠铺
2913	您还没有建造铁匠铺。
2914	轻按品质以查看属性
2915	铁匠铺21级解锁
20	----------加速道具
3001	建造加速
3003	研究加速
3004	训练加速
31	----------cd队列
3101	建筑队列冷却中
3102	正在行军
3103	研究队列冷却中
3104	正在训练士兵
3105	正在建造陷阱
3106	正在制造装备
3107	VIP激活
3108	免战牌
3109	反侦查令
3110	正在处决武将
3111	城卫军正在行动
3112	联盟军正在行动
3113	禁卫军正在行动
3114	正在治疗伤兵
3117	跨服结束倒计时
3118	处决武将
3121	建筑加速
3122	行军加速
3123	研究加速
3124	训练加速
3125	建造加速
3126	制造加速
3127	VIP激活加速
3128	免战牌加速
3129	反侦查令加速
3130	处决加速
3131	城卫军加速
3132	联盟军加速
3133	禁卫军加速
3141	免费
3142	求助
3143	加速
3145	免费加速
3146	免费加速剩余时间：%s    激活VIP能更快获得免费加速！
3147	使用进行免费加速
3148	展开(%d)
3149	收起
32	----------别院
3201	经验加成
3202	提示：当武将获得经验时，能同时获得的经验加成百分比。
3203	经验继承
3204	提示：当启用新武将时，能继承原有武将的经验百分比。
33	----------铁匠铺
3301	制造
3302	合成
3303	装备背包
3304	宝石/材料
3305	获取宝石
3306	获取材料
3307	武将提升
3308	宝石
3309	材料
34	-----------装备背包
3401	扩充背包
3402	扩充失败
3403	您的背包已扩充到最大，无法继续扩充！
35	------------宝石镶嵌
3501	宝石镶嵌
3502	镶嵌宝石能提升您的装备属性！
3503	需要武将等级 Lv.%d
3504	未镶嵌
3505	镶嵌
3506	摘取
3507	装备品阶
3508	选择宝石
3509	关闭
3510	请选择要镶嵌的宝石
3511	宝石摘取
3512	宝石摘取菜鸟
3513	免费为您摘取宝石，但宝石会损坏消失。
3514	无法摘取
3515	您选择的摘取道具与宝石等级不符，请重新选择。
3516	销毁装备
3517	如果继续操作，您将失去该装备以及镶嵌在装备上的宝石。装备销毁后，您将随机获赠一个与该装备同级的材料或宝石。您确定要销毁该装备么？
3518	宝石
3519	此装备为限时装备，无法进行宝石镶嵌。
36	------------聊天
3601	聊天
3602	复制
3603	添加好友
3604	发送信件
3605	查看资料
3606	屏蔽玩家
3607	好友
3608	在线好友
3609	邀请好友
3610	未处理邀请
3611	输入玩家昵称来查找添加好友
3612	查找
3613	王国
3614	联盟
3615	邀请失败
3616	您的好友已满，请清理后再邀请！
3617	不能邀请自己为好友！
3618	该昵称的玩家不存在，邀请失败！
3619	邀请成功
3620	邀请已发送，请等待对方回应！
3621	收到的邀请
3622	发出的邀请
3623	拒绝
3624	同意
3625	昵称：%s
3626	联盟：%s
3627	%Y年%m月%d日
3628	是否邀请对方成为好友？
3629	私聊
37	----------VIP
3701	激活VIP将获得强力增益！提升VIP等级将解锁更多增益！
3702	增加积分
3703	激活VIP
3704	点击查看VIP等级特权
3705	状态
3706	剩余时间
3707	当前等级
3708	当前积分
3709	下次登录
3710	当前连续登录
3711	%d VIP积分
3712	%d d
3713	1. 登录游戏即可获得VIP积分，连续登录天数越多，获得的VIP积分就越多！
3714	2. 您的VIP特权需要在激活VIP后才能享受！每次升级VIP，将自动获赠24小时VIP激活时间！想要更多VIP时间？请点击“激活VIP”！
3715	VIP积分
3716	还需积分：%d
3717	激活
3721	建筑及科研用时：-%d分钟
3722	粮草产量：+%d%%
3723	木材产量：+%d%%
3724	石材产量：+%d%%
3725	生铁产量：+%d%%
3726	白银产量：+%d%%
3728	禁卫军行动次数：+%d
3729	城卫军行动次数：+%d
3730	联盟军行动次数：+%d
3731	行军速度：+%d%%
3732	制造速度：+%d%%
3733	自动完成城卫军行动
3734	开启活跃度系统
3735	自动完成联盟军行动
3736	士兵攻击力：+%d%%
3737	士兵防御力：+%d%%
3738	士兵血量：+%d%%
3739	医馆保护野外受攻击的部队
38	----------骚动的礼物
3801	神秘礼物
3802	当倒计时结束，您将获得神秘礼物！
3803	恭喜主公！
3804	您获得了一件神秘礼物！
3805	领取
3806	礼物
39	------------装备材料
3901	珊瑚
3902	朱雀石
3903	棉布
3904	黑曜石
3905	锦缎
3906	翎羽
3907	白玉石
3908	玄铁
3909	青铜
3910	珍珠
3911	宣纸
3912	寒铁
3913	青铜(限)
3914	珍珠(限)
3915	宣纸(限)
40	----------地牢
4001	处决武将
4002	劝降武将
4003	释放
4004	处决
4005	劝降
4006	武将：%s
4007	主公：%s
4008	等级：%d
4009	%s后越狱
4010	忠诚度
4011	成功率：%d%%
4012	道具不足
4013	劝降武将需要道具“劝降书”，是否进入商店购买？
4014	　　您同时只能拥有1名武将，当新武将劝降成功，原有武将则会离您而去！不同武将的忠诚度不一样，劝降会降低武将的忠诚度，忠诚度越低，劝降的成功率越大！
4015	若该武将劝降成功，原有武将则会离您而去，您确定要劝降该武将么？
4016	您方才进行过劝降，请等待cd结束后再进行劝降。
4017	处决须知
4018	注意：点击处决后，该武将会在 %s 后被处决。在此期间您将无法取消处决，也无法使用免战牌道具。您确定要处决该武将么？
41	-----------装备
4101	武器
4102	头盔
4103	护甲
4104	饰品
4105	战靴
4106	无装备
4107	您当前没有%s，装备可在铁匠铺中制造获得！
4108	需要武将等级达到 Lv.%d 才能穿戴此装备。
50	-----------提示信息
5000	联盟帮助
5001	求助已发送给盟友！
5002	%s x %d 已训练完毕！
5003	解散士兵
5004	%s x %d 已解散！
5005	拆除陷阱
5006	%s x %d 已拆除！
5007	%s x %d 已建造完毕！
5008	建造陷阱
5009	联盟演练
5010	邀请玩家入盟
5011	管理入盟申请
5012	升职成员官职
5013	降职成员官职
5014	逐出联盟成员
5015	转让盟主
5016	管理联盟商店
5017	更改联盟收人状态
5018	更改联盟名称和签名
5019	解散联盟
5020	更改联盟描述和简介
5021	管理禁言成员
5022	更改盟徽
5023	更改联盟军队颜色
5024	接收联盟礼包
5025	直接退出联盟
5026	选择加入一场演练
5027	小型演练
5028	(个人发起)
5029	大型演练
5030	(联盟发起)
5031	要求成员：%d
5032	要求战力：%d
5033	演练时间：%s
5034	普通奖励：%s
5035	创建
5036	创建者
5037	成员：%d/%d
5038	演练：%s
5039	未开始
5040	剩余演练时间
5041	位置
5042	成员
5043	战力
5044	加入演练
5045	加入状态
5046	未加入
5047	已加入
5048	要求成员：%d
5049	要求战力：%u
5050	作战时间：%s
5051	您当前的联盟官职可以创建大型演练。
5052	您确定要解散演练么？
5053	您确定要退出演练么？
5054	如何参与联盟大型演练？
5055	联盟大型演练需盟主或副盟主才能创建！
5056	管理
5057	当前联盟名称
5058	使用一张“联盟改名卡”来更改联盟名称
5059	1.更改联盟名称
5061	只能输入汉字、字母、数字、空格，最多四个字
5062	2.完成更改
5063	拥有：%d
5064	购买并使用
5065	该道具尚无人申请
5066	申请者
5067	申请道具
5068	遣返
5069	当前没有援军
5070	每位盟友只能在您的使馆驻扎一支增援部队。前来增援的士兵将自动变为您的兵种等级，并继承您所有的增益！
5071	创建
5072	加入
5073	删除坐标
5074	您确定要删除该坐标么？
5075	该盟友主城离您太远，行军时间已超过1小时，不能进行资助。
5076	增援失败
5077	礼包等级越高，获得的奖励越丰富！打开礼包可以获得礼包积分。
5078	联盟礼包
5079	领取奖励
5080	礼包等级
5081	    每当有联盟成员获得木质礼包（充值30元获得）、石质礼包（充值98元获得）、青铜礼包（充值198元获得）、白银礼包（充值328元获得）、钻石礼包（充值648元获得）和野怪击杀礼包（对野怪造成最后一击获得）时，联盟内所有成员都会获得一个相同的礼包。获得礼包后，请在24小时内打开礼包，否则礼包将会过期！经常回来看看是否有联盟成员赠予您联盟礼包！
5082	清除所有已打开和已过期的礼包
5083	到期时间：
5084	设置战争开始时间，联盟成员需在战争开始前对您进行捐兵增援！参与集火的主公满50人，胜利后可将敌军主城打飞！
5085	请输入正确的坐标！
5086	别忘了派出武将！
5087	武将能为您的军队提供很多加成和提升！
5088	确定要在没有武将的情况下行军么？
5089	立即出兵
5090	武将出兵
5091	这些是您当前活动中的行军队伍
5092	提示：升级府邸可以提升行军队伍数量上限。
5093	占领资源点
5094	占领营地
5095	增援
5096	联盟资助
5097	回城
5098	召回
5099	主公：
5100	兵力：
5101	位置： K：%s X：%d Y：%d
5102	正在行军前往 K：%s X：%d Y：%d
5103	行军加速
5104	行军兵力
5105	行军兵种
5106	数量
5107	采集资源
5108	军队回城
5109	您确定要让该军队回城么？
5110	联盟贡献
5111	队列已满
5112	您当前的训练队列已满，是否使用“加速”来减少队列等待时间？
5113	队列已满
5114	您当前的建造陷阱队列已满，是否使用“加速”来减少队列等待时间？
5115	当前兵营中没有士兵，请到兵营训练士兵。
5116	申请已发送！审核通过后您将进入联盟，未通过则会以信件形式告知。
5117	成功加入一个联盟，将免费获得200钻石！
5118	掉落
5119	战力：
5120	联盟资金
5121	写点儿什么来介绍您的联盟吧？
5122	坐标收藏
5123	行军
5124	联盟资助
5125	联盟战争
5126	联盟帮助
5127	联盟礼包
5128	联盟商店
5129	道具目录
5130	联盟成员
5131	联盟管理
5132	联盟官职
5133	入盟申请
5134	联盟演练
5135	小型演练
5136	大型演练
5137	联盟改名
5138	联盟签名
5139	联盟状态
5140	联盟盟徽
5141	盟军颜色
5142	转让盟主
5143	免战状态
5144	您当前正处于免战状态中，若继续此操作，您的免战状态将会消失，您将不再受到攻击保护，您确定要进行此操作么？
5145	困难奖励：%s
5146	精英奖励：%s
5147	无
5148	营地
5149	奖励：%s
5150	帮助
5151	前往书院
5152	激活VIP将解锁禁卫军行动，并获得强力增益。
5153	激活VIP
5154	信息
5155	立即建造该陷阱需要花费一定钻石，您确定要立即建造该陷阱么？立即建造无需等待建造时间。
5156	队列已满
5157	您当前的治疗队列已满，是否使用“加速”来减少队列等待时间？
5158	加成
5159	陷阱攻击 +10%
5160	士兵防御 +1%
5161	士兵防御 +2%
5162	士兵防御 +3%
5163	士兵防御 +4%
5164	士兵防御 +10%
5165	帮助我升级 %s至Lv.%d
5166	帮助我研究 %s Lv.%d
5167	帮助我完成这项工作
5168	帮助我治疗伤兵 ×
5169	军饷
5170	武将被俘
5171	您的武将已被敌军俘虏！
5172	武将阵亡
5173	您的武将已阵亡，您可以在墓地中复活武将！
5174	武将死亡
5175	您的武将已死亡，您可以在点将台中招募新武将！
5176	武将在外
5177	您的武将带兵在外，无法参与此次出征！
5178	无法增援
5179	参与联盟增援时不可派武将前往！
5180	正在集结
5181	占领本资源点即可采集本资源点蕴藏的资源。如本资源点已被他人占领，则需击败其驻扎军队，将其驱逐！成功占领资源点有机会获得装备材料！
5182	资源信息
5183	未占领
5184	正在集火
5185	是否撤销联盟集火？
5186	这将会遣返您的援军。
5187	3.输入联盟签名
5188	您的联盟签名会显示在联盟资料信息中
5189	侦查敌军能获得敌军兵力，城防和资源情报。
5190	侦查消耗
5191	提示：哨兵侦查科技等级越高，获得的情报就越详细。
5192	哨兵侦查
5193	请先研究战争科技：哨兵侦查。
5194	资源不足
5195	到达时间：%s
5196	无法遣返
5197	援军尚未到达，无法遣返。
5198	派遣士兵
5199	您必须选择至少一个士兵，军队才能开始行军！
5200	知道了
5201	资助盟友
5202	将资源转移给盟友，可以使资源免遭敌军掠夺。运输物资将会占用行军队列，您确定要向盟友捐赠资源么？
5203	遣返盟军
5204	继续操作将遣返该盟军队伍，您确定要进行此操作么？
5205	撤销申请
5206	您确定要撤销入盟申请么？
5207	拒绝入盟
5208	您确定拒绝加入该联盟么？继续操作将拒绝并删除该条联盟邀请！
5209	资助失败
5210	开除成员
5211	创建失败
5212	请输入您的联盟名称。
5213	该名称已经被使用了，请重新输入。
5214	资助
5215	状态：
5216	已解锁
5217	未解锁
5218	返回
5219	进入战场
5220	精英战场
5221	敌军战力
5222	解锁条件：%s
5223	%d体力
5224	无法战斗
5225	该副本还未解锁
5226	总战力
5227	无法挑战
5228	次数用完
5229	体力不足
5230	没有足够体力挑战
5231	剩余体力值：%d
5232	我军战力：%d
5233	资源奖励：
5234	武将经验：%d
5235	道具奖励：
5236	没有联盟
5237	是否要加入一个联盟？
5238	兵力上限：%d
5239	建筑一览
5240	详细信息
5241	建筑种类
5242	建筑等级
5243	提示：只能输入汉字，字母，数字和空格
5244	输入内容不能超过%d个汉字或%d个字符
5245	输入主城名称
5246	修改名称
5247	主城改名
5248	%s加成
5249	当前所有%s加成
5250	总兵力：
5251	总行军：
5252	行军兵力上限：
5253	资源负载上限：
5254	粮草消耗：
5255	陷阱：
5256	城墙陷阱上限：
5257	援军：
5258	伤兵：
5259	我的兵力
5260	粮草消耗
5261	军事
5262	粮草
5263	白银
5264	木材
5265	石材
5266	生铁
5267	小时产量：
5268	当前拥有：
5269	储量上限：
5270	小时消耗：
5271	VIP资源加成：
5272	武将资源加成：
5273	道具资源加成：
5274	科技加成：
5275	总加成：
5276	我的%s
5277	小时产量
5278	增益一览
5279	冲突预警
5280	有敌军正在前往 K：%s X：%d Y：%d
5281	敌军抵达时间
5282	增益
5283	提示：使用道具可为您的城池获得以下额外增益效果。
5284	结束剩余时间
5285	无法使用
5286	当前已经有更加强力的增益
5287	操作失败
5288	继续操作您将减少相应兵力和消耗，您确定要解散士兵么？
5289	继续操作您将减少相应的陷阱数量，降低城墙防御力，您确定要拆除陷阱么？
5290	营救武将
5291	击败 %s 将营救出下列所有被关押的武将
5292	无限
5293	经验
5294	损失战力：%s
5295	详情
5296	战役
5297	进入战役
5298	无法进入
5299	未达到条件
5300	尚未开放
5301	敬请期待
5302	城池：
5303	战斗详情
5304	营地：
5305	战前
5306	受伤
5307	死亡
5308	存活
5309	总计
5310	您当前尚未在城外部署军队
5311	修改成功！
5312	改名失败
5313	您尚未输入任何内容
5314	您需要再接再厉
5315	小提示：注意兵种间的克制关系，这能增加您的胜率！
5316	小提示：升级兵营能解锁更高等级的兵种！
5317	钻石 x 200 已经发放至您的账号！
5318	活动
5319	快速浏览：特别的高亮标记有助于您找到已开启的活动
5320	已开启
5321	无活动
5322	参与活动，赢取免费礼物！在活动中胜出，赢取巨奖！
5323	历史记录
5324	活动目标
5325	活动结束时间
5326	我的积分
5327	这是一个世界性的单人活动！所有王国的每一位玩家都将相互竞争！在已开启的单人活动中，完成指定操作即可获取积分！期待您在单人活动中独领风骚，赢取排行榜巨奖！
5328	如何获取积分
5329	进行以下任何操作，即可在本次活动中获得积分，获得足够积分即可赢取奖励！
5330	训练%d级士兵
5331	击杀敌军%d级士兵
5332	打伤敌军%d级士兵
5333	制造%d级陷阱
5334	摧毁敌军%d级陷阱
5335	奖励
5336	完成活动目标即可获得积分，获得足够积分，可获得以下奖励。
5337	积分
5338	状态
5339	价值钻石：
5340	活动领袖
5341	这是一个世界性的活动，在活动中获得积分前100名的玩家将得到排行榜奖励！下面是排行榜第一名的奖励。点击“查看全部奖励”可以查看所有排行奖励。
5342	第%d名奖励
5343	游戏奖励
5344	查看全部奖励
5345	在收到活动奖励的同时，您会收到一封信件。
5346	活动领袖奖励
5347	在本次活动中，获得积分最高的前100名玩家将得到以下海量奖励！请不停地得分！进军排行榜！成为世界领袖！
5348	参加单人活动结束后，获得积分最多的前100名玩家将获得排行榜奖励。您可以在历史记录中查看历史单人活动中排名前10位的玩家。
5349	恭喜以下玩家获得前10名奖励！
